job_id,budget,task_id,method,seed,claimed_utc,committed_utc,init_request_utc,close_response_utc,claim_to_commit_seconds,post_close_acceptance_seconds,rollout_wall_seconds,initialization_wall_seconds,graph_seconds_included_in_rollout,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,dft_episode_attempts,llm_calls,prompt_tokens,completion_tokens,rpc_attempts,tool_attempts,score_sentinels
all30-final-made-7c0efd227bf52418fb36aad2,10,Ag-Nd-Pd-Pt-Tb,baseline,1,2026-09-17T13:15:26.205186+00:00,2026-09-17T13:24:02.186720+00:00,2026-09-17T13:15:26.525669+00:00,2026-09-17T13:23:23.880495+00:00,515.9815347194672,38.306225061416626,390.2344838073477,87.14263264648616,0,10,53,106,,21,38248,2637,40,20,31
all30-final-made-699a176cb7e28a04547e3e15,10,Ag-Nd-Pd-Pt-Tb,esopt_graph_risk,1,2026-09-17T14:11:58.960413+00:00,2026-09-17T14:43:01.577503+00:00,2026-09-17T14:11:59.227358+00:00,2026-09-17T14:42:12.675591+00:00,1862.6170907020569,48.901912689208984,1721.4920025561005,91.97047331370413,1017.5039992379025,10,53,9,,47,67535,5581,54,27,
all30-final-made-904eb201596a60402fead162,10,Al-Hg-K-Mg-W,baseline,1,2026-09-17T13:54:51.197220+00:00,2026-09-17T14:04:38.429312+00:00,2026-09-17T13:54:51.543765+00:00,2026-09-17T14:04:01.468448+00:00,587.2320914268494,36.96086406707764,428.1890545929782,121.74821968190372,0,10,59,80,,19,46921,2342,38,19,5
all30-final-made-a42b15610f22ef80153727db,10,Al-Hg-K-Mg-W,esopt_graph_risk,1,2026-09-17T15:10:08.154465+00:00,2026-09-17T15:43:36.917476+00:00,2026-09-17T15:10:08.517794+00:00,2026-09-17T15:42:44.332762+00:00,2008.7630112171173,52.58471465110779,1833.798567472957,122.03578398609534,1048.6163313318975,10,59,,,52,99366,6009,68,34,
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,2026-09-17T05:33:52.805128+00:00,2026-09-17T05:48:31.558401+00:00,2026-09-17T05:33:53.205763+00:00,2026-09-17T05:46:00.358461+00:00,878.7532732486725,151.19993996620178,691.1749484436586,36.021957812365144,0,10,16,29,,18,34805,2508,36,18,
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,2026-09-17T06:20:59.642845+00:00,2026-09-17T07:16:00.782951+00:00,2026-09-17T06:20:59.951739+00:00,2026-09-17T07:11:40.991308+00:00,3301.140105485916,259.7916421890259,3003.897455302067,37.15855568414554,1896.2297217091545,10,16,,,35,52850,4922,40,20,
all30-final-made-e09a34e29836469e9ba4b8e4,10,Al-Lu-Pt-Rb-Sm,baseline,1,2026-09-17T13:54:51.198941+00:00,2026-09-17T14:05:03.728191+00:00,2026-09-17T13:54:51.544248+00:00,2026-09-17T14:04:26.032375+00:00,612.5292494297028,37.695815563201904,453.5829073940404,120.93219550605863,0,10,46,10,,22,36974,3558,42,21,
all30-final-made-9bf29fcfc2d0b0e48b8c6c4d,10,Al-Lu-Pt-Rb-Sm,esopt_graph_risk,1,2026-09-17T14:58:52.520026+00:00,2026-09-17T15:28:05.405328+00:00,2026-09-17T14:58:52.812253+00:00,2026-09-17T15:27:03.507016+00:00,1752.885302066803,61.89831209182739,1573.2388260499574,117.48661946691573,738.3638943955302,10,46,29,,62,101000,6619,58,29,1
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,2026-09-17T05:48:32.810817+00:00,2026-09-17T06:00:30.113608+00:00,2026-09-17T05:48:33.083371+00:00,2026-09-17T05:57:55.409566+00:00,717.3027911186218,154.70404148101807,531.1194243896753,31.216479413677007,0,10,12,16,,19,41070,2323,38,19,15
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,2026-09-17T07:16:02.334082+00:00,2026-09-17T08:20:00.705791+00:00,2026-09-17T07:16:02.622442+00:00,2026-09-17T08:17:28.876473+00:00,3838.3717093467712,151.82931804656982,3656.516004758887,29.766606057994068,2391.951603356283,10,12,,,46,77646,6214,50,25,
all30-final-made-38b4f9685baec5bbe9d9f95b,10,Au-Cr-Cs-Dy,baseline,1,2026-09-17T13:24:06.363474+00:00,2026-09-17T13:34:43.761726+00:00,2026-09-17T13:24:06.676672+00:00,2026-09-17T13:34:05.265979+00:00,637.3982515335083,38.495747089385986,564.0766282938421,34.56124633923173,0,10,11,147,,28,42040,3847,56,28,15
all30-final-made-4754243cb39463fe720f858f,10,Au-Cr-Cs-Dy,esopt_graph_risk,1,2026-09-17T14:43:04.696929+00:00,2026-09-17T15:22:45.594367+00:00,2026-09-17T14:43:04.973308+00:00,2026-09-17T15:21:53.394817+00:00,2380.897438287735,52.199549436569214,2296.355002615601,32.080670771189034,1025.4535562871024,10,11,176,,76,146473,8128,74,37,
extension-final-made-771b1767fddc6d875c57c295,10,Au-K-Tb,baseline,1,2026-09-17T10:14:15.563729+00:00,2026-09-17T10:41:46.417339+00:00,2026-09-17T10:14:15.940664+00:00,2026-09-17T10:27:51.875788+00:00,1650.8536105155945,834.5415515899658,779.171055121813,36.80289253499359,0,10,11,59,,21,41266,2502,40,20,10
extension-final-made-c45054a96220519898111679,10,Au-K-Tb,esopt_graph_risk,1,2026-09-17T11:54:47.120756+00:00,2026-09-17T12:51:11.678498+00:00,2026-09-17T11:54:47.426342+00:00,2026-09-17T12:38:19.043484+00:00,3384.5577421188354,772.635014295578,2568.4011063771322,43.231143054086715,1052.400583405979,10,11,,,59,100614,6133,52,26,
all30-final-made-3a5820b8ce47b3e91e806915,10,Au-Tb-V-Y,baseline,1,2026-09-17T14:04:41.924955+00:00,2026-09-17T14:19:21.670141+00:00,2026-09-17T14:04:42.178162+00:00,2026-09-17T14:18:42.989793+00:00,879.7451853752136,38.68034744262695,774.7674689162523,66.05250963522121,0,10,23,208,,33,55574,4652,62,31,10
all30-final-made-70b2bcb089d3baa38fa11a37,10,Au-Tb-V-Y,esopt_graph_risk,1,2026-09-17T15:43:40.646694+00:00,2026-09-17T16:16:14.137054+00:00,2026-09-17T15:43:40.921761+00:00,2026-09-17T16:15:17.989576+00:00,1953.490359544754,56.147478103637695,1844.0872244709171,53.001148300711066,780.8366498956457,10,23,93,,53,83918,6507,50,25,2
all30-final-made-6a08269555caa8120c6d8a31,10,Ba-Be-Hf-Li,baseline,1,2026-09-17T14:05:07.637561+00:00,2026-09-17T14:12:38.301015+00:00,2026-09-17T14:05:07.930910+00:00,2026-09-17T14:11:57.500693+00:00,450.6634545326233,40.80032229423523,363.90895824925974,45.6738136280328,0,10,8,71,,20,28824,2739,38,19,
all30-final-made-81f7ae6412df7a9830ab16d2,10,Ba-Be-Hf-Li,esopt_graph_risk,1,2026-09-17T15:28:09.656550+00:00,2026-09-17T15:53:26.795148+00:00,2026-09-17T15:28:09.987575+00:00,2026-09-17T15:52:33.188508+00:00,1517.1385984420776,53.606640100479126,1416.4469663389027,46.788762998301536,656.7048845654353,10,8,93,,42,57085,5215,40,20,2
all30-final-made-6e37b7222567aa49a67d1d87,10,Ba-Nd-Ni-W,baseline,1,2026-09-17T13:54:25.324435+00:00,2026-09-17T14:04:35.607700+00:00,2026-09-17T13:54:25.676771+00:00,2026-09-17T14:03:56.819436+00:00,610.2832653522491,38.78826403617859,514.8681336799636,56.29449019022286,0,10,12,76,,23,33798,3608,42,21,
