budget,task_id,seed,baseline_SUN,full_SUN,SUN_delta,baseline_AUDC,full_AUDC,AUDC_delta,baseline_mSUN,full_mSUN,baseline_raw_result_sha256,full_raw_result_sha256
10,Co-Mg-Na,1,0,0,0,0.0,0.0,0.0,0.0,0.0,96006847f53af43ff19525c1d4fdc8bac39b6a0234b3d347375de4f3f18af4ac,60f75b2fc8286f89d8aa3906662fcfb5b8b789ef5d396d19cf68941e2b578c6e
10,Co-Pd-Tl,1,0,0,0,0.0,0.0,0.0,0.0,0.0,a884733b7080d85f09d4293ac7050c4cf6bd8bb5cef34fd0683a1678b702002e,8cc94de05ceaf97fbaa13d2bcaa0a58d395ce819e6292a93082341c9b82b8fc3
10,Cr-Fe-Lu-Pt-Sc,1,0,0,0,0.0,0.0,0.0,0.0,0.0,d3facd023eaf63f9c8568bbeefc290cfa10af94321b49eaa94e0bcd8021cba3b,02bb423ec38a0bd8f1dd629a2cfe1ff6605f72f97752213777880abe652ab610
10,Dy-K-Pd-Sm,1,0,6,6,0.0,0.6,0.6,0.0,0.6,cd9df808c1947e21be16f835a89776b29233ab38b3db05170178df277eef0947,c12d8d539ad7f39c4e3a86d4d4bae734acbc18d6011322dc078195c13f187b13
10,Eu-Nb-Sn-Tl,1,0,0,0,0.0,0.0,0.0,0.0,0.0,68d36aa377d4ec146c8fd66b840d32250ded2d8c5b75c1d292d2e67d85b68e5d,88e2d83bf5ffb7b69c2c2e83a62d45545d5a5673cc1ad4f248d5825d1beb7e03
10,Ga-Ho-Lu,1,5,5,0,0.49,0.49,0.0,0.5,0.5,dbaefff87f474e98d14d25babdcd6429040ecd017400ced46e9291de66f539ea,8824a091a46e7d753b3892eba3e6b4c3dd3a1aeb36c099062e069cabdf856b0b
10,Ga-Pt-Tm,1,6,3,-3,0.5,0.33,-0.16999999999999998,0.6,0.3,b9cb9cc531a0b002710d5d1623cbfd1d62a876a5863d6a0e706e6777c9916c89,916bdf48ff7c06acedc386e314327c9d5e225ebe3646e226ce47969e397df29d
10,Hf-Ni-Zr,1,2,2,0,0.3,0.2,-0.09999999999999998,0.2,0.2,5ffb00f3d45077ee5d7fedbea56990a610ec2596ace70268e403de9f605382c6,e42940d30167591fc8694c5f5a9de928c27620b158c52f5cf99b37f05cd8d4de
10,Ho-In-Mg-Pd-Zr,1,0,0,0,0.0,0.0,0.0,0.0,0.0,35dcb4bcf086be6b5223230f970516f60cc479c8a879e48b94560bebc98220e1,4021b5b0ebba30f5ba83077f6884ec93e27f09d3c6cc504d3331b7d814d2f7f0
10,Mg-Sn-Sr,1,7,7,0,0.67,0.79,0.12,0.7,0.7,797692a6c5dc4ac323ead3b4f3dca2295279b0348ba324c80281ae96d4aecad9,f375b0cd19fc013f162c9d3dc1dda4a26083b0c56fd2c4db5caf5ebb9232cf62
30,Al-Li-V,1,7,3,-4,0.3055555555555556,0.15,-0.15555555555555559,0.23333333333333334,0.1,0e55b8c13ce8e87041c928a9a2f586a9a381a362232e8321f39b7949584418a0,935fee5f7b382a51867bbbdaf853024a76a77bd4de85f2a87d3fca86ec652ee7
30,Al-V-Zn,1,12,12,0,0.4088888888888889,0.3422222222222222,-0.06666666666666671,0.4,0.4,a40c2dcc5e96a80af21e0c35ee2cf59907557c1b668facb74555daa98a0038fd,876d33adda136195d3e759e5e313dcb42c65a814a0ec911911c4913a3c42f1a6
30,Au-Cr-Cs-Dy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,eb51be250e71518e8c33f086b786d9efa07baccd77960b5d5030a74853440a38,c341f37cb2f07b22d211e3ec0176dde853c56e8882b1c6b08db8c5ebb4928295
30,Au-K-Tb,1,18,3,-15,0.6311111111111111,0.06555555555555556,-0.5655555555555555,0.6,0.1,31c92b435eb6fedaa07bfec437bafa6a4ad96f64613d75cd679ce99316766d07,b9340cac79f02c247e242cac145d96976e01b722e5f0182e94ace274b8c9f2eb
30,Au-Tb-V-Y,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2e902a909c9ed18bfd74616870e07a68a2a226b745c78098d366f005d112658f,fcfc45806ed0f207df4918e433434721e07a3ada479d6b162f6facf1eb6d5cb0
30,Ba-Be-Hf-Li,1,0,0,0,0.0,0.0,0.0,0.0,0.0,afcf9460b5bd8c0f5f7af1cbfab92652fe878b22be99f578514d985f50182c6d,faf237496d7e7c921b90698ed2338aa4e921e737e9e1b96207ca4eb725912b09
30,Ca-Pd-Sn-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,88e39a0fbc800981c7ebcf2d512fa2aaae6bf779f612b83ee9f88bd33be8149a,f203f1d5d84256fe468e492f73420f98c7d117ed3437a72dd6e0333da39fbfa6
30,Ce-Er-Pb-Rh,1,3,4,1,0.12111111111111111,0.2222222222222222,0.1011111111111111,0.1,0.13333333333333333,32b53fa2379f8801f7fef7f2edbd2c7beeb40ce32b7239716c4b98c3234c5cea,4ac6f71a275ed8b65fce9c59ff8901aadf1351c6f67b0f23a7fb913383a7d9b8
30,Co-Dy-W,1,0,0,0,0.0,0.0,0.0,0.0,0.0,505e444ca4d5458b02b424de10f705a7d7e8b1ff85f27a382a84a8042c07533e,9b8cb4fdd4c9a209e97f6a2616370a8f79475a74a5e5a15422d2a0525ca7c9e0
30,Co-Mg-Na,1,0,0,0,0.0,0.0,0.0,0.0,0.0,71095b213da82aa0bd8a3ac79425fefd3325b9c194be778e70907b30104057d2,6b99d9b97c3be36bc8e7f9c5bd0138615c6106a62464581df1a46400074c15b9
30,Co-Pd-Tl,1,3,0,-3,0.15666666666666668,0.0,-0.15666666666666668,0.1,0.0,574c78a41a1f106de923ece5a9ed81c067f5cbf6749982d4e6d067529f50b6a3,80c757b2fcb02a1f6f56545b50a200584282cd083dfb256885dba339e792bae6
30,Ga-Ho-Lu,1,10,11,1,0.4177777777777778,0.40555555555555556,-0.012222222222222245,0.3333333333333333,0.36666666666666664,eb1ec7265e68e83f350b115881782aab23a9bfa45e8076f0dd8e5734c3206d7e,fb660b666c933f4bf1f63131617a0586bf95c18e676dcc1b141cda2a0e16c431
30,Ga-Pt-Tm,1,15,10,-5,0.5855555555555556,0.46444444444444444,-0.12111111111111117,0.5,0.3333333333333333,d4765aefe99ab15e023c2faf2e4fec9976e9569c8a0e5163ccf790ad37675a65,ee88011ec52e3d9a0eccfa6d7920553292ff990dc5dd2a46991a84a448efb3c4
30,Hf-Ni-Zr,1,15,10,-5,0.45222222222222225,0.28,-0.17222222222222222,0.5,0.3333333333333333,c4cc2c61c6f5b5d93b795985e37570e9574fe68b0da3c8edd1ac4d75c7bf77fd,ccb4684f4c0779bff3ad67c6004f1c0b0f9c3d9122a752e2f1a639811c1059b9
30,Mg-Sn-Sr,1,27,15,-12,0.9077777777777778,0.5255555555555556,-0.38222222222222224,0.9,0.5,d2f8aeb4f2490bd1ad33c309769bf976de13f3f6c81053e9a36952620a8df699,d964d50731e352b98aebaae7159e1cbb29ab815213b442ce3fdc960e7c4fc6c0
