budget,method,complete_trajectories,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,wall_seconds,initialization_wall_seconds,graph_seconds,llm_calls,tool_RPC_errors,failed_candidate_RPC_responses
10,baseline,30,300,967,,16619.681491496507,2593.663980477024,0,695,52,0
10,esopt_graph_risk,30,300,967,,54377.69029097166,2575.294758106582,29482.262079197448,1429,85,0
30,baseline,30,900,967,15359,82489.41779224109,2265.9020160608925,0,2078,238,0
30,esopt_graph_risk,30,900,967,,127401.8894287073,2501.981877081562,73468.74935746565,2751,246,0
50,baseline,30,1500,967,23198,108242.00897387695,2607.682131089736,0,3270,371,0
50,esopt_graph_risk,30,1500,967,,217951.84250293672,2653.887150886003,125924.02979793353,4318,402,0
