budget,task_id,seed,baseline_SUN,full_SUN,delta_SUN,baseline_AUDC,full_AUDC,delta_AUDC,baseline_mSUN,full_mSUN,delta_mSUN,baseline_raw_result_sha256,full_raw_result_sha256
50,Al-Li-V,1,22,3,-19,0.4776,0.0844,-0.3932,0.44,0.06,-0.38,3b4d343fc0c82485692485f95594e139c2e736947ce2bf2412d170cffe024282,5fb174448f2613064339457e83202959201507ba2be260b448c7e8900ec68d1b
50,Al-V-Zn,1,22,17,-5,0.5,0.394,-0.10599999999999998,0.44,0.34,-0.09999999999999998,9e228d69004fed701f4dbc2b6378c1b65ca65a685ac64a42f98a811067d4768a,e5b28c7594b887000686903bcf7bdf90a59c24472810f2c34fb55565846d1718
50,Co-Dy-W,1,1,0,-1,0.034,0.0,-0.034,0.02,0.0,-0.02,2610870257d1d464304114f39555d4d87d07fb8c359ff6a36f073d1b91bb33fa,e349aec9af0eef43cee81f7ed3869e2584093e7c4980e68873455af6f436250c
50,Ga-Ho-Lu,1,18,19,1,0.404,0.4356,0.03159999999999996,0.36,0.38,0.020000000000000018,ab6be74f4cdfb5e66752ea84d75030b372a8d27182fd506fbeec264fa941f3aa,51566eee67f9947ec76a8edb88449fc6551c16ff82583771431b2ed03e3087ac
