job_id,budget,task_id,method,seed,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,wall_seconds,initialization_wall_seconds,graph_seconds
all30-final-made-9577fc5b372192d5a57a0b66,10,Ca-Fe-Gd-Pb-Tb,baseline,1,10,23,145,583.1745210103691,83.1860554292798,0
all30-final-made-fc32992f7efefd416e04c208,10,Cr-Fe-Lu-Pt-Sc,baseline,1,10,32,,361.8720210129395,77.93231861572713,0
all30-final-made-1500a7c5b01112deaf43bfe9,10,Dy-K-Pd-Sm,baseline,1,10,17,196,624.1289087980986,57.5396679257974,0
all30-final-made-29a6382ae615c1a04e459653,10,Hf-Ni-Zr,baseline,1,10,22,170,600.2725979667157,86.2426874153316,0
all30-final-made-3b6d75c2fa78012d74822eb9,10,Ba-Nd-Ni-W,esopt_graph_risk,1,10,12,114,2495.9482717905194,57.19578888267279,1135.174120415002
all30-final-made-ca4d392d588e45b39931f2c9,10,Ca-Fe-Gd-Pb-Tb,esopt_graph_risk,1,10,23,,1368.3740310100839,71.79262823425233,552.4908062908798
all30-final-made-2f9df183906d1a04875a9fe2,10,Cr-Fe-Lu-Pt-Sc,esopt_graph_risk,1,10,32,122,1616.4913326017559,82.566496825777,662.8720454266295
all30-final-made-209ea82da301af23164f595b,10,Dy-K-Pd-Sm,esopt_graph_risk,1,10,17,,2022.5532079236582,54.2403414491564,1388.6127316961065
all30-final-made-2436e44814e8d16489bec879,10,Hf-Ni-Zr,esopt_graph_risk,1,10,22,90,1538.957547724247,84.79478452075273,749.8236546730623
all30-final-made-f97b9ead831963615e7b4a32,10,Ca-Pd-Sn-W,baseline,1,10,26,190,734.4367989804596,71.66951197106391,0
all30-final-made-4f2170f84bd98c346e4d478e,10,Cd-Gd-Mn-Na-Ta,baseline,1,10,17,59,543.0504988636822,65.14472853112966,0
all30-final-made-097dbe77e9aa0571f74bbc31,10,Eu-Nb-Sn-Tl,baseline,1,10,21,120,527.2336430698633,61.458123575896025,0
all30-final-made-c62306db0d2beb6139233c35,10,Ho-In-Mg-Pd-Zr,baseline,1,10,126,151,385.216130213812,229.85841359570622,0
all30-final-made-a0c7b559824ee92973b466f7,10,Mg-Sn-Sr,baseline,1,10,96,106,556.4628726262599,202.91153236106038,0
all30-final-made-47b3183a8bb689fcbb041a8f,10,Ca-Pd-Sn-W,esopt_graph_risk,1,10,26,,1405.741298077628,76.35539223533124,800.4706652266905
all30-final-made-77e8aed9df72d16d470b6252,10,Cd-Gd-Mn-Na-Ta,esopt_graph_risk,1,10,17,,1839.4061766555533,75.81387446075678,970.3852998306975
all30-final-made-f5c545c2fcf285a7aedc552f,10,Eu-Nb-Sn-Tl,esopt_graph_risk,1,10,21,,1593.2102657333016,54.549054650589824,1084.4832210605964
all30-final-made-8142bd6bae65cd46fdff2387,10,Ho-In-Mg-Pd-Zr,esopt_graph_risk,1,10,126,,1924.2658232711256,224.72851659264416,764.1734102563933
all30-final-made-28020e03780ed5e0ab044caf,10,Mg-Sn-Sr,esopt_graph_risk,1,10,96,73,1567.5335450842977,200.6077610095963,798.9498479254544
budget-final-made-4f87ce88320a28f3fae38bb5,30,Al-Li-V,baseline,1,30,16,316,2388.581607230939,41.694691323675215,0
budget-final-made-a50bdf512ef495cd2a5fbb3c,30,Al-V-Zn,baseline,1,30,12,527,3217.27693086816,36.16963103413582,0
budget-final-made-9068c1f42a4e19b5aad40540,30,Au-K-Tb,baseline,1,30,11,319,1410.1975529389456,34.845756992697716,0
budget-final-made-c68456aaf690e4e9e5bab24e,30,Co-Dy-W,baseline,1,30,11,449,3096.127388224937,43.95294971903786,0
budget-final-made-57b95bfdfcf86615de0d6000,30,Co-Mg-Na,baseline,1,30,13,1094,3107.066925158724,39.71037085540593,0
budget-final-made-8f47284bf3a0ec57b02b8dd8,30,Co-Pd-Tl,baseline,1,30,12,510,3403.728294869885,37.80257291533053,0
budget-final-made-c7271a54a71297bd6edd144f,30,Ga-Ho-Lu,baseline,1,30,20,214,1277.699074135162,58.94906272739172,0
budget-final-made-bff71cb764d235df71da7a55,30,Ga-Pt-Tm,baseline,1,30,29,223,1121.6476546218619,87.94606376904994,0
budget-final-made-96bc0fa4964476d79dfdca15,30,Hf-Ni-Zr,baseline,1,30,22,479,3417.0224630762823,77.73393234005198,0
budget-final-made-cadd08e961acf270bbe53218,30,Mg-Sn-Sr,baseline,1,30,96,217,1451.4135357979685,178.94417968392372,0
budget-final-made-0f82537991ac5e00ab89edf1,30,Au-Cr-Cs-Dy,baseline,1,30,11,735,2876.400574663654,35.634874699637294,0
budget-final-made-ff8a825b8e2ac6d1d4f7532c,30,Au-Tb-V-Y,baseline,1,30,23,465,2943.2713317209855,50.261509594041854,0
budget-final-made-9b22f46f38016340b4c7029a,30,Ba-Be-Hf-Li,baseline,1,30,8,534,2235.863862049766,28.46358341909945,0
budget-final-made-aa6d5d1f650c00591d6456ac,30,Ba-Nd-Ni-W,baseline,1,30,12,638,4081.3111638268456,46.18105187872425,0
budget-final-made-a6e4dac0bf2f5ff023d4600e,30,Ca-Pd-Sn-W,baseline,1,30,26,873,3368.5268592201173,55.63335264008492,0
budget-final-made-b4d790d068ffda2c4c0b6d0e,30,Ce-Er-Pb-Rh,baseline,1,30,33,564,3406.9021035959013,70.06190240988508,0
