branch,transition,population,normalized_rewards,sigma,alpha,expected_isotropic_perturbation_l2,expected_update_l2_if_zscores_plusminus1,actual_delta_l2,actual_to_expected_perturbation_ratio,selected_generation
MADE_ES_only,G0->G1,2,"[1.0000001192092896, -0.9999997019767761]",0.001,0.0005,67.37407168933758,23.8203314838396,23.81999667597458,0.3535484212058429,1
MADE_ES_only,G1->G2,2,"[-0.9999998807907104, 0.9999998807907104]",0.0002,0.0005,13.474814337867517,23.8203314838396,23.82038028409913,1.767770574556864,1
MADE_full,G0->G1,2,"[1.0, -1.0]",0.001,0.0005,67.37407168933758,23.8203314838396,23.819999449110107,0.353548462366121,2
MADE_full,G1->G2,2,"[0.9999998211860657, -1.0000001192092896]",0.0002,0.0005,13.474814337867517,23.8203314838396,23.82038167063678,1.7677706774553246,2
SnAr_ES_only,G0->G1,2,"[0.0, 0.0]",0.001,0.0005,67.37407168933758,23.8203314838396,0.0,0.0,0
SnAr_ES_only,G1->G2,2,"[0.9999995827674866, -0.9999999403953552]",0.0002,0.0005,13.474814337867517,23.8203314838396,23.819911620973276,1.767735793882778,0
SnAr_full,G0->G1,2,"[-0.9999963045120239, 0.9999963045120239]",0.001,0.0005,67.37407168933758,23.8203314838396,23.820569565192166,0.35355692431695407,0
SnAr_full,G1->G2,2,"[-0.9999997019767761, 0.9999997019767761]",0.0002,0.0005,13.474814337867517,23.8203314838396,23.819910234814802,1.7677356910124573,0
