arm,task,budget,seed,SUN,mSUN,AUDC,candidate_oracle_attempts,completion_tokens,graph_seconds,initialization_oracle_attempts,initialization_wall_seconds,llm_calls,prompt_tokens,rpc_attempts,score_sentinels,step_attempts,surrogate_oracle_attempts,tool_attempts,wall_seconds,failure_rate,selected_generation,status,job_id,result_sha256,completion_sha256,observed_UTC
Native,Mg-Sn-Sr,5,1,5,1,1,5,2494,0,96,193.6649531358853,16,31189,30,8,5,8,15,280.3436910370365,0,0,accepted,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Native,79a162aa941c833eb83ec69b02f52250225b35c3a1db6c2739a9a9ff9298e446,5ee3a90b1840b3bdd4c25e2355485a3a44dfda60e8190036afd07f7665644cc4,2026-09-23T12:46:03.468Z
Hidden145Fixed2,Mg-Sn-Sr,5,1,4,0.8,0.8,5,5386,0,96,182.81481338106096,36,66702,36,12,5,9,18,634.2290405551903,0.19999999999999996,0,accepted,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-Hidden145Fixed2,137374d6e41bc4ea902014cdba97dcf037c1f3ee7a8379010d2bd2d6cf3a85a1,f090497dcd437c0b8bc1d6b326ec27acd59100eb30b9acf20fd2f12fe5d9e80a,2026-09-23T12:46:03.468Z
G2Full,Mg-Sn-Sr,5,1,4,0.8,0.96,5,3496,418.58187308348715,96,183.6171627091244,23,21669,20,,5,,10,804.9518946614116,,2,accepted,made-tiny20-20260923-Mg-Sn-Sr-b5-s1-G2Full,8ae05930be2a25d39145723fe0ce66a3e1a2f4acfae5cf535fcbdd9771737216,c66ce00c54b93ec38dc0435375baf9e370e80a38724accf926fc3255c3c6dab3,2026-09-23T12:46:03.468Z
