model,optimizer_updates,macro_training_holdout_BCE,fold_0_BCE,fold_1_BCE,fold_2_BCE,selected,macro_fold_train_prior_BCE,macro_half_BCE
full_internal,0,0.7023789018891564,0.6991567297961259,0.7008590007492067,0.7071209751221367,False,0.6369315181421524,0.6931471805599453
full_internal,2,0.6917233226443641,0.6930532766894221,0.6919054224683677,0.6902112687753025,False,0.6369315181421524,0.6931471805599453
full_internal,4,0.6815796907583589,0.6901290770410307,0.6807684864761014,0.6738415087579446,False,0.6369315181421524,0.6931471805599453
full_internal,8,0.6650386955979609,0.7042815004324019,0.6509273171971002,0.6399072691643806,True,0.6369315181421524,0.6931471805599453
full_internal,16,0.6964793218975208,0.8331488443557072,0.628133994521104,0.6281551268157511,False,0.6369315181421524,0.6931471805599453
full_internal,32,0.874000943523867,1.1806243991274306,0.6862007770999621,0.7551776543442086,False,0.6369315181421524,0.6931471805599453
full_internal,64,1.464568317844266,2.0676926551744192,0.9710866505596403,1.3549256477987388,False,0.6369315181421524,0.6931471805599453
full_internal,128,3.5603881769494414,4.7456224314694095,2.433944735155819,3.501597364223095,False,0.6369315181421524,0.6931471805599453
full_internal,200,4.147103649186784,5.516329806992541,2.898210203689269,4.026770936878542,False,0.6369315181421524,0.6931471805599453
external_only_control,0,0.6969048422772236,0.6953464444128943,0.6981101158944284,0.697257966524348,False,0.6369315181421524,0.6931471805599453
external_only_control,2,0.691808910023314,0.6924290308478868,0.6936776421449922,0.6893200570770631,False,0.6369315181421524,0.6931471805599453
external_only_control,4,0.6869355140049431,0.6897111991060499,0.689452800730808,0.6816425421779716,False,0.6369315181421524,0.6931471805599453
external_only_control,8,0.677610070712459,0.6847538881762921,0.6814450675142657,0.6666312564468192,False,0.6369315181421524,0.6931471805599453
external_only_control,16,0.6595119858400337,0.6763843942658877,0.6664177794635534,0.6357337837906598,False,0.6369315181421524,0.6931471805599453
external_only_control,32,0.6288775935161797,0.6749328907819157,0.6430616732896451,0.5686382164769782,True,0.6369315181421524,0.6931471805599453
external_only_control,64,0.6567200572426939,0.7587836740472079,0.6507253779640928,0.5606511197167809,False,0.6369315181421524,0.6931471805599453
external_only_control,128,0.686670131138279,0.7550814761054009,0.6946695258993861,0.6102593914100499,False,0.6369315181421524,0.6931471805599453
external_only_control,200,0.8414225809858598,0.8066763048312672,0.827796079573729,0.8897953585525831,False,0.6369315181421524,0.6931471805599453
