model,scoring,selected_optimizer_updates,temperature,n,error_rate,auroc,error_auprc,brier,nll,ece,risk_coverage_auc,overconfident_error_rate_p_le_0_1,probability_min,probability_max,n_at_or_above_fixed_point6,data_role,provenance
full_internal,raw,8,1.0,83,0.5060240963855421,0.4959349593495935,0.5141643922284995,0.2654227486484861,0.7269104171680681,0.09570350508171671,0.5160639913675642,0,0.4672172873186003,0.7685366462977224,23,original_dev_post_train_only_selection,actual_saved_logits
full_internal,calibrated,8,54.59789125336964,83,0.5060240963855421,0.4959349593495935,0.5141643922284995,0.25007553268161126,0.6932982463819799,0.007225152003465364,0.5160639913675642,0,0.4993986984963431,0.5054948018381862,0,original_dev_in_sample_calibration,actual_saved_logits
external_only_control,raw,32,1.0,83,0.5060240963855421,0.43089430894308944,0.4961178584815053,0.26413410843759666,0.722517278353052,0.09817791917238708,0.5445912011045093,0,0.5431376885622113,0.6808934832141114,41,original_dev_post_train_only_selection,actual_saved_logits
external_only_control,calibrated,32,54.59793176301648,83,0.5060240963855421,0.43089430894308944,0.4961178584815053,0.2500455299439648,0.6932382421023227,0.004077061805886073,0.5445912011045093,0,0.5007920659720446,0.5034702264925182,0,original_dev_in_sample_calibration,actual_saved_logits
constant_half,constant,,,83,0.5060240963855421,0.5,0.5060240963855421,0.25,0.6931471805599453,0.0060240963855421326,0.5167344752269633,0,0.5,0.5,0,original_dev_control,recomputed_from_labels
constant_train_prior,constant,,,83,0.5060240963855421,0.5,0.5060240963855421,0.2861479815989605,0.7717975379270092,0.1902216374028538,0.5167344752269633,0,0.6962457337883959,0.6962457337883959,83,original_dev_control,recomputed_from_labels
original_scalar,original_temperature,,54.5978037363953,83,0.5060240963855421,0.516260162601626,0.5447206388515821,0.25000647253815217,0.6931601256163626,0.01836502915267821,0.469543748698831,0.0,0.49946076792436045,0.5009171839826045,0,original_dev_previously_used_for_original_selection_and_calibration,actual_control_metrics_with_prior_public_float32_probabilities_checked_2e-7
