model,fold,heldout_episode,optimizer_updates,split,auroc,brier,n,n_at_or_above_fixed_point6,nll,model_state_hash,source_sha256
full_internal,0,collection-made-0e27e5c04511ea16fc8c64a3:episode:0,200,heldout_training_episode,0.4941724941724942,0.4481244741837981,85,54,5.516329806992541,136048cabca644e7295f341a71a9019d7c0e7ed425bcfef15ed43ee430cb74d8,7385503e86bbd262602e648f46d64430df779669fcd4bed08b0da31fcb914414
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,0,train,0.4471134704711347,0.2550823680894149,192,0,0.7033153822063577,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,97df3ea108a1bd69f0989f6497949e39e6057afa56152ff5b4385191774d9f8e
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,0,heldout_training_episode,0.42405618964003505,0.2538546310231235,101,0,0.7008590007492067,6c424259a7e177f570c6826a6bfce13bc159cda4fdfab2da1ff78e0bbd8e9c84,97df3ea108a1bd69f0989f6497949e39e6057afa56152ff5b4385191774d9f8e
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,2,train,0.615129396151294,0.2476923617047148,192,0,0.6885185807403271,8d265ebfa29fdd8237fa5c240344b1a7255f88099779a3eec9a52f9a2bd81765,fb18b3906e9e04b745a9db50a71d7785690d9016b5a5e99a54dc75f37d8c4b87
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,2,heldout_training_episode,0.5610184372256366,0.24938087207217335,101,0,0.6919054224683677,8d265ebfa29fdd8237fa5c240344b1a7255f88099779a3eec9a52f9a2bd81765,fb18b3906e9e04b745a9db50a71d7785690d9016b5a5e99a54dc75f37d8c4b87
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,4,train,0.6432647644326477,0.23986052678427064,192,5,0.6727033148552195,9319778b4424f60f08975c87a5e735c4824c0215e9bb6e645eff1ea86bd9ae39,e7620cf8264fe462e0e7140fbb1427ec1086d500f92334cddb3b6d75aed0632d
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,4,heldout_training_episode,0.5715539947322212,0.2438434867179908,101,0,0.6807684864761014,9319778b4424f60f08975c87a5e735c4824c0215e9bb6e645eff1ea86bd9ae39,e7620cf8264fe462e0e7140fbb1427ec1086d500f92334cddb3b6d75aed0632d
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,8,train,0.6270736562707365,0.2223421139284482,192,51,0.6358963229567797,e9a05b74494c9afb10a34a86434e7ad4ae96b17b8ae9ac3b2c04c284159a1901,d96e7cfbf08d36ff6b0d64698e6a298d43475dd93d4fe1f8df6febaa8122088e
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,8,heldout_training_episode,0.6106233538191396,0.22929805734953046,101,17,0.6509273171971002,e9a05b74494c9afb10a34a86434e7ad4ae96b17b8ae9ac3b2c04c284159a1901,d96e7cfbf08d36ff6b0d64698e6a298d43475dd93d4fe1f8df6febaa8122088e
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,16,train,0.6894492368944924,0.19257856795986625,192,161,0.5714594340950088,1743dfdc0eaa3a544c179cfbabf4b49fb331094348457e5f647c7f470d1a42c4,edb426e47cbe639bfef8244866dc56a7968e33da1f00c9d764b4193d172f9af8
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,16,heldout_training_episode,0.597892888498683,0.21845180026969568,101,88,0.628133994521104,1743dfdc0eaa3a544c179cfbabf4b49fb331094348457e5f647c7f470d1a42c4,edb426e47cbe639bfef8244866dc56a7968e33da1f00c9d764b4193d172f9af8
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,32,train,0.8175182481751825,0.15681397870210037,192,151,0.47579778985414767,fcaff46ea0bf38a4ff6d4a3667d910b3ad120cf4d22b7f5ea6624bd2c8f67f16,3d394233acfae61185923e0b2b05d2d6ab57c55a77f389d9958b461a24cf77e9
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,32,heldout_training_episode,0.5035118525021949,0.24197053380800107,101,83,0.6862007770999621,fcaff46ea0bf38a4ff6d4a3667d910b3ad120cf4d22b7f5ea6624bd2c8f67f16,3d394233acfae61185923e0b2b05d2d6ab57c55a77f389d9958b461a24cf77e9
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,64,train,0.9670869276708692,0.07556980436102313,192,136,0.2520885744917303,1d100dd6accc783b1f49c9cc5b0121cbc94f0b7238d602d2ad589ee4e21ec92a,4a76cccabf40b0857ac0321b88f859ef303707cc16e79a000e01fd5f006120a4
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,64,heldout_training_episode,0.49078138718173836,0.2975254840111722,101,72,0.9710866505596403,1d100dd6accc783b1f49c9cc5b0121cbc94f0b7238d602d2ad589ee4e21ec92a,4a76cccabf40b0857ac0321b88f859ef303707cc16e79a000e01fd5f006120a4
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,128,train,1.0,6.631955222275635e-05,192,137,0.004794448834859921,cac6d52a87493e00352b22342aaa84a12cf41b11cd8d832cb78270eed6a6860f,9a14cf16864544b0d583e327215a4eafc0007407321b2a99f6c8a4a53e13221a
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,128,heldout_training_episode,0.5280948200175593,0.3484045545006627,101,80,2.433944735155819,cac6d52a87493e00352b22342aaa84a12cf41b11cd8d832cb78270eed6a6860f,9a14cf16864544b0d583e327215a4eafc0007407321b2a99f6c8a4a53e13221a
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,200,train,1.0,3.741969979537121e-06,192,137,0.0011531199545446855,b8a85f10fe6d2ea80275fe2f6685c5e7d1280be88d2761a014668daf139b6cf0,b71a7ea724cde28da322c9cd24dc5d688b72ca60da68da77cecb6e1ee5043dc5
full_internal,1,collection-made-842d23cafa43e4f28a139ee9:episode:0,200,heldout_training_episode,0.5280948200175593,0.3566215033641604,101,81,2.898210203689269,b8a85f10fe6d2ea80275fe2f6685c5e7d1280be88d2761a014668daf139b6cf0,b71a7ea724cde28da322c9cd24dc5d688b72ca60da68da77cecb6e1ee5043dc5
