variant,family,fit_rows,FNR_at_05,FNR_threshold,auroc,brier,episodes,failures,false_negative_count_at_05,mean_predicted_failure_probability,nll,nonfailures,observed_failure_prevalence,predicted_high_risk_fraction_at_05,probability_range,rows,worlds
base84,Internal,84,0.3,0.5,0.9600000000000007,0.06886971556587929,2,10,3,0.2820137447444722,0.22076867780751253,30,0.25,0.225,0.9867709027603269,40,1
base84,OutputAction,84,0.2,0.5,0.9100000000000006,0.11068947541783113,2,10,2,0.33181970358127727,0.3557955868766246,30,0.25,0.3,0.9646757976152003,40,1
with_ES,Internal,96,0.2,0.5,0.9500000000000006,0.09174483090442362,2,10,2,0.31936309530865403,0.27963594509293904,30,0.25,0.3,0.9851264962926507,40,1
with_ES,OutputAction,96,0.2,0.5,0.9433333333333338,0.10377881630906888,2,10,2,0.34766362357186154,0.34618365563289977,30,0.25,0.325,0.9909713421948254,40,1
with_milestones,Internal,87,0.3,0.5,0.9600000000000007,0.06852509394126315,2,10,3,0.2804749884176999,0.2216723184574558,30,0.25,0.225,0.9813547022640705,40,1
with_milestones,OutputAction,87,0.2,0.5,0.953333333333334,0.08917511639965443,2,10,2,0.28205795868416317,0.27678980330089764,30,0.25,0.275,0.9875568968709558,40,1
combined,Internal,99,0.3,0.5,0.953333333333334,0.08446273702239383,2,10,3,0.3063062206376344,0.25893461347565744,30,0.25,0.25,0.9820257388055325,40,1
combined,OutputAction,99,0.2,0.5,0.9600000000000007,0.08290777007190578,2,10,2,0.28720815640190267,0.2278140481440693,30,0.25,0.275,0.9995533049514052,40,1
