comparison,arm,baseline,task_id,budget,seed,baseline_job_id,arm_job_id,baseline_result_sha256,arm_result_sha256,SUN_baseline,SUN_arm,SUN_delta,SUN_sign,AUDC_baseline,AUDC_arm,AUDC_delta,AUDC_sign,mSUN_baseline,mSUN_arm,mSUN_delta,mSUN_sign
full_support_aware_minus_baseline_reference,full_support_aware,baseline_reference,Co-Mg-Na,10,4,component-final-613da1e8bf281966bbdc66db,support-final-32b9c75a950dc72b690b9f75,fd029822d31e28cfd66701bbaed5be38a2a0cc17a80962b6345b60e6ecab1827,b7ae89ef0a8d7652627f1266eb8b7509efd8b204fe110b92f0bc38bfaab6b0d3,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-Li-V,10,2,component-final-32355a4d9bcc6137d52ada7b,component-final-2e27f5563acb699daae1d131,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,3def5a89eaf3f089ed59ffe1070e84d683f0ec252f3e5e0d5d9dff12099d4521,0,1,1,positive,0.0,0.15,0.15,positive,0.0,0.1,0.1,positive
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-Li-V,10,3,component-final-10ad51e80000935d29c71786,component-final-8e1fbdae4c717bead751ef3f,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486,d2f714fa8c04ed184e9e2f67037c30579b9dab0a37e3b0de9e2d9267c137f529,2,0,-2,negative,0.08,0.0,-0.08,negative,0.2,0.0,-0.2,negative
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-Li-V,10,4,component-final-a51d66c7e21ca9788f45a008,component-final-d183e09d99cadf104f59d07e,c532fb3814b448aa15c8b3f7b6856b05e5fa4b8b4e1c8c3047042a883bfe77d8,220d58dd32917d137646f7ce6ab230ce6e110276428bcb47db0bf3fccdbf8981,1,0,-1,negative,0.15,0.0,-0.15,negative,0.1,0.0,-0.1,negative
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-V-Zn,10,2,component-final-50555fb4776e15c94b4beec9,component-final-b20a8fccedb10da7d5ed97a6,d9b218c8bad233d3536f23da5a6b9c2c2e74be87c1de93e6e773b919ed431287,a2d4dddec8c2bb359914f5b829ba17d6a92055b259d67f1b6bb0abf6109822a0,4,4,0,tie,0.5,0.46,-0.03999999999999998,negative,0.4,0.4,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-V-Zn,10,3,component-final-52aa59f42080e58cda2f64b0,component-final-02fb34c6b01aed253ffa4730,b2b55503dfd55b427a93f4bf41ffd256d8fbf3eab136003a3e6744e16ecedb00,f7eecc81de4150b5f4e42fa01da1760c84d75c576fbe016e5875a59e3fcdc95d,5,5,0,tie,0.69,0.63,-0.05999999999999994,negative,0.5,0.5,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Al-V-Zn,10,4,component-final-70adf56898316f73ea4720ab,component-final-2ba86fe5167c7c377083c728,dc46959c1f59d28c120f90d490678fb3482c7311f6d7b5b9c2ad1dcac129da09,3a091c409927a87c0357f35a85a1dfe4e2b6fbea38db4bbc30046b6509286bea,6,3,-3,negative,0.66,0.35,-0.31000000000000005,negative,0.6,0.3,-0.3,negative
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Au-K-Tb,10,2,component-final-829f81d1c8b6dff9869aa711,component-final-637e688029854bff551ffb68,9f07e57ccac9ecbbb8efdba9bb53f40e01516281d4a483b4ac79549aabcc3581,92177e12c0328dca62ff065968c368284172c75a28226a2cc4186caa4dce8e0b,4,1,-3,negative,0.26,0.19,-0.07,negative,0.4,0.1,-0.30000000000000004,negative
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Au-K-Tb,10,3,component-final-57ec2ac8f1ba4127bcccc073,component-final-f01350a0031f3cb06d45632e,5141a04e7c4c4ed3274118fc1ca5c91b8a99123e2d762a5e92704d1f316d73ca,864df57c51dc3013c721c08a0173d3b195cc60407040e529b9620b4eb9e6527d,0,1,1,positive,0.0,0.17,0.17,positive,0.0,0.1,0.1,positive
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Au-K-Tb,10,4,component-final-b1999f2e9c20505d5a373485,component-final-fd363bc50f56142b92b62728,e435c92428dbdf393ee2be8b0d27041c49689bba1d5bfc0599132b987da9c7df,41c1a417aea1eea2b0c72bd5aebe8473f89dcd1314f78733490cc86e47143bf4,0,1,1,positive,0.0,0.01,0.01,positive,0.0,0.1,0.1,positive
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Dy-W,10,2,component-final-2dce2a3709aad3945727809d,component-final-309c3c6fb2c047a93c1f8575,37c8b86237908291514a07069995060c740cbff46380cf93a5a7a5660c241954,f16fb1f1bfd68b7fc1eccd1cad16b2b6f93f3b14e4fbb7b1e6df59e1bb426c43,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Dy-W,10,3,component-final-3a4b0c1cd037fc1028c65eb5,component-final-ced0af809caafbfd44aa8165,dd2b01c3976a4124606cc6bfb3d0b852efcdaeed7fe3bfed48244159d86c5b1b,6c78a96ae978e2d638c076b1bb8e73023896d5bce50ebb2c2bd8ab1151eb6443,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Dy-W,10,4,component-final-a526e6a613189f807a458cb1,component-final-60a0f011651058cfacc89f7b,2823c081c1c71b4babc11104c06f8a97156bfa3c870d0cb8f57f13a70fd15ab7,92167d13ba163d83b8f8146f8ac07b81a438ef68ad82994836663953918e3ff9,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Mg-Na,10,2,component-final-a8630b6c09e7eed6994a9658,component-final-7cc2c2335ff1e079999ecabb,d73f6d0f6e0d2447bad12190bc1ba9a26bf7afcfae9d935feadb435e99eac58b,8d9e67b75d127c0335be5aad62c1e689779876391e0282ea28af7fae86fdf863,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Mg-Na,10,3,component-final-4b3d96d6b87ab535fb130a5e,component-final-827fb29e7d467a5c1448a2d5,32f94791f16f5860009a461f85834fb35101e2b0a2baad27766d4cced92827d5,2f59dac9a42725817eecaf72f33ee002389538ecd60cdde8cda7100256f183a0,0,0,0,tie,0.0,0.0,0.0,tie,0.0,0.0,0.0,tie
es_only_independent_minus_baseline_reference,es_only_independent,baseline_reference,Co-Mg-Na,10,4,component-final-613da1e8bf281966bbdc66db,component-final-209f38eb700cca3d60e9efa7,fd029822d31e28cfd66701bbaed5be38a2a0cc17a80962b6345b60e6ecab1827,e7bb8992976459cfddf7de98f1825c89e6116e9ef87899e8fce63a68cefce7ff,0,1,1,positive,0.0,0.01,0.01,positive,0.0,0.1,0.1,positive
