comparison,n_seed_aggregates,ddof,variance_axis,SUN_total_delta_mean,SUN_total_delta_sample_variance,SUN_total_delta_sample_SD,SUN_macro_mean_delta_mean,SUN_macro_mean_delta_sample_variance,SUN_macro_mean_delta_sample_SD,AUDC_macro_mean_delta_mean,AUDC_macro_mean_delta_sample_variance,AUDC_macro_mean_delta_sample_SD,mSUN_macro_mean_delta_mean,mSUN_macro_mean_delta_sample_variance,mSUN_macro_mean_delta_sample_SD
full_support_aware_minus_baseline_reference,3,1,paired_three_evaluation_seed_aggregates,-0.6666666666666666,1.3333333333333335,1.1547005383792517,-0.1333333333333334,0.05333333333333336,0.23094010767585035,-0.011999999999999997,0.0022240000000000007,0.04715930449020639,-0.01333333333333333,0.0005333333333333333,0.02309401076758503
es_only_independent_minus_baseline_reference,3,1,paired_three_evaluation_seed_aggregates,-1.6666666666666667,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.013333333333333341,0.11547005383792519,-0.024666666666666667,0.0030093333333333343,0.05485739087245523,-0.03333333333333333,0.00013333333333333293,0.011547005383792499
