comparison,seed,n_fixed_systems,SUN_total_baseline,SUN_total_arm,SUN_total_delta,SUN_macro_mean_baseline,SUN_macro_mean_arm,SUN_macro_mean_delta,AUDC_macro_mean_baseline,AUDC_macro_mean_arm,AUDC_macro_mean_delta,mSUN_macro_mean_baseline,mSUN_macro_mean_arm,mSUN_macro_mean_delta
full_support_aware_minus_baseline_reference,2,5,8,6,-2,1.6,1.2,-0.40000000000000013,0.152,0.09999999999999999,-0.052000000000000005,0.16,0.12000000000000001,-0.039999999999999994
full_support_aware_minus_baseline_reference,3,5,7,7,0,1.4,1.4,0.0,0.154,0.194,0.04000000000000001,0.14,0.13999999999999999,-2.7755575615628914e-17
full_support_aware_minus_baseline_reference,4,5,7,7,0,1.4,1.4,0.0,0.162,0.138,-0.023999999999999994,0.13999999999999999,0.14,2.7755575615628914e-17
es_only_independent_minus_baseline_reference,2,5,8,6,-2,1.6,1.2,-0.40000000000000013,0.152,0.16,0.008000000000000007,0.16,0.12000000000000001,-0.039999999999999994
es_only_independent_minus_baseline_reference,3,5,7,6,-1,1.4,1.2,-0.19999999999999996,0.154,0.16,0.006000000000000005,0.14,0.12,-0.020000000000000018
es_only_independent_minus_baseline_reference,4,5,7,5,-2,1.4,1,-0.3999999999999999,0.162,0.074,-0.08800000000000001,0.13999999999999999,0.1,-0.03999999999999998
