job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,6,1
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,7,2
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,8,3
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,9,3
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,10,4
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,0,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,1,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,2,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,3,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,4,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,5,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,6,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,7,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,8,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,9,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,10,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,0,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,1,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,2,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,3,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,4,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,5,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,6,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,7,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,8,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,9,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,10,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,0,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,1,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,2,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,3,0
