arm,world,policy_seed,budget,attempts,official_successes,official_failures,task_score,task_success,episode_wall_seconds,unique_exact_action_packets,longest_identical_packet_run
Baseline,2,308,30,30,1,29,0.0,False,86.49839249905199,3,28
SFT,2,308,30,30,30,0,0.0,False,76.55321397911757,6,2
