arm,task_id,budget,metric,evaluation_seeds,complete_three_seeds,n,mean,sample_variance_ddof1,SD
baseline_reference,Ga-Ho-Lu,30,AUDC,2;3;4,True,3,0.3537037037037037,0.011313991769547324,0.10636724951575707
baseline_reference,Ga-Ho-Lu,30,mSUN,2;3;4,True,3,0.3666666666666667,0.007777777777777779,0.08819171036881969
baseline_reference,Ga-Ho-Lu,50,SUN,2,False,1,25.0,,
baseline_reference,Ga-Ho-Lu,50,AUDC,2,False,1,0.4932,,
baseline_reference,Ga-Ho-Lu,50,mSUN,2,False,1,0.5,,
baseline_reference,Ga-Pt-Tm,10,SUN,2;3;4,True,3,4.0,3.0,1.7320508075688772
baseline_reference,Ga-Pt-Tm,10,AUDC,2;3;4,True,3,0.48666666666666664,0.012433333333333333,0.11150485789118487
baseline_reference,Ga-Pt-Tm,10,mSUN,2;3;4,True,3,0.39999999999999997,0.03,0.17320508075688773
baseline_reference,Ga-Pt-Tm,30,SUN,2;3;4,True,3,13.666666666666666,4.333333333333333,2.0816659994661326
baseline_reference,Ga-Pt-Tm,30,AUDC,2;3;4,True,3,0.46925925925925926,0.017770781893004118,0.1333070961839771
baseline_reference,Ga-Pt-Tm,30,mSUN,2;3;4,True,3,0.45555555555555555,0.004814814814814813,0.06938886664887108
baseline_reference,Ga-Pt-Tm,50,SUN,2,False,1,27.0,,
baseline_reference,Ga-Pt-Tm,50,AUDC,2,False,1,0.5324,,
baseline_reference,Ga-Pt-Tm,50,mSUN,2,False,1,0.54,,
baseline_reference,Hf-Ni-Zr,10,SUN,2;3;4,True,3,6.0,4.0,2.0
baseline_reference,Hf-Ni-Zr,10,AUDC,2;3;4,True,3,0.7466666666666667,0.00893333333333333,0.09451631252505215
baseline_reference,Hf-Ni-Zr,10,mSUN,2;3;4,True,3,0.6,0.04000000000000001,0.2
baseline_reference,Hf-Ni-Zr,30,SUN,2;3;4,True,3,8.333333333333334,4.333333333333333,2.0816659994661326
baseline_reference,Hf-Ni-Zr,30,AUDC,2;3;4,True,3,0.3566666666666667,0.0045716049382716045,0.06761364461609509
baseline_reference,Hf-Ni-Zr,30,mSUN,2;3;4,True,3,0.27777777777777773,0.004814814814814813,0.06938886664887108
baseline_reference,Hf-Ni-Zr,50,SUN,2,False,1,11.0,,
baseline_reference,Hf-Ni-Zr,50,AUDC,2,False,1,0.2668,,
baseline_reference,Hf-Ni-Zr,50,mSUN,2,False,1,0.22,,
baseline_reference,Mg-Sn-Sr,10,SUN,2;3;4,True,3,4.666666666666667,5.333333333333333,2.309401076758503
baseline_reference,Mg-Sn-Sr,10,AUDC,2;3;4,True,3,0.45333333333333337,0.04973333333333334,0.22300971578236975
baseline_reference,Mg-Sn-Sr,10,mSUN,2;3;4,True,3,0.4666666666666666,0.05333333333333333,0.2309401076758503
baseline_reference,Mg-Sn-Sr,30,SUN,2;3;4,True,3,21.0,28.0,5.291502622129181
baseline_reference,Mg-Sn-Sr,30,AUDC,2;3;4,True,3,0.7240740740740742,0.012663374485596708,0.11253165992553699
baseline_reference,Mg-Sn-Sr,30,mSUN,2;3;4,True,3,0.7000000000000001,0.03111111111111112,0.1763834207376394
baseline_reference,Mg-Sn-Sr,50,SUN,2,False,1,48.0,,
baseline_reference,Mg-Sn-Sr,50,AUDC,2,False,1,0.968,,
baseline_reference,Mg-Sn-Sr,50,mSUN,2,False,1,0.96,,
baseline_reference,Au-Cr-Cs-Dy,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Au-Cr-Cs-Dy,50,SUN,2,False,1,0.0,,
baseline_reference,Au-Cr-Cs-Dy,50,AUDC,2,False,1,0.0,,
baseline_reference,Au-Cr-Cs-Dy,50,mSUN,2,False,1,0.0,,
baseline_reference,Au-Tb-V-Y,10,SUN,2;3;4,True,3,1.0,1.0,1.0
baseline_reference,Au-Tb-V-Y,10,AUDC,2;3;4,True,3,0.09666666666666666,0.008233333333333332,0.09073771725877465
baseline_reference,Au-Tb-V-Y,10,mSUN,2;3;4,True,3,0.10000000000000002,0.010000000000000002,0.1
baseline_reference,Au-Tb-V-Y,30,SUN,2;3;4,True,3,1.3333333333333333,5.333333333333334,2.3094010767585034
baseline_reference,Au-Tb-V-Y,30,AUDC,2;3;4,True,3,0.03037037037037037,0.0027670781893004122,0.05260302452616591
baseline_reference,Au-Tb-V-Y,30,mSUN,2;3;4,True,3,0.044444444444444446,0.005925925925925925,0.0769800358919501
baseline_reference,Au-Tb-V-Y,50,SUN,2,False,1,1.0,,
baseline_reference,Au-Tb-V-Y,50,AUDC,2,False,1,0.0356,,
baseline_reference,Au-Tb-V-Y,50,mSUN,2,False,1,0.02,,
baseline_reference,Ba-Be-Hf-Li,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Be-Hf-Li,50,SUN,2,False,1,0.0,,
baseline_reference,Ba-Be-Hf-Li,50,AUDC,2,False,1,0.0,,
baseline_reference,Ba-Be-Hf-Li,50,mSUN,2,False,1,0.0,,
baseline_reference,Ba-Nd-Ni-W,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ba-Nd-Ni-W,50,SUN,2,False,1,0.0,,
baseline_reference,Ba-Nd-Ni-W,50,AUDC,2,False,1,0.0,,
baseline_reference,Ba-Nd-Ni-W,50,mSUN,2,False,1,0.0,,
baseline_reference,Ca-Pd-Sn-W,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Pd-Sn-W,50,SUN,2,False,1,0.0,,
baseline_reference,Ca-Pd-Sn-W,50,AUDC,2,False,1,0.0,,
baseline_reference,Ca-Pd-Sn-W,50,mSUN,2,False,1,0.0,,
baseline_reference,Ce-Er-Pb-Rh,10,SUN,2;3;4,True,3,2.6666666666666665,2.3333333333333335,1.5275252316519468
baseline_reference,Ce-Er-Pb-Rh,10,AUDC,2;3;4,True,3,0.2333333333333333,0.002633333333333332,0.05131601439446883
baseline_reference,Ce-Er-Pb-Rh,10,mSUN,2;3;4,True,3,0.26666666666666666,0.023333333333333334,0.15275252316519466
baseline_reference,Ce-Er-Pb-Rh,30,SUN,2;3;4,True,3,6.0,13.0,3.605551275463989
baseline_reference,Ce-Er-Pb-Rh,30,AUDC,2;3;4,True,3,0.26,0.029803703703703707,0.1726374921727714
baseline_reference,Ce-Er-Pb-Rh,30,mSUN,2;3;4,True,3,0.19999999999999998,0.014444444444444442,0.1201850425154663
baseline_reference,Ce-Er-Pb-Rh,50,SUN,2,False,1,6.0,,
baseline_reference,Ce-Er-Pb-Rh,50,AUDC,2,False,1,0.1072,,
baseline_reference,Ce-Er-Pb-Rh,50,mSUN,2,False,1,0.12,,
baseline_reference,Ce-Ir-Pt-Sn,10,SUN,2;3;4,True,3,2.3333333333333335,5.333333333333334,2.3094010767585034
baseline_reference,Ce-Ir-Pt-Sn,10,AUDC,2;3;4,True,3,0.24333333333333337,0.07093333333333333,0.2663331247391757
baseline_reference,Ce-Ir-Pt-Sn,10,mSUN,2;3;4,True,3,0.2333333333333333,0.053333333333333344,0.23094010767585033
baseline_reference,Ce-Ir-Pt-Sn,30,SUN,2;3;4,True,3,4.0,4.0,2.0
baseline_reference,Ce-Ir-Pt-Sn,30,AUDC,2;3;4,True,3,0.14148148148148146,0.005167078189300411,0.07188239137160374
baseline_reference,Ce-Ir-Pt-Sn,30,mSUN,2;3;4,True,3,0.13333333333333333,0.004444444444444445,0.06666666666666668
baseline_reference,Ce-Ir-Pt-Sn,50,SUN,2,False,1,7.0,,
baseline_reference,Ce-Ir-Pt-Sn,50,AUDC,2,False,1,0.1444,,
baseline_reference,Ce-Ir-Pt-Sn,50,mSUN,2,False,1,0.14,,
baseline_reference,Co-Dy-Ta-Y,10,SUN,2;3;4,True,3,0.6666666666666666,1.3333333333333335,1.1547005383792517
baseline_reference,Co-Dy-Ta-Y,10,AUDC,2;3;4,True,3,0.04,0.004799999999999999,0.06928203230275508
baseline_reference,Co-Dy-Ta-Y,10,mSUN,2;3;4,True,3,0.06666666666666667,0.013333333333333336,0.11547005383792516
baseline_reference,Co-Dy-Ta-Y,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Co-Dy-Ta-Y,30,AUDC,2;3;4,True,3,0.0011111111111111111,3.7037037037037046e-06,0.0019245008972987529
baseline_reference,Co-Dy-Ta-Y,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Co-Dy-Ta-Y,50,SUN,2,False,1,2.0,,
baseline_reference,Co-Dy-Ta-Y,50,AUDC,2,False,1,0.0616,,
baseline_reference,Co-Dy-Ta-Y,50,mSUN,2,False,1,0.04,,
baseline_reference,Dy-K-Pd-Sm,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Dy-K-Pd-Sm,50,SUN,2,False,1,0.0,,
baseline_reference,Dy-K-Pd-Sm,50,AUDC,2,False,1,0.0,,
baseline_reference,Dy-K-Pd-Sm,50,mSUN,2,False,1,0.0,,
baseline_reference,Eu-Nb-Sn-Tl,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Eu-Nb-Sn-Tl,50,SUN,2,False,1,0.0,,
baseline_reference,Eu-Nb-Sn-Tl,50,AUDC,2,False,1,0.0,,
baseline_reference,Eu-Nb-Sn-Tl,50,mSUN,2,False,1,0.0,,
baseline_reference,Ag-Nd-Pd-Pt-Tb,10,SUN,2;3;4,True,3,3.0,4.0,2.0
baseline_reference,Ag-Nd-Pd-Pt-Tb,10,AUDC,2;3;4,True,3,0.37666666666666665,0.027733333333333332,0.16653327995729061
baseline_reference,Ag-Nd-Pd-Pt-Tb,10,mSUN,2;3;4,True,3,0.3,0.04,0.2
baseline_reference,Ag-Nd-Pd-Pt-Tb,30,SUN,2;3;4,True,3,11.333333333333334,36.333333333333336,6.027713773341708
baseline_reference,Ag-Nd-Pd-Pt-Tb,30,AUDC,2;3;4,True,3,0.3451851851851852,0.0298522633744856,0.1727780755028994
baseline_reference,Ag-Nd-Pd-Pt-Tb,30,mSUN,2;3;4,True,3,0.37777777777777777,0.04037037037037037,0.2009237924447236
baseline_reference,Ag-Nd-Pd-Pt-Tb,50,SUN,2,False,1,17.0,,
baseline_reference,Ag-Nd-Pd-Pt-Tb,50,AUDC,2,False,1,0.2876,,
baseline_reference,Ag-Nd-Pd-Pt-Tb,50,mSUN,2,False,1,0.34,,
baseline_reference,Al-Hg-K-Mg-W,10,SUN,2;3;4,True,3,2.3333333333333335,16.333333333333332,4.041451884327381
baseline_reference,Al-Hg-K-Mg-W,10,AUDC,2;3;4,True,3,0.25666666666666665,0.19763333333333338,0.4445597072760119
baseline_reference,Al-Hg-K-Mg-W,10,mSUN,2;3;4,True,3,0.2333333333333333,0.16333333333333333,0.40414518843273806
baseline_reference,Al-Hg-K-Mg-W,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Al-Hg-K-Mg-W,30,AUDC,2;3;4,True,3,0.015925925925925927,0.0007609053497942388,0.02758451286128212
baseline_reference,Al-Hg-K-Mg-W,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Al-Hg-K-Mg-W,50,SUN,,False,0,,,
baseline_reference,Al-Hg-K-Mg-W,50,AUDC,,False,0,,,
baseline_reference,Al-Hg-K-Mg-W,50,mSUN,,False,0,,,
baseline_reference,Al-Lu-Pt-Rb-Sm,10,SUN,2;3;4,True,3,1.3333333333333333,2.3333333333333335,1.5275252316519468
baseline_reference,Al-Lu-Pt-Rb-Sm,10,AUDC,2;3;4,True,3,0.10000000000000002,0.013900000000000003,0.11789826122551597
baseline_reference,Al-Lu-Pt-Rb-Sm,10,mSUN,2;3;4,True,3,0.13333333333333333,0.02333333333333333,0.15275252316519466
baseline_reference,Al-Lu-Pt-Rb-Sm,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Al-Lu-Pt-Rb-Sm,30,AUDC,2;3;4,True,3,0.018148148148148146,0.000988065843621399,0.031433514655879624
baseline_reference,Al-Lu-Pt-Rb-Sm,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Al-Lu-Pt-Rb-Sm,50,SUN,2,False,1,0.0,,
baseline_reference,Al-Lu-Pt-Rb-Sm,50,AUDC,2,False,1,0.0,,
baseline_reference,Al-Lu-Pt-Rb-Sm,50,mSUN,2,False,1,0.0,,
baseline_reference,Ca-Fe-Gd-Pb-Tb,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Fe-Gd-Pb-Tb,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Fe-Gd-Pb-Tb,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Ca-Fe-Gd-Pb-Tb,30,SUN,2;3;4,True,3,0.3333333333333333,0.33333333333333337,0.5773502691896258
baseline_reference,Ca-Fe-Gd-Pb-Tb,30,AUDC,2;3;4,True,3,0.01,0.0002999999999999999,0.01732050807568877
baseline_reference,Ca-Fe-Gd-Pb-Tb,30,mSUN,2;3;4,True,3,0.011111111111111112,0.0003703703703703703,0.019245008972987525
baseline_reference,Ca-Fe-Gd-Pb-Tb,50,SUN,2,False,1,0.0,,
baseline_reference,Ca-Fe-Gd-Pb-Tb,50,AUDC,2,False,1,0.0,,
baseline_reference,Ca-Fe-Gd-Pb-Tb,50,mSUN,2,False,1,0.0,,
baseline_reference,Cd-Gd-Mn-Na-Ta,10,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,10,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,10,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,30,SUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,30,AUDC,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,30,mSUN,2;3;4,True,3,0.0,0.0,0.0
baseline_reference,Cd-Gd-Mn-Na-Ta,50,SUN,2,False,1,0.0,,
baseline_reference,Cd-Gd-Mn-Na-Ta,50,AUDC,2,False,1,0.0,,
baseline_reference,Cd-Gd-Mn-Na-Ta,50,mSUN,2,False,1,0.0,,
baseline_reference,Cd-Li-Nd-Ti-W,10,SUN,2;3;4,True,3,2.3333333333333335,16.333333333333332,4.041451884327381
baseline_reference,Cd-Li-Nd-Ti-W,10,AUDC,2;3;4,True,3,0.24333333333333332,0.17763333333333334,0.4214656965084268
baseline_reference,Cd-Li-Nd-Ti-W,10,mSUN,2;3;4,True,3,0.2333333333333333,0.16333333333333333,0.40414518843273806
baseline_reference,Cd-Li-Nd-Ti-W,30,SUN,2;3;4,True,3,6.333333333333333,120.33333333333334,10.96965511460289
baseline_reference,Cd-Li-Nd-Ti-W,30,AUDC,2;3;4,True,3,0.20851851851851852,0.13043991769547322,0.3611646683930659
baseline_reference,Cd-Li-Nd-Ti-W,30,mSUN,2;3;4,True,3,0.2111111111111111,0.13370370370370366,0.36565517048676294
baseline_reference,Cd-Li-Nd-Ti-W,50,SUN,2,False,1,0.0,,
baseline_reference,Cd-Li-Nd-Ti-W,50,AUDC,2,False,1,0.0,,
