family,NN_seed,calibration,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
sampling,1729,raw,5102,6,0.6,0.7,False,0,,
sampling,1729,raw,5102,7,0.7,0.8,False,1,0.790389358997345,0.0
sampling,1729,raw,5102,8,0.8,0.9,False,7,0.8657024162156242,1.0
sampling,1729,raw,5102,9,0.9,1.0,True,37,0.972393960566134,0.9459459459459459
sampling,1729,raw,5103,0,0.0,0.1,False,0,,
sampling,1729,raw,5103,1,0.1,0.2,False,0,,
sampling,1729,raw,5103,2,0.2,0.3,False,0,,
sampling,1729,raw,5103,3,0.3,0.4,False,0,,
sampling,1729,raw,5103,4,0.4,0.5,False,0,,
sampling,1729,raw,5103,5,0.5,0.6,False,0,,
sampling,1729,raw,5103,6,0.6,0.7,False,0,,
sampling,1729,raw,5103,7,0.7,0.8,False,0,,
sampling,1729,raw,5103,8,0.8,0.9,False,4,0.8629805743694305,0.75
sampling,1729,raw,5103,9,0.9,1.0,True,41,0.9593313263683785,1.0
sampling,1729,raw,5104,0,0.0,0.1,False,0,,
sampling,1729,raw,5104,1,0.1,0.2,False,0,,
sampling,1729,raw,5104,2,0.2,0.3,False,0,,
sampling,1729,raw,5104,3,0.3,0.4,False,0,,
sampling,1729,raw,5104,4,0.4,0.5,False,0,,
sampling,1729,raw,5104,5,0.5,0.6,False,0,,
sampling,1729,raw,5104,6,0.6,0.7,False,0,,
sampling,1729,raw,5104,7,0.7,0.8,False,0,,
sampling,1729,raw,5104,8,0.8,0.9,False,7,0.8548644525664193,1.0
sampling,1729,raw,5104,9,0.9,1.0,True,38,0.9649683033165178,0.9736842105263158
sampling,1729,raw,5105,0,0.0,0.1,False,0,,
sampling,1729,raw,5105,1,0.1,0.2,False,0,,
sampling,1729,raw,5105,2,0.2,0.3,False,0,,
sampling,1729,raw,5105,3,0.3,0.4,False,0,,
sampling,1729,raw,5105,4,0.4,0.5,False,0,,
sampling,1729,raw,5105,5,0.5,0.6,False,0,,
sampling,1729,raw,5105,6,0.6,0.7,False,0,,
sampling,1729,raw,5105,7,0.7,0.8,False,0,,
sampling,1729,raw,5105,8,0.8,0.9,False,8,0.8649431318044662,1.0
sampling,1729,raw,5105,9,0.9,1.0,True,36,0.9660066101286147,1.0
sampling,1729,calibrated,all,0,0.0,0.1,False,0,,
sampling,1729,calibrated,all,1,0.1,0.2,False,0,,
sampling,1729,calibrated,all,2,0.2,0.3,False,0,,
sampling,1729,calibrated,all,3,0.3,0.4,False,0,,
sampling,1729,calibrated,all,4,0.4,0.5,False,0,,
sampling,1729,calibrated,all,5,0.5,0.6,False,0,,
sampling,1729,calibrated,all,6,0.6,0.7,False,0,,
sampling,1729,calibrated,all,7,0.7,0.8,False,2,0.7941632866859436,0.5
sampling,1729,calibrated,all,8,0.8,0.9,False,35,0.8609415190560478,0.9714285714285714
sampling,1729,calibrated,all,9,0.9,1.0,True,187,0.967910414392298,0.9786096256684492
sampling,1729,calibrated,5101,0,0.0,0.1,False,0,,
sampling,1729,calibrated,5101,1,0.1,0.2,False,0,,
sampling,1729,calibrated,5101,2,0.2,0.3,False,0,,
sampling,1729,calibrated,5101,3,0.3,0.4,False,0,,
sampling,1729,calibrated,5101,4,0.4,0.5,False,0,,
sampling,1729,calibrated,5101,5,0.5,0.6,False,0,,
sampling,1729,calibrated,5101,6,0.6,0.7,False,0,,
sampling,1729,calibrated,5101,7,0.7,0.8,False,1,0.7952203750610352,1.0
sampling,1729,calibrated,5101,8,0.8,0.9,False,9,0.849868204858568,1.0
sampling,1729,calibrated,5101,9,0.9,1.0,True,35,0.9732171399252755,0.9714285714285714
sampling,1729,calibrated,5102,0,0.0,0.1,False,0,,
sampling,1729,calibrated,5102,1,0.1,0.2,False,0,,
sampling,1729,calibrated,5102,2,0.2,0.3,False,0,,
sampling,1729,calibrated,5102,3,0.3,0.4,False,0,,
sampling,1729,calibrated,5102,4,0.4,0.5,False,0,,
sampling,1729,calibrated,5102,5,0.5,0.6,False,0,,
sampling,1729,calibrated,5102,6,0.6,0.7,False,0,,
sampling,1729,calibrated,5102,7,0.7,0.8,False,1,0.793106198310852,0.0
sampling,1729,calibrated,5102,8,0.8,0.9,False,7,0.868344749723162,1.0
sampling,1729,calibrated,5102,9,0.9,1.0,True,37,0.973409802527041,0.9459459459459459
sampling,1729,calibrated,5103,0,0.0,0.1,False,0,,
sampling,1729,calibrated,5103,1,0.1,0.2,False,0,,
sampling,1729,calibrated,5103,2,0.2,0.3,False,0,,
sampling,1729,calibrated,5103,3,0.3,0.4,False,0,,
sampling,1729,calibrated,5103,4,0.4,0.5,False,0,,
sampling,1729,calibrated,5103,5,0.5,0.6,False,0,,
sampling,1729,calibrated,5103,6,0.6,0.7,False,0,,
sampling,1729,calibrated,5103,7,0.7,0.8,False,0,,
sampling,1729,calibrated,5103,8,0.8,0.9,False,4,0.8656177967786789,0.75
sampling,1729,calibrated,5103,9,0.9,1.0,True,41,0.9606828820414659,1.0
sampling,1729,calibrated,5104,0,0.0,0.1,False,0,,
sampling,1729,calibrated,5104,1,0.1,0.2,False,0,,
sampling,1729,calibrated,5104,2,0.2,0.3,False,0,,
sampling,1729,calibrated,5104,3,0.3,0.4,False,0,,
sampling,1729,calibrated,5104,4,0.4,0.5,False,0,,
sampling,1729,calibrated,5104,5,0.5,0.6,False,0,,
sampling,1729,calibrated,5104,6,0.6,0.7,False,0,,
sampling,1729,calibrated,5104,7,0.7,0.8,False,0,,
sampling,1729,calibrated,5104,8,0.8,0.9,False,7,0.8575275370052883,1.0
sampling,1729,calibrated,5104,9,0.9,1.0,True,38,0.9661750605231837,0.9736842105263158
sampling,1729,calibrated,5105,0,0.0,0.1,False,0,,
sampling,1729,calibrated,5105,1,0.1,0.2,False,0,,
sampling,1729,calibrated,5105,2,0.2,0.3,False,0,,
sampling,1729,calibrated,5105,3,0.3,0.4,False,0,,
sampling,1729,calibrated,5105,4,0.4,0.5,False,0,,
sampling,1729,calibrated,5105,5,0.5,0.6,False,0,,
sampling,1729,calibrated,5105,6,0.6,0.7,False,0,,
sampling,1729,calibrated,5105,7,0.7,0.8,False,0,,
sampling,1729,calibrated,5105,8,0.8,0.9,False,8,0.8675702661275864,1.0
sampling,1729,calibrated,5105,9,0.9,1.0,True,36,0.967162067691485,1.0
sampling,1730,raw,all,0,0.0,0.1,False,0,,
sampling,1730,raw,all,1,0.1,0.2,False,0,,
sampling,1730,raw,all,2,0.2,0.3,False,0,,
sampling,1730,raw,all,3,0.3,0.4,False,0,,
sampling,1730,raw,all,4,0.4,0.5,False,0,,
sampling,1730,raw,all,5,0.5,0.6,False,0,,
sampling,1730,raw,all,6,0.6,0.7,False,0,,
sampling,1730,raw,all,7,0.7,0.8,False,0,,
sampling,1730,raw,all,8,0.8,0.9,False,48,0.8621258474886417,0.9791666666666666
sampling,1730,raw,all,9,0.9,1.0,True,176,0.9565062424675985,0.9715909090909091
sampling,1730,raw,5101,0,0.0,0.1,False,0,,
sampling,1730,raw,5101,1,0.1,0.2,False,0,,
sampling,1730,raw,5101,2,0.2,0.3,False,0,,
sampling,1730,raw,5101,3,0.3,0.4,False,0,,
sampling,1730,raw,5101,4,0.4,0.5,False,0,,
sampling,1730,raw,5101,5,0.5,0.6,False,0,,
sampling,1730,raw,5101,6,0.6,0.7,False,0,,
sampling,1730,raw,5101,7,0.7,0.8,False,0,,
sampling,1730,raw,5101,8,0.8,0.9,False,14,0.8562971183231899,1.0
sampling,1730,raw,5101,9,0.9,1.0,True,31,0.9572284106285341,0.967741935483871
sampling,1730,raw,5102,0,0.0,0.1,False,0,,
sampling,1730,raw,5102,1,0.1,0.2,False,0,,
sampling,1730,raw,5102,2,0.2,0.3,False,0,,
sampling,1730,raw,5102,3,0.3,0.4,False,0,,
sampling,1730,raw,5102,4,0.4,0.5,False,0,,
sampling,1730,raw,5102,5,0.5,0.6,False,0,,
sampling,1730,raw,5102,6,0.6,0.7,False,0,,
sampling,1730,raw,5102,7,0.7,0.8,False,0,,
sampling,1730,raw,5102,8,0.8,0.9,False,9,0.8624913295110067,0.8888888888888888
sampling,1730,raw,5102,9,0.9,1.0,True,36,0.9590657154719034,0.9444444444444444
sampling,1730,raw,5103,0,0.0,0.1,False,0,,
sampling,1730,raw,5103,1,0.1,0.2,False,0,,
sampling,1730,raw,5103,2,0.2,0.3,False,0,,
sampling,1730,raw,5103,3,0.3,0.4,False,0,,
sampling,1730,raw,5103,4,0.4,0.5,False,0,,
sampling,1730,raw,5103,5,0.5,0.6,False,0,,
sampling,1730,raw,5103,6,0.6,0.7,False,0,,
sampling,1730,raw,5103,7,0.7,0.8,False,0,,
sampling,1730,raw,5103,8,0.8,0.9,False,4,0.8728762120008469,1.0
sampling,1730,raw,5103,9,0.9,1.0,True,41,0.9512802522356917,0.975609756097561
sampling,1730,raw,5104,0,0.0,0.1,False,0,,
sampling,1730,raw,5104,1,0.1,0.2,False,0,,
sampling,1730,raw,5104,2,0.2,0.3,False,0,,
sampling,1730,raw,5104,3,0.3,0.4,False,0,,
sampling,1730,raw,5104,4,0.4,0.5,False,0,,
sampling,1730,raw,5104,5,0.5,0.6,False,0,,
sampling,1730,raw,5104,6,0.6,0.7,False,0,,
sampling,1730,raw,5104,7,0.7,0.8,False,0,,
sampling,1730,raw,5104,8,0.8,0.9,False,9,0.8684545821613736,1.0
sampling,1730,raw,5104,9,0.9,1.0,True,36,0.9506824016571045,0.9722222222222222
sampling,1730,raw,5105,0,0.0,0.1,False,0,,
sampling,1730,raw,5105,1,0.1,0.2,False,0,,
sampling,1730,raw,5105,2,0.2,0.3,False,0,,
sampling,1730,raw,5105,3,0.3,0.4,False,0,,
sampling,1730,raw,5105,4,0.4,0.5,False,0,,
sampling,1730,raw,5105,5,0.5,0.6,False,0,,
sampling,1730,raw,5105,6,0.6,0.7,False,0,,
sampling,1730,raw,5105,7,0.7,0.8,False,0,,
sampling,1730,raw,5105,8,0.8,0.9,False,12,0.860321914156278,1.0
sampling,1730,raw,5105,9,0.9,1.0,True,32,0.9661748558282852,1.0
sampling,1730,calibrated,all,0,0.0,0.1,False,0,,
sampling,1730,calibrated,all,1,0.1,0.2,False,0,,
sampling,1730,calibrated,all,2,0.2,0.3,False,0,,
sampling,1730,calibrated,all,3,0.3,0.4,False,0,,
sampling,1730,calibrated,all,4,0.4,0.5,False,0,,
sampling,1730,calibrated,all,5,0.5,0.6,False,0,,
sampling,1730,calibrated,all,6,0.6,0.7,False,0,,
sampling,1730,calibrated,all,7,0.7,0.8,False,0,,
sampling,1730,calibrated,all,8,0.8,0.9,False,47,0.862871897981522,0.9787234042553191
sampling,1730,calibrated,all,9,0.9,1.0,True,177,0.9570276619350843,0.9717514124293786
sampling,1730,calibrated,5101,0,0.0,0.1,False,0,,
sampling,1730,calibrated,5101,1,0.1,0.2,False,0,,
sampling,1730,calibrated,5101,2,0.2,0.3,False,0,,
sampling,1730,calibrated,5101,3,0.3,0.4,False,0,,
sampling,1730,calibrated,5101,4,0.4,0.5,False,0,,
sampling,1730,calibrated,5101,5,0.5,0.6,False,0,,
sampling,1730,calibrated,5101,6,0.6,0.7,False,0,,
sampling,1730,calibrated,5101,7,0.7,0.8,False,0,,
sampling,1730,calibrated,5101,8,0.8,0.9,False,13,0.854522860967196,1.0
sampling,1730,calibrated,5101,9,0.9,1.0,True,32,0.9562794249504805,0.96875
sampling,1730,calibrated,5102,0,0.0,0.1,False,0,,
sampling,1730,calibrated,5102,1,0.1,0.2,False,0,,
sampling,1730,calibrated,5102,2,0.2,0.3,False,0,,
sampling,1730,calibrated,5102,3,0.3,0.4,False,0,,
sampling,1730,calibrated,5102,4,0.4,0.5,False,0,,
sampling,1730,calibrated,5102,5,0.5,0.6,False,0,,
sampling,1730,calibrated,5102,6,0.6,0.7,False,0,,
sampling,1730,calibrated,5102,7,0.7,0.8,False,0,,
sampling,1730,calibrated,5102,8,0.8,0.9,False,9,0.8640415271123251,0.8888888888888888
sampling,1730,calibrated,5102,9,0.9,1.0,True,36,0.9598517815272013,0.9444444444444444
sampling,1730,calibrated,5103,0,0.0,0.1,False,0,,
sampling,1730,calibrated,5103,1,0.1,0.2,False,0,,
sampling,1730,calibrated,5103,2,0.2,0.3,False,0,,
sampling,1730,calibrated,5103,3,0.3,0.4,False,0,,
sampling,1730,calibrated,5103,4,0.4,0.5,False,0,,
sampling,1730,calibrated,5103,5,0.5,0.6,False,0,,
sampling,1730,calibrated,5103,6,0.6,0.7,False,0,,
sampling,1730,calibrated,5103,7,0.7,0.8,False,0,,
sampling,1730,calibrated,5103,8,0.8,0.9,False,4,0.8743944466114044,1.0
sampling,1730,calibrated,5103,9,0.9,1.0,True,41,0.9521877314986252,0.975609756097561
sampling,1730,calibrated,5104,0,0.0,0.1,False,0,,
sampling,1730,calibrated,5104,1,0.1,0.2,False,0,,
sampling,1730,calibrated,5104,2,0.2,0.3,False,0,,
sampling,1730,calibrated,5104,3,0.3,0.4,False,0,,
sampling,1730,calibrated,5104,4,0.4,0.5,False,0,,
sampling,1730,calibrated,5104,5,0.5,0.6,False,0,,
sampling,1730,calibrated,5104,6,0.6,0.7,False,0,,
sampling,1730,calibrated,5104,7,0.7,0.8,False,0,,
sampling,1730,calibrated,5104,8,0.8,0.9,False,9,0.869977143075731,1.0
sampling,1730,calibrated,5104,9,0.9,1.0,True,36,0.9516172276602851,0.9722222222222222
sampling,1730,calibrated,5105,0,0.0,0.1,False,0,,
sampling,1730,calibrated,5105,1,0.1,0.2,False,0,,
sampling,1730,calibrated,5105,2,0.2,0.3,False,0,,
sampling,1730,calibrated,5105,3,0.3,0.4,False,0,,
sampling,1730,calibrated,5105,4,0.4,0.5,False,0,,
sampling,1730,calibrated,5105,5,0.5,0.6,False,0,,
sampling,1730,calibrated,5105,6,0.6,0.7,False,0,,
sampling,1730,calibrated,5105,7,0.7,0.8,False,0,,
sampling,1730,calibrated,5105,8,0.8,0.9,False,12,0.8618696828683218,1.0
sampling,1730,calibrated,5105,9,0.9,1.0,True,32,0.9668866638094187,1.0
sampling,1731,raw,all,0,0.0,0.1,False,0,,
sampling,1731,raw,all,1,0.1,0.2,False,0,,
sampling,1731,raw,all,2,0.2,0.3,False,0,,
sampling,1731,raw,all,3,0.3,0.4,False,0,,
sampling,1731,raw,all,4,0.4,0.5,False,0,,
sampling,1731,raw,all,5,0.5,0.6,False,0,,
sampling,1731,raw,all,6,0.6,0.7,False,0,,
sampling,1731,raw,all,7,0.7,0.8,False,3,0.7964311639467875,1.0
sampling,1731,raw,all,8,0.8,0.9,False,44,0.8582456369291652,0.9318181818181818
sampling,1731,raw,all,9,0.9,1.0,True,177,0.9695691991660554,0.9830508474576272
sampling,1731,raw,5101,0,0.0,0.1,False,0,,
sampling,1731,raw,5101,1,0.1,0.2,False,0,,
sampling,1731,raw,5101,2,0.2,0.3,False,0,,
sampling,1731,raw,5101,3,0.3,0.4,False,0,,
sampling,1731,raw,5101,4,0.4,0.5,False,0,,
sampling,1731,raw,5101,5,0.5,0.6,False,0,,
sampling,1731,raw,5101,6,0.6,0.7,False,0,,
sampling,1731,raw,5101,7,0.7,0.8,False,2,0.79586461186409,1.0
sampling,1731,raw,5101,8,0.8,0.9,False,9,0.852910061677297,1.0
sampling,1731,raw,5101,9,0.9,1.0,True,34,0.9716125411145827,0.9705882352941176
sampling,1731,raw,5102,0,0.0,0.1,False,0,,
sampling,1731,raw,5102,1,0.1,0.2,False,0,,
sampling,1731,raw,5102,2,0.2,0.3,False,0,,
sampling,1731,raw,5102,3,0.3,0.4,False,0,,
sampling,1731,raw,5102,4,0.4,0.5,False,0,,
sampling,1731,raw,5102,5,0.5,0.6,False,0,,
sampling,1731,raw,5102,6,0.6,0.7,False,0,,
sampling,1731,raw,5102,7,0.7,0.8,False,1,0.7975642681121826,1.0
sampling,1731,raw,5102,8,0.8,0.9,False,10,0.863499003648758,0.9
sampling,1731,raw,5102,9,0.9,1.0,True,34,0.9765333165140713,0.9411764705882353
sampling,1731,raw,5103,0,0.0,0.1,False,0,,
sampling,1731,raw,5103,1,0.1,0.2,False,0,,
sampling,1731,raw,5103,2,0.2,0.3,False,0,,
sampling,1731,raw,5103,3,0.3,0.4,False,0,,
sampling,1731,raw,5103,4,0.4,0.5,False,0,,
sampling,1731,raw,5103,5,0.5,0.6,False,0,,
sampling,1731,raw,5103,6,0.6,0.7,False,0,,
sampling,1731,raw,5103,7,0.7,0.8,False,0,,
sampling,1731,raw,5103,8,0.8,0.9,False,4,0.8612960427999496,0.75
sampling,1731,raw,5103,9,0.9,1.0,True,41,0.96209975859014,1.0
sampling,1731,raw,5104,0,0.0,0.1,False,0,,
sampling,1731,raw,5104,1,0.1,0.2,False,0,,
sampling,1731,raw,5104,2,0.2,0.3,False,0,,
sampling,1731,raw,5104,3,0.3,0.4,False,0,,
sampling,1731,raw,5104,4,0.4,0.5,False,0,,
sampling,1731,raw,5104,5,0.5,0.6,False,0,,
sampling,1731,raw,5104,6,0.6,0.7,False,0,,
sampling,1731,raw,5104,7,0.7,0.8,False,0,,
sampling,1731,raw,5104,8,0.8,0.9,False,12,0.8619305640459061,0.9166666666666666
sampling,1731,raw,5104,9,0.9,1.0,True,33,0.9725173856272842,1.0
sampling,1731,raw,5105,0,0.0,0.1,False,0,,
sampling,1731,raw,5105,1,0.1,0.2,False,0,,
sampling,1731,raw,5105,2,0.2,0.3,False,0,,
sampling,1731,raw,5105,3,0.3,0.4,False,0,,
sampling,1731,raw,5105,4,0.4,0.5,False,0,,
sampling,1731,raw,5105,5,0.5,0.6,False,0,,
sampling,1731,raw,5105,6,0.6,0.7,False,0,,
sampling,1731,raw,5105,7,0.7,0.8,False,0,,
sampling,1731,raw,5105,8,0.8,0.9,False,9,0.8514751659499274,1.0
sampling,1731,raw,5105,9,0.9,1.0,True,35,0.9667892932891846,1.0
sampling,1731,calibrated,all,0,0.0,0.1,False,0,,
sampling,1731,calibrated,all,1,0.1,0.2,False,0,,
sampling,1731,calibrated,all,2,0.2,0.3,False,0,,
sampling,1731,calibrated,all,3,0.3,0.4,False,0,,
sampling,1731,calibrated,all,4,0.4,0.5,False,0,,
sampling,1731,calibrated,all,5,0.5,0.6,False,0,,
sampling,1731,calibrated,all,6,0.6,0.7,False,0,,
sampling,1731,calibrated,all,7,0.7,0.8,False,1,0.7952463626861572,1.0
sampling,1731,calibrated,all,8,0.8,0.9,False,44,0.8560769679871473,0.9318181818181818
sampling,1731,calibrated,all,9,0.9,1.0,True,179,0.9697517599473452,0.9832402234636871
sampling,1731,calibrated,5101,0,0.0,0.1,False,0,,
sampling,1731,calibrated,5101,1,0.1,0.2,False,0,,
sampling,1731,calibrated,5101,2,0.2,0.3,False,0,,
sampling,1731,calibrated,5101,3,0.3,0.4,False,0,,
sampling,1731,calibrated,5101,4,0.4,0.5,False,0,,
sampling,1731,calibrated,5101,5,0.5,0.6,False,0,,
sampling,1731,calibrated,5101,6,0.6,0.7,False,0,,
sampling,1731,calibrated,5101,7,0.7,0.8,False,1,0.7952463626861572,1.0
sampling,1731,calibrated,5101,8,0.8,0.9,False,10,0.8499081611633301,1.0
sampling,1731,calibrated,5101,9,0.9,1.0,True,34,0.9725292184773613,0.9705882352941176
sampling,1731,calibrated,5102,0,0.0,0.1,False,0,,
sampling,1731,calibrated,5102,1,0.1,0.2,False,0,,
sampling,1731,calibrated,5102,2,0.2,0.3,False,0,,
sampling,1731,calibrated,5102,3,0.3,0.4,False,0,,
sampling,1731,calibrated,5102,4,0.4,0.5,False,0,,
sampling,1731,calibrated,5102,5,0.5,0.6,False,0,,
sampling,1731,calibrated,5102,6,0.6,0.7,False,0,,
sampling,1731,calibrated,5102,7,0.7,0.8,False,0,,
sampling,1731,calibrated,5102,8,0.8,0.9,False,10,0.8557476341724396,0.9
sampling,1731,calibrated,5102,9,0.9,1.0,True,35,0.975185946055821,0.9428571428571428
sampling,1731,calibrated,5103,0,0.0,0.1,False,0,,
sampling,1731,calibrated,5103,1,0.1,0.2,False,0,,
sampling,1731,calibrated,5103,2,0.2,0.3,False,0,,
sampling,1731,calibrated,5103,3,0.3,0.4,False,0,,
sampling,1731,calibrated,5103,4,0.4,0.5,False,0,,
sampling,1731,calibrated,5103,5,0.5,0.6,False,0,,
sampling,1731,calibrated,5103,6,0.6,0.7,False,0,,
sampling,1731,calibrated,5103,7,0.7,0.8,False,0,,
sampling,1731,calibrated,5103,8,0.8,0.9,False,4,0.8636706471443176,0.75
sampling,1731,calibrated,5103,9,0.9,1.0,True,41,0.963235789682807,1.0
sampling,1731,calibrated,5104,0,0.0,0.1,False,0,,
sampling,1731,calibrated,5104,1,0.1,0.2,False,0,,
sampling,1731,calibrated,5104,2,0.2,0.3,False,0,,
sampling,1731,calibrated,5104,3,0.3,0.4,False,0,,
sampling,1731,calibrated,5104,4,0.4,0.5,False,0,,
sampling,1731,calibrated,5104,5,0.5,0.6,False,0,,
sampling,1731,calibrated,5104,6,0.6,0.7,False,0,,
sampling,1731,calibrated,5104,7,0.7,0.8,False,0,,
sampling,1731,calibrated,5104,8,0.8,0.9,False,11,0.8610257723114707,0.9090909090909091
sampling,1731,calibrated,5104,9,0.9,1.0,True,34,0.9712619746432585,1.0
sampling,1731,calibrated,5105,0,0.0,0.1,False,0,,
sampling,1731,calibrated,5105,1,0.1,0.2,False,0,,
sampling,1731,calibrated,5105,2,0.2,0.3,False,0,,
sampling,1731,calibrated,5105,3,0.3,0.4,False,0,,
sampling,1731,calibrated,5105,4,0.4,0.5,False,0,,
sampling,1731,calibrated,5105,5,0.5,0.6,False,0,,
sampling,1731,calibrated,5105,6,0.6,0.7,False,0,,
sampling,1731,calibrated,5105,7,0.7,0.8,False,0,,
sampling,1731,calibrated,5105,8,0.8,0.9,False,9,0.8538736171192594,1.0
sampling,1731,calibrated,5105,9,0.9,1.0,True,35,0.9677853993007115,1.0
hidden,1729,raw,all,0,0.0,0.1,False,0,,
hidden,1729,raw,all,1,0.1,0.2,False,0,,
hidden,1729,raw,all,2,0.2,0.3,False,0,,
hidden,1729,raw,all,3,0.3,0.4,False,190,0.3547918398129313,0.9736842105263158
hidden,1729,raw,all,4,0.4,0.5,False,9,0.4328526622719235,1.0
hidden,1729,raw,all,5,0.5,0.6,False,3,0.5400568842887878,0.6666666666666666
hidden,1729,raw,all,6,0.6,0.7,False,7,0.6500324010848999,1.0
hidden,1729,raw,all,7,0.7,0.8,False,8,0.7601289302110672,1.0
hidden,1729,raw,all,8,0.8,0.9,False,7,0.8284381372588021,1.0
hidden,1729,raw,all,9,0.9,1.0,True,0,,
hidden,1729,raw,5101,0,0.0,0.1,False,0,,
hidden,1729,raw,5101,1,0.1,0.2,False,0,,
hidden,1729,raw,5101,2,0.2,0.3,False,0,,
hidden,1729,raw,5101,3,0.3,0.4,False,41,0.35970462095446704,0.975609756097561
hidden,1729,raw,5101,4,0.4,0.5,False,1,0.4590209722518921,1.0
hidden,1729,raw,5101,5,0.5,0.6,False,0,,
hidden,1729,raw,5101,6,0.6,0.7,False,1,0.6995397210121155,1.0
hidden,1729,raw,5101,7,0.7,0.8,False,0,,
hidden,1729,raw,5101,8,0.8,0.9,False,2,0.8523775637149811,1.0
hidden,1729,raw,5101,9,0.9,1.0,True,0,,
hidden,1729,raw,5102,0,0.0,0.1,False,0,,
hidden,1729,raw,5102,1,0.1,0.2,False,0,,
hidden,1729,raw,5102,2,0.2,0.3,False,0,,
hidden,1729,raw,5102,3,0.3,0.4,False,39,0.3502246943803934,0.9230769230769231
hidden,1729,raw,5102,4,0.4,0.5,False,1,0.4125231206417084,1.0
hidden,1729,raw,5102,5,0.5,0.6,False,0,,
hidden,1729,raw,5102,6,0.6,0.7,False,1,0.6279871463775635,1.0
hidden,1729,raw,5102,7,0.7,0.8,False,4,0.7506994158029556,1.0
hidden,1729,raw,5102,8,0.8,0.9,False,0,,
hidden,1729,raw,5102,9,0.9,1.0,True,0,,
hidden,1729,raw,5103,0,0.0,0.1,False,0,,
hidden,1729,raw,5103,1,0.1,0.2,False,0,,
hidden,1729,raw,5103,2,0.2,0.3,False,0,,
hidden,1729,raw,5103,3,0.3,0.4,False,35,0.35468712789671764,0.9714285714285714
hidden,1729,raw,5103,4,0.4,0.5,False,4,0.4404130056500435,1.0
hidden,1729,raw,5103,5,0.5,0.6,False,1,0.5644369125366211,1.0
hidden,1729,raw,5103,6,0.6,0.7,False,1,0.6775100231170654,1.0
hidden,1729,raw,5103,7,0.7,0.8,False,3,0.7595655918121338,1.0
hidden,1729,raw,5103,8,0.8,0.9,False,1,0.8226087689399719,1.0
hidden,1729,raw,5103,9,0.9,1.0,True,0,,
hidden,1729,raw,5104,0,0.0,0.1,False,0,,
hidden,1729,raw,5104,1,0.1,0.2,False,0,,
hidden,1729,raw,5104,2,0.2,0.3,False,0,,
hidden,1729,raw,5104,3,0.3,0.4,False,40,0.3586349993944168,1.0
hidden,1729,raw,5104,4,0.4,0.5,False,0,,
hidden,1729,raw,5104,5,0.5,0.6,False,1,0.5001236796379089,0.0
hidden,1729,raw,5104,6,0.6,0.7,False,2,0.6069700121879578,1.0
hidden,1729,raw,5104,7,0.7,0.8,False,0,,
hidden,1729,raw,5104,8,0.8,0.9,False,2,0.8155422210693359,1.0
hidden,1729,raw,5104,9,0.9,1.0,True,0,,
hidden,1729,raw,5105,0,0.0,0.1,False,0,,
hidden,1729,raw,5105,1,0.1,0.2,False,0,,
hidden,1729,raw,5105,2,0.2,0.3,False,0,,
hidden,1729,raw,5105,3,0.3,0.4,False,35,0.349838502066476,1.0
hidden,1729,raw,5105,4,0.4,0.5,False,3,0.42082594831784564,1.0
hidden,1729,raw,5105,5,0.5,0.6,False,1,0.5556100606918335,1.0
hidden,1729,raw,5105,6,0.6,0.7,False,2,0.6656249463558197,1.0
hidden,1729,raw,5105,7,0.7,0.8,False,1,0.7995370030403137,1.0
hidden,1729,raw,5105,8,0.8,0.9,False,2,0.8203093111515045,1.0
hidden,1729,raw,5105,9,0.9,1.0,True,0,,
hidden,1729,calibrated,all,0,0.0,0.1,False,0,,
hidden,1729,calibrated,all,1,0.1,0.2,False,0,,
hidden,1729,calibrated,all,2,0.2,0.3,False,0,,
hidden,1729,calibrated,all,3,0.3,0.4,False,186,0.36961121552733966,0.9731182795698925
hidden,1729,calibrated,all,4,0.4,0.5,False,13,0.4293174147605896,1.0
hidden,1729,calibrated,all,5,0.5,0.6,False,5,0.5594385027885437,0.8
hidden,1729,calibrated,all,6,0.6,0.7,False,5,0.6497011780738831,1.0
hidden,1729,calibrated,all,7,0.7,0.8,False,11,0.7490851824933832,1.0
hidden,1729,calibrated,all,8,0.8,0.9,False,4,0.8150034099817276,1.0
hidden,1729,calibrated,all,9,0.9,1.0,True,0,,
hidden,1729,calibrated,5101,0,0.0,0.1,False,0,,
hidden,1729,calibrated,5101,1,0.1,0.2,False,0,,
hidden,1729,calibrated,5101,2,0.2,0.3,False,0,,
hidden,1729,calibrated,5101,3,0.3,0.4,False,40,0.3740577273070812,0.975
hidden,1729,calibrated,5101,4,0.4,0.5,False,2,0.43389010429382324,1.0
hidden,1729,calibrated,5101,5,0.5,0.6,False,0,,
hidden,1729,calibrated,5101,6,0.6,0.7,False,1,0.6791494488716125,1.0
hidden,1729,calibrated,5101,7,0.7,0.8,False,0,,
hidden,1729,calibrated,5101,8,0.8,0.9,False,2,0.8260226845741272,1.0
hidden,1729,calibrated,5101,9,0.9,1.0,True,0,,
hidden,1729,calibrated,5102,0,0.0,0.1,False,0,,
hidden,1729,calibrated,5102,1,0.1,0.2,False,0,,
hidden,1729,calibrated,5102,2,0.2,0.3,False,0,,
hidden,1729,calibrated,5102,3,0.3,0.4,False,38,0.3653098038936916,0.9210526315789473
