family,NN_seed,calibration,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
all,1729,calibrated,5101,7,0.7,0.8,False,1,0.7209227681159973,1.0
all,1729,calibrated,5101,8,0.8,0.9,False,0,,
all,1729,calibrated,5101,9,0.9,1.0,True,0,,
all,1729,calibrated,5102,0,0.0,0.1,False,15,0.08414525811870893,0.8
all,1729,calibrated,5102,1,0.1,0.2,False,14,0.1457325198820659,1.0
all,1729,calibrated,5102,2,0.2,0.3,False,9,0.24063763353559706,1.0
all,1729,calibrated,5102,3,0.3,0.4,False,4,0.33376825600862503,1.0
all,1729,calibrated,5102,4,0.4,0.5,False,0,,
all,1729,calibrated,5102,5,0.5,0.6,False,1,0.5228337645530701,1.0
all,1729,calibrated,5102,6,0.6,0.7,False,2,0.6774411499500275,1.0
all,1729,calibrated,5102,7,0.7,0.8,False,0,,
all,1729,calibrated,5102,8,0.8,0.9,False,0,,
all,1729,calibrated,5102,9,0.9,1.0,True,0,,
all,1729,calibrated,5103,0,0.0,0.1,False,19,0.06930183325158923,0.9473684210526315
all,1729,calibrated,5103,1,0.1,0.2,False,16,0.15271031903102994,1.0
all,1729,calibrated,5103,2,0.2,0.3,False,2,0.23773782700300217,1.0
all,1729,calibrated,5103,3,0.3,0.4,False,2,0.31974197924137115,1.0
all,1729,calibrated,5103,4,0.4,0.5,False,3,0.42058783769607544,1.0
all,1729,calibrated,5103,5,0.5,0.6,False,1,0.5385228991508484,1.0
all,1729,calibrated,5103,6,0.6,0.7,False,0,,
all,1729,calibrated,5103,7,0.7,0.8,False,2,0.7220077812671661,1.0
all,1729,calibrated,5103,8,0.8,0.9,False,0,,
all,1729,calibrated,5103,9,0.9,1.0,True,0,,
all,1729,calibrated,5104,0,0.0,0.1,False,18,0.06237971596419811,1.0
all,1729,calibrated,5104,1,0.1,0.2,False,17,0.1584794473122148,0.9411764705882353
all,1729,calibrated,5104,2,0.2,0.3,False,5,0.21698140501976013,1.0
all,1729,calibrated,5104,3,0.3,0.4,False,1,0.37447524070739746,1.0
all,1729,calibrated,5104,4,0.4,0.5,False,2,0.42437805235385895,1.0
all,1729,calibrated,5104,5,0.5,0.6,False,2,0.5872165858745575,1.0
all,1729,calibrated,5104,6,0.6,0.7,False,0,,
all,1729,calibrated,5104,7,0.7,0.8,False,0,,
all,1729,calibrated,5104,8,0.8,0.9,False,0,,
all,1729,calibrated,5104,9,0.9,1.0,True,0,,
all,1729,calibrated,5105,0,0.0,0.1,False,14,0.0643931438348123,1.0
all,1729,calibrated,5105,1,0.1,0.2,False,14,0.13660272051181113,1.0
all,1729,calibrated,5105,2,0.2,0.3,False,6,0.23169136544068655,1.0
all,1729,calibrated,5105,3,0.3,0.4,False,3,0.3650440076986949,1.0
all,1729,calibrated,5105,4,0.4,0.5,False,6,0.4619377702474594,1.0
all,1729,calibrated,5105,5,0.5,0.6,False,0,,
all,1729,calibrated,5105,6,0.6,0.7,False,1,0.6017998456954956,1.0
all,1729,calibrated,5105,7,0.7,0.8,False,0,,
all,1729,calibrated,5105,8,0.8,0.9,False,0,,
all,1729,calibrated,5105,9,0.9,1.0,True,0,,
all,1730,raw,all,0,0.0,0.1,False,142,0.046390398077561824,0.9577464788732394
all,1730,raw,all,1,0.1,0.2,False,40,0.134879239089787,1.0
all,1730,raw,all,2,0.2,0.3,False,14,0.24016948150736944,1.0
all,1730,raw,all,3,0.3,0.4,False,7,0.3489824150289808,1.0
all,1730,raw,all,4,0.4,0.5,False,8,0.46048618108034134,1.0
all,1730,raw,all,5,0.5,0.6,False,4,0.5412012785673141,1.0
all,1730,raw,all,6,0.6,0.7,False,4,0.649214968085289,1.0
all,1730,raw,all,7,0.7,0.8,False,4,0.7427209764719009,1.0
all,1730,raw,all,8,0.8,0.9,False,1,0.8086344599723816,1.0
all,1730,raw,all,9,0.9,1.0,True,0,,
all,1730,raw,5101,0,0.0,0.1,False,31,0.04186807398594195,0.967741935483871
all,1730,raw,5101,1,0.1,0.2,False,8,0.13815118744969368,1.0
all,1730,raw,5101,2,0.2,0.3,False,4,0.22561335191130638,1.0
all,1730,raw,5101,3,0.3,0.4,False,0,,
all,1730,raw,5101,4,0.4,0.5,False,1,0.4888235032558441,1.0
all,1730,raw,5101,5,0.5,0.6,False,0,,
all,1730,raw,5101,6,0.6,0.7,False,0,,
all,1730,raw,5101,7,0.7,0.8,False,1,0.7804237604141235,1.0
all,1730,raw,5101,8,0.8,0.9,False,0,,
all,1730,raw,5101,9,0.9,1.0,True,0,,
all,1730,raw,5102,0,0.0,0.1,False,24,0.050661469887321196,0.875
all,1730,raw,5102,1,0.1,0.2,False,12,0.13416684170564017,1.0
all,1730,raw,5102,2,0.2,0.3,False,3,0.2255092809597651,1.0
all,1730,raw,5102,3,0.3,0.4,False,1,0.3080570101737976,1.0
all,1730,raw,5102,4,0.4,0.5,False,2,0.44355320930480957,1.0
all,1730,raw,5102,5,0.5,0.6,False,0,,
all,1730,raw,5102,6,0.6,0.7,False,2,0.6597106456756592,1.0
all,1730,raw,5102,7,0.7,0.8,False,1,0.7187807559967041,1.0
all,1730,raw,5102,8,0.8,0.9,False,0,,
all,1730,raw,5102,9,0.9,1.0,True,0,,
all,1730,raw,5103,0,0.0,0.1,False,32,0.04747287184000015,0.96875
all,1730,raw,5103,1,0.1,0.2,False,5,0.13852655440568923,1.0
all,1730,raw,5103,2,0.2,0.3,False,1,0.27045345306396484,1.0
all,1730,raw,5103,3,0.3,0.4,False,1,0.34279489517211914,1.0
all,1730,raw,5103,4,0.4,0.5,False,2,0.4646833688020706,1.0
all,1730,raw,5103,5,0.5,0.6,False,2,0.5223434865474701,1.0
all,1730,raw,5103,6,0.6,0.7,False,0,,
all,1730,raw,5103,7,0.7,0.8,False,1,0.7627145648002625,1.0
all,1730,raw,5103,8,0.8,0.9,False,1,0.8086344599723816,1.0
all,1730,raw,5103,9,0.9,1.0,True,0,,
all,1730,raw,5104,0,0.0,0.1,False,29,0.0467692328745435,0.9655172413793104
all,1730,raw,5104,1,0.1,0.2,False,9,0.12467959026495616,1.0
all,1730,raw,5104,2,0.2,0.3,False,3,0.24960391223430634,1.0
all,1730,raw,5104,3,0.3,0.4,False,2,0.35748085379600525,1.0
all,1730,raw,5104,4,0.4,0.5,False,0,,
all,1730,raw,5104,5,0.5,0.6,False,1,0.5792343020439148,1.0
all,1730,raw,5104,6,0.6,0.7,False,1,0.6701149344444275,1.0
all,1730,raw,5104,7,0.7,0.8,False,0,,
all,1730,raw,5104,8,0.8,0.9,False,0,,
all,1730,raw,5104,9,0.9,1.0,True,0,,
all,1730,raw,5105,0,0.0,0.1,False,26,0.046085050150465504,1.0
all,1730,raw,5105,1,0.1,0.2,False,6,0.14420147985219955,1.0
all,1730,raw,5105,2,0.2,0.3,False,3,0.25470876693725586,1.0
all,1730,raw,5105,3,0.3,0.4,False,3,0.3590210974216461,1.0
all,1730,raw,5105,4,0.4,0.5,False,3,0.4595309297243754,1.0
all,1730,raw,5105,5,0.5,0.6,False,1,0.5408838391304016,1.0
all,1730,raw,5105,6,0.6,0.7,False,1,0.6073236465454102,1.0
all,1730,raw,5105,7,0.7,0.8,False,1,0.7089648246765137,1.0
all,1730,raw,5105,8,0.8,0.9,False,0,,
all,1730,raw,5105,9,0.9,1.0,True,0,,
all,1730,calibrated,all,0,0.0,0.1,False,127,0.053482758753940346,0.952755905511811
all,1730,calibrated,all,1,0.1,0.2,False,54,0.1410764753818512,1.0
all,1730,calibrated,all,2,0.2,0.3,False,14,0.2526323284421648,1.0
all,1730,calibrated,all,3,0.3,0.4,False,8,0.35549039766192436,1.0
all,1730,calibrated,all,4,0.4,0.5,False,8,0.46399588137865067,1.0
all,1730,calibrated,all,5,0.5,0.6,False,5,0.5496225357055664,1.0
all,1730,calibrated,all,6,0.6,0.7,False,4,0.66024050116539,1.0
all,1730,calibrated,all,7,0.7,0.8,False,4,0.748216301202774,1.0
all,1730,calibrated,all,8,0.8,0.9,False,0,,
all,1730,calibrated,all,9,0.9,1.0,True,0,,
all,1730,calibrated,5101,0,0.0,0.1,False,29,0.05038868327592981,0.9655172413793104
all,1730,calibrated,5101,1,0.1,0.2,False,10,0.14858685359358786,1.0
all,1730,calibrated,5101,2,0.2,0.3,False,4,0.24540799483656883,1.0
all,1730,calibrated,5101,3,0.3,0.4,False,0,,
all,1730,calibrated,5101,4,0.4,0.5,False,1,0.48982536792755127,1.0
all,1730,calibrated,5101,5,0.5,0.6,False,0,,
all,1730,calibrated,5101,6,0.6,0.7,False,0,,
all,1730,calibrated,5101,7,0.7,0.8,False,1,0.7603179812431335,1.0
all,1730,calibrated,5101,8,0.8,0.9,False,0,,
all,1730,calibrated,5101,9,0.9,1.0,True,0,,
all,1730,calibrated,5102,0,0.0,0.1,False,21,0.058229343876952215,0.8571428571428571
all,1730,calibrated,5102,1,0.1,0.2,False,15,0.1452410837014516,1.0
all,1730,calibrated,5102,2,0.2,0.3,False,3,0.24532928069432577,1.0
all,1730,calibrated,5102,3,0.3,0.4,False,1,0.3237358033657074,1.0
all,1730,calibrated,5102,4,0.4,0.5,False,2,0.4485664963722229,1.0
all,1730,calibrated,5102,5,0.5,0.6,False,0,,
all,1730,calibrated,5102,6,0.6,0.7,False,2,0.6464115381240845,1.0
all,1730,calibrated,5102,7,0.7,0.8,False,1,0.7014628648757935,1.0
all,1730,calibrated,5102,8,0.8,0.9,False,0,,
all,1730,calibrated,5102,9,0.9,1.0,True,0,,
all,1730,calibrated,5103,0,0.0,0.1,False,29,0.056151843854579435,0.9655172413793104
all,1730,calibrated,5103,1,0.1,0.2,False,7,0.12681470598493302,1.0
all,1730,calibrated,5103,2,0.2,0.3,False,2,0.25300052016973495,1.0
all,1730,calibrated,5103,3,0.3,0.4,False,1,0.35606124997138977,1.0
all,1730,calibrated,5103,4,0.4,0.5,False,2,0.46782228350639343,1.0
all,1730,calibrated,5103,5,0.5,0.6,False,2,0.5203434824943542,1.0
all,1730,calibrated,5103,6,0.6,0.7,False,0,,
all,1730,calibrated,5103,7,0.7,0.8,False,2,0.7655421793460846,1.0
all,1730,calibrated,5103,8,0.8,0.9,False,0,,
all,1730,calibrated,5103,9,0.9,1.0,True,0,,
all,1730,calibrated,5104,0,0.0,0.1,False,23,0.04618372492816137,0.9565217391304348
all,1730,calibrated,5104,1,0.1,0.2,False,15,0.13085089524586996,1.0
all,1730,calibrated,5104,2,0.2,0.3,False,3,0.2684683601061503,1.0
all,1730,calibrated,5104,3,0.3,0.4,False,2,0.3695427477359772,1.0
all,1730,calibrated,5104,4,0.4,0.5,False,0,,
all,1730,calibrated,5104,5,0.5,0.6,False,1,0.5722334980964661,1.0
all,1730,calibrated,5104,6,0.6,0.7,False,1,0.6559179425239563,1.0
all,1730,calibrated,5104,7,0.7,0.8,False,0,,
all,1730,calibrated,5104,8,0.8,0.9,False,0,,
all,1730,calibrated,5104,9,0.9,1.0,True,0,,
all,1730,calibrated,5105,0,0.0,0.1,False,25,0.056703727208077905,1.0
all,1730,calibrated,5105,1,0.1,0.2,False,7,0.15759692979710443,1.0
all,1730,calibrated,5105,2,0.2,0.3,False,2,0.2539133280515671,1.0
all,1730,calibrated,5105,3,0.3,0.4,False,4,0.35626015812158585,1.0
all,1730,calibrated,5105,4,0.4,0.5,False,3,0.46312137444814044,1.0
all,1730,calibrated,5105,5,0.5,0.6,False,2,0.5675961077213287,1.0
all,1730,calibrated,5105,6,0.6,0.7,False,1,0.6922209858894348,1.0
all,1730,calibrated,5105,7,0.7,0.8,False,0,,
all,1730,calibrated,5105,8,0.8,0.9,False,0,,
all,1730,calibrated,5105,9,0.9,1.0,True,0,,
all,1731,raw,all,0,0.0,0.1,False,0,,
all,1731,raw,all,1,0.1,0.2,False,3,0.1848623255888621,1.0
all,1731,raw,all,2,0.2,0.3,False,107,0.25502731504841386,0.9532710280373832
all,1731,raw,all,3,0.3,0.4,False,60,0.33726705859104794,1.0
all,1731,raw,all,4,0.4,0.5,False,14,0.4322015664407185,0.9285714285714286
all,1731,raw,all,5,0.5,0.6,False,8,0.5543411076068878,1.0
