family,NN_seed,calibration,features,parameters,selected_epoch,epochs_executed,optimizer_steps,temperature,at_or_above_fixed_threshold,auroc,brier,ece,error_auprc,error_rate,n,nll,overconfident_error_rate_p_le_0_1,risk_coverage_auc,threshold
sampling,1729,raw,4,4993,57,72,72,0.9877378178091817,224,0.6704892966360856,0.027247144542141357,0.030182398323501898,0.9809873285036327,0.9732142857142857,224,0.1304023342753442,0.0,0.9472670438546923,0.5
sampling,1729,calibrated,4,4993,57,72,72,0.9877378178091817,224,0.6704892966360856,0.027128318972157377,0.028821990692189728,0.9809873285036327,0.9732142857142857,224,0.12980938579203974,0.0,0.9472670438546923,0.5
sampling,1730,raw,4,4993,60,75,75,0.9928304702350328,224,0.5504587155963303,0.02911288902103862,0.03693241359932076,0.9726519125960211,0.9732142857142857,224,0.1518811208568756,0.0,0.9659813823501248,0.5
sampling,1730,calibrated,4,4993,60,75,75,0.9928304702350328,224,0.5504587155963303,0.029004680410801526,0.03594252068017213,0.9726519125960211,0.9732142857142857,224,0.15141123399727016,0.0,0.9659813823501248,0.5
sampling,1731,raw,4,4993,53,68,68,0.9890215732569071,224,0.7224770642201835,0.02774838956426278,0.02783102781644893,0.9892760796291119,0.9732142857142857,224,0.12613925918627228,0.0,0.9571014219061394,0.5
sampling,1731,calibrated,4,4993,53,68,68,0.9890215732569071,224,0.7224770642201835,0.027632432814229002,0.02657054471118109,0.9892760796291119,0.9732142857142857,224,0.1255120010229256,0.0,0.9571014219061394,0.5
hidden,1729,raw,128,20865,40,55,55,1.1270110597140006,25,0.6422018348623854,0.3690697688984457,0.5743008063041738,0.9832665757103916,0.9732142857142857,224,0.9365390389757114,0.0,0.9652176991065,0.5
hidden,1729,calibrated,128,20865,40,55,55,1.1270110597140006,25,0.6422018348623854,0.35375439430559397,0.5630604395908969,0.9832665757103916,0.9732142857142857,224,0.9039499470995944,0.0,0.9652176991065,0.5
hidden,1730,raw,128,20865,42,57,57,1.1062361514311063,27,0.6253822629969419,0.5083210561259393,0.6685775085352362,0.9804745362710626,0.9732142857142857,224,1.2835479921171422,0.0,0.9614700521608335,0.5
hidden,1730,calibrated,128,20865,42,57,57,1.1062361514311063,27,0.6253822629969419,0.48290464555025997,0.6529896603231984,0.9804745362710626,0.9732142857142857,224,1.2127378067711196,0.0,0.9614700521608335,0.5
hidden,1731,raw,128,20865,47,62,62,1.1917204360271745,20,0.6957186544342507,0.4894519507165838,0.6716469030029005,0.9874500654227766,0.9732142857142857,224,1.2253323571834531,0.0,0.9515541663156222,0.5
hidden,1731,calibrated,128,20865,47,62,62,1.1917204360271745,20,0.6957186544342507,0.44979813953740877,0.6441669962368907,0.9874500654227766,0.9732142857142857,224,1.1238492503201802,0.0,0.9515541663156222,0.5
graph,1729,raw,153,24065,47,62,62,0.9464811503913474,224,0.4365443425076453,0.04332453475286931,0.08172953687608248,0.9756116828776342,0.9732142857142857,224,0.20371374977343054,0.0,0.9836063767328328,0.5
graph,1729,calibrated,153,24065,47,62,62,0.9464811503913474,224,0.4365443425076453,0.04192738971474245,0.0780091256435428,0.9756116828776342,0.9732142857142857,224,0.20303973516639792,0.0,0.9836063767328328,0.5
graph,1730,raw,153,24065,48,63,63,0.9114808897175244,224,0.5412844036697247,0.043209287106523116,0.06724595172064649,0.9813990653860412,0.9732142857142857,224,0.18547389451127533,0.0,0.9773976124884388,0.5
graph,1730,calibrated,153,24065,48,63,63,0.9114808897175244,224,0.5412844036697247,0.040988219129692575,0.06986556627920697,0.9813990653860412,0.9732142857142857,224,0.18060215208367536,0.0,0.9773976124884388,0.5
graph,1731,raw,153,24065,46,61,61,0.9480263011418815,223,0.44495412844036697,0.052181533908929274,0.09622914836342844,0.976455219085193,0.9732142857142857,224,0.21741547279564538,0.0,0.9832527532588067,0.5
graph,1731,calibrated,153,24065,46,61,61,0.9480263011418815,223,0.44495412844036697,0.0504045136507422,0.09032674093863793,0.976455219085193,0.9732142857142857,224,0.21295312596156624,0.0,0.9832527532588067,0.5
all,1729,raw,285,40961,44,59,59,1.1583745448370817,10,0.7912844036697247,0.7183898521690969,0.8213893732338745,0.9932212023386657,0.9732142857142857,224,2.1849139418922205,0.48214285714285715,0.9496859098497864,0.5
all,1729,calibrated,285,40961,44,59,59,1.1583745448370817,10,0.7912844036697247,0.677841408693919,0.7977704909364028,0.9932212023386657,0.9732142857142857,224,1.937815070362525,0.3794642857142857,0.9496859098497864,0.5
all,1730,raw,285,40961,40,55,55,1.098502737965185,13,0.8081039755351682,0.7527003356390262,0.8392279975981051,0.9938034195437228,0.9732142857142857,224,2.4695539609392987,0.6071428571428571,0.9472285811296162,0.5
all,1730,calibrated,285,40961,40,55,55,1.098502737965185,13,0.8081039755351682,0.7296509550147086,0.8264057020049741,0.9938034195437228,0.9732142857142857,224,2.276542832433162,0.5401785714285714,0.9472285811296162,0.5
all,1731,raw,285,40961,42,57,57,1.2408459458039311,40,0.6987767584097859,0.41555427144043827,0.5981173329055308,0.987343267125415,0.9732142857142857,224,1.0517420269293312,0.0,0.9580737746260735,0.5
all,1731,calibrated,285,40961,42,57,57,1.2408459458039311,40,0.6987767584097859,0.3792245857550562,0.5749442288652061,0.987343267125415,0.9732142857142857,224,0.9640030626935927,0.0,0.9580737746260735,0.5
