arm,seed,query_1based,HV_increment,HV_increment_micro,gain_from_prior_after
es_only,5102,33,5.067131242530998e-05,50.67131242530998,5.067131242530998e-05
es_only,5103,35,7.409102753641594e-05,74.09102753641594,7.409102753641594e-05
es_only,5104,37,0.00014074029356769824,140.74029356769825,0.00014074029356769824
gp_ei_scalarized,5101,6,0.0001185905240191909,118.5905240191909,0.0001185905240191909
gp_ei_scalarized,5101,29,7.115744625219023e-05,71.15744625219023,0.00018974797027138113
gp_ei_scalarized,5101,38,1.4265598080598352e-07,0.14265598080598352,0.0001898906262521871
gp_ei_scalarized,5102,6,0.0002713415419988152,271.3415419988152,0.0002713415419988152
gp_ei_scalarized,5102,9,0.00015565581302789955,155.65581302789954,0.00042699735502671476
gp_ei_scalarized,5102,27,1.6475305663066209e-06,1.6475305663066209,0.0004286448855930214
gp_ei_scalarized,5102,30,3.652976856893808e-06,3.652976856893808,0.0004322978624499152
gp_ei_scalarized,5103,7,0.00010160583300744541,101.60583300744541,0.00010160583300744541
gp_ei_scalarized,5103,8,5.502848920424519e-06,5.502848920424519,0.00010710868192786993
gp_ei_scalarized,5103,9,4.015615508257131e-05,40.15615508257131,0.00014726483701044124
gp_ei_scalarized,5103,12,2.1711146597769293e-05,21.711146597769293,0.00016897598360821053
gp_ei_scalarized,5103,15,1.8553870297144393e-05,18.553870297144393,0.00018752985390535493
gp_ei_scalarized,5103,29,1.0502218382946182e-05,10.502218382946182,0.0001980320722883011
gp_ei_scalarized,5103,33,0.0002111126695175658,211.1126695175658,0.0004091447418058669
gp_ei_scalarized,5104,6,1.3147974039395827e-05,13.147974039395827,1.3147974039395827e-05
gp_ei_scalarized,5104,7,7.562318086196118e-05,75.62318086196117,8.877115490135701e-05
gp_ei_scalarized,5104,9,0.00016163658161305605,161.63658161305605,0.00025040773651441306
gp_ei_scalarized,5104,10,4.062641645430354e-06,4.062641645430354,0.0002544703781598434
gp_ei_scalarized,5104,16,4.8520017177033914e-05,48.520017177033914,0.00030299039533687733
gp_ei_scalarized,5104,19,5.847726719898638e-05,58.47726719898638,0.0003614676625358637
gp_ei_scalarized,5105,6,0.0004316958876627863,431.69588766278633,0.0004316958876627863
gp_ei_scalarized,5105,40,1.0825018494919902e-05,10.825018494919902,0.00044252090615770623
qwen_base,5102,33,5.067131242530998e-05,50.67131242530998,5.067131242530998e-05
qwen_base,5103,35,7.409102753641594e-05,74.09102753641594,7.409102753641594e-05
qwen_base,5104,37,0.00014074029356769824,140.74029356769825,0.00014074029356769824
random,5101,14,0.00011427343240189014,114.27343240189015,0.00011427343240189014
random,5105,35,1.773506950242254e-05,17.73506950242254,1.773506950242254e-05
random_controller,5103,35,4.7595718605242254e-06,4.759571860524225,4.7595718605242254e-06
random_controller,5105,12,4.7595718605242254e-06,4.759571860524225,4.7595718605242254e-06
random_controller,5105,32,0.0001370501385279388,137.0501385279388,0.00014180971038846302
uq_esopt,5101,46,6.96435639324644e-06,6.96435639324644,6.96435639324644e-06
uq_esopt,5102,11,1.112827299232233e-05,11.12827299232233,1.112827299232233e-05
uq_esopt,5102,16,3.4252944525747786e-05,34.252944525747786,4.5381217518070116e-05
uq_esopt,5102,18,5.104919909548755e-05,51.04919909548755,9.643041661355767e-05
uq_esopt,5103,19,5.0333777603661645e-06,5.0333777603661645,5.0333777603661645e-06
uq_esopt,5104,10,5.0333777603661645e-06,5.0333777603661645,5.0333777603661645e-06
uq_only,5101,46,6.96435639324644e-06,6.96435639324644,6.96435639324644e-06
uq_only,5102,11,1.112827299232233e-05,11.12827299232233,1.112827299232233e-05
uq_only,5102,16,3.4252944525747786e-05,34.252944525747786,4.5381217518070116e-05
uq_only,5102,18,5.104919909548755e-05,51.04919909548755,9.643041661355767e-05
uq_only,5103,19,5.0333777603661645e-06,5.0333777603661645,5.0333777603661645e-06
uq_only,5104,10,5.0333777603661645e-06,5.0333777603661645,5.0333777603661645e-06
