arm,seed,front_index,matches_zero_gain_base5101_reference_objective,conc_dfnb,equiv_pldn,tau,temperature,e_factor,sty
es_only,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
es_only,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
es_only,5101,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
es_only,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
es_only,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
es_only,5102,2,False,0.5,4.0,0.6,35,9.400124565715595,9619.803488631118
es_only,5102,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
es_only,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
es_only,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
es_only,5103,2,False,0.5,4.0,0.55,35,9.40024167564032,10494.991077248651
es_only,5103,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
es_only,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
es_only,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
es_only,5104,2,False,0.48,1.2,0.55,102,8.928698840823733,9849.293852680357
es_only,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
es_only,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
es_only,5105,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
gp_ei_scalarized,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
gp_ei_scalarized,5101,1,False,0.4856273140758276,1.9863866940140724,0.5074116992764175,60.73231117799878,9.005078853109545,10932.018110801919
gp_ei_scalarized,5101,2,False,0.49473188295960424,1.4942849390208721,0.5003868639469147,100.19850787706673,8.978853459452772,10929.54929708119
gp_ei_scalarized,5101,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
gp_ei_scalarized,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
gp_ei_scalarized,5102,1,False,0.49899850301444537,2.7971264868974686,0.5086633772589266,54.12341354414821,9.067525098460589,11215.247182929274
gp_ei_scalarized,5102,2,False,0.49795843809843066,2.0517008788883686,0.5033772685565054,50.906859543174505,8.956930377558058,11146.296619854591
gp_ei_scalarized,5102,3,False,0.49395265206694605,1.2227232456207275,0.5014540129341185,101.30922806449234,8.688092414567762,11119.501814223166
gp_ei_scalarized,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
gp_ei_scalarized,5103,1,False,0.4979277398437262,1.6387196965515614,0.5027632340788841,67.61911634355783,8.720923494061422,11247.944307160878
gp_ei_scalarized,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
gp_ei_scalarized,5104,1,False,0.4999272204935551,2.0201057493686676,0.5006102891638875,66.68758305720985,8.787999015956448,11387.017992811143
gp_ei_scalarized,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
gp_ei_scalarized,5105,1,False,0.4965402085334063,2.736521430313587,0.500816083047539,56.39183457009494,9.105862399077555,11312.196818734694
gp_ei_scalarized,5105,2,False,0.49725882261991505,1.28107400983572,0.5043891598470509,103.29263739287853,8.680308635707512,11095.828992155399
qwen_base,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
qwen_base,5101,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
qwen_base,5101,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
qwen_base,5102,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
qwen_base,5102,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
qwen_base,5102,2,False,0.5,4.0,0.6,35,9.400124565715595,9619.803488631118
qwen_base,5102,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
qwen_base,5103,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
qwen_base,5103,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
qwen_base,5103,2,False,0.5,4.0,0.55,35,9.40024167564032,10494.991077248651
qwen_base,5103,3,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
qwen_base,5104,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
qwen_base,5104,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
qwen_base,5104,2,False,0.48,1.2,0.55,102,8.928698840823733,9849.293852680357
qwen_base,5105,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
qwen_base,5105,1,True,0.5,5.0,0.55,30,9.748370260490134,10515.5917119573
qwen_base,5105,2,True,0.48,1.2,0.7,102,8.940481694699898,7728.24511070046
random,5101,0,True,0.5,5,0.5,30,9.756260578228623,11559.605121586617
