bin,query_n,scored_n,unscored_n,no_HVI_count_all,HVI_count_all,failure_rate_scored,mean_risk,Brier,log_loss,failure_AUROC,failure_AUPRC,failure_AP_prevalence_baseline,success_AUPRC,success_AP_prevalence_baseline,fixed_point5_TP,fixed_point5_FN,fixed_point5_FP,fixed_point5_TN,HV_increment_sum,HVI_positive_mean
"[0,0.1]",90,90,0,85,5,0.9444444444444444,0.07013080823752615,0.8168994130330739,2.5437369121340936,0.56,0.9520142801262103,0.9444444444444444,0.09632668382668383,0.05555555555555555,0,85,0,5,0.00010842815076717027,2.1685630153434055e-05
"(0.1,0.25]",96,96,0,95,1,0.9895833333333334,0.16671847683998445,0.6878148052745051,1.80176401241995,0.9894736842105263,0.999890350877194,0.9895833333333334,0.5,0.010416666666666666,0,95,0,1,5.0333777603661645e-06,5.0333777603661645e-06
"(0.25,0.5]",28,28,0,28,0,1.0,0.37947332859039307,0.38942050431290587,0.984509312575411,,0.9999999999999997,1.0,,0.0,0,28,0,0,0.0,
"(0.5,0.75]",10,10,0,10,0,1.0,0.6357410311698913,0.1381532947347374,0.4598647724710423,,0.9999999999999999,1.0,,0.0,10,0,0,0,0.0,
"(0.75,1.0]",0,0,0,0,0,,,,,,,,,,0,0,0,0,0.0,
