stratum,query_n,scored_n,unscored_n,no_HVI_count_all,HVI_count_all,failure_rate_scored,mean_risk,Brier,log_loss,failure_AUROC,failure_AUPRC,failure_AP_prevalence_baseline,success_AUPRC,success_AP_prevalence_baseline,fixed_point5_TP,fixed_point5_FN,fixed_point5_FP,fixed_point5_TN,HV_increment_sum,HVI_positive_mean
all225_post_LHS,225,224,1,219,6,0.9732142857142857,0.17544379477788294,0.677841408693919,1.937815070362525,0.7912844036697247,0.9932212023386643,0.9732142857142857,0.09114180173962783,0.026785714285714284,10,208,0,6,0.00011346152852753644,1.8910254754589406e-05
risk_le_point1,90,90,0,85,5,0.9444444444444444,0.07013080823752615,0.8168994130330739,2.5437369121340936,0.56,0.9520142801262103,0.9444444444444444,0.09632668382668383,0.05555555555555555,0,85,0,5,0.00010842815076717027,2.1685630153434055e-05
risk_lt_point5,214,214,0,208,6,0.9719626168224299,0.15393457812405079,0.7030604794396752,2.006878168394837,0.78125,0.992479625835097,0.9719626168224299,0.09114180173962783,0.028037383177570093,0,208,0,6,0.00011346152852753644,1.8910254754589406e-05
risk_ge_point5,10,10,0,10,0,1.0,0.6357410311698913,0.1381532947347374,0.4598647724710423,,0.9999999999999999,1.0,,0.0,10,0,0,0,0.0,
no_risk_post_LHS,1,0,1,1,0,,,,,,,,,,0,0,0,0,0.0,
single_proposal,202,202,0,196,6,0.9702970297029703,0.14729476207406214,0.7114401815424661,2.0346339027297162,0.7738095238095238,0.9917083497008535,0.9702970297029703,0.09202553584576056,0.0297029702970297,0,196,0,6,0.00011346152852753644,1.8910254754589406e-05
two_proposals,23,22,1,23,0,1.0,0.4339030950584195,0.3693435852663507,1.0488421549910412,,0.9999999999999997,1.0,,0.0,10,12,0,0,0.0,
