model,iterations,fixed_trees,no_convergence_warning,warnings,temperature
GBC_GraphOnly,[],100,True,[],4.8602179687468645
GBC_Internal,[],100,True,[],4.0683768979713575
L2Logistic_GraphOnly,[14],,True,[],1.4525610320894133
L2Logistic_Internal,[17],,True,[],1.3387690213129988
