partition,rule,threshold,rows,trigger,TP,FP,FN,recall,brier
calibration,original,0.9867005323054212,60,15,15,0,11,0.5769230769230769,0.0632868524549867
calibration,fixed_posterior,0.5,60,24,22,2,4,0.8461538461538461,0.0632868524549867
development,original,0.9867005323054212,40,1,1,0,9,0.1,0.06443833687583089
development,fixed_posterior,0.5,40,13,10,3,0,1.0,0.06443833687583089
G0_development,original,0.9867005323054212,10,0,0,0,7,0.0,0.10421418549517365
G0_development,fixed_posterior,0.5,10,6,6,0,1,0.8571428571428571,0.10421418549517365
