family,raw_features,NN_parameters,auroc,brier,episodes,nll,probability_range,rows,worlds
OutputAction,10,5761,0.9600000000000007,0.08107462035649157,2,0.2534979453814361,0.984332752879709,40,1
NoGraph,140,22401,0.9600000000000007,0.06871359337287065,2,0.23687866946119132,0.9193816687911749,40,1
GraphOnly,153,24065,0.9133333333333337,0.0854522007337076,2,0.4245655109096483,0.9887665999121964,40,1
Internal,293,41985,0.9700000000000006,0.06443833687583089,2,0.19994415101328178,0.9895033752545714,40,1
