job_id,budget,task_id,method,seed,claimed_utc,committed_utc,init_request_utc,close_response_utc,claim_to_commit_seconds,post_close_acceptance_seconds,rollout_wall_seconds,initialization_wall_seconds,graph_seconds_included_in_rollout,candidate_oracle_attempts,initialization_oracle_attempts,surrogate_oracle_attempts,dft_episode_attempts,llm_calls,prompt_tokens,completion_tokens,rpc_attempts,tool_attempts,score_sentinels
core-final-made-b3cf3eb0b0abac870322dfca,10,Al-Li-V,baseline,1,,,,,,,691.1749484436586,36.021957812365144,0,10,16,29,,18,34805,2508,36,18,
core-final-made-62c11475b68fc27b52f90528,10,Al-Li-V,esopt_graph_risk,1,,,,,,,3003.897455302067,37.15855568414554,1896.2297217091545,10,16,,,35,52850,4922,40,20,
core-final-made-e6ec0e8c12056042d3e30a1a,10,Al-V-Zn,baseline,1,,,,,,,531.1194243896753,31.216479413677007,0,10,12,16,,19,41070,2323,38,19,15
core-final-made-d063abf251631ee8047431e9,10,Al-V-Zn,esopt_graph_risk,1,,,,,,,3656.516004758887,29.766606057994068,2391.951603356283,10,12,,,46,77646,6214,50,25,
