job_id,benchmark,model_key,method,task_id,seed,budget,SUN,AUDC,mSUN,candidate_oracle_attempts,complete,model_revision_recorded,selected_generation_recorded,actual_model_state_hash,raw_result_sha256,raw_result_relative_path,raw_RPC_sha256,raw_RPC_relative_path,receipt_sha256,verification_basis
core-final-made-b3cf3eb0b0abac870322dfca,made,qwen35_4b,baseline,Al-Li-V,1,10,0,0.0,0.0,10,True,,,,57c2ba5dab897b80b3ac22f10de9555ab27a60428ce66e32a37d59e2ba2da569,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-b3cf3eb0b0abac870322dfca/98e956e2c2d6426eb3565f40ebc9fc12/result.json,,,,cached_observer_hash_flags_and_curve_recalculation_not_new_remote_hash
core-final-made-62c11475b68fc27b52f90528,made,qwen35_4b,esopt_graph_risk,Al-Li-V,1,10,2,0.18,0.2,10,True,,,,4a48578474376701b499ad706f1ef7be39348db3c1169b95489eada9cafa670f,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-62c11475b68fc27b52f90528/06784341da0e4872b5d9437c6b99fd5e/result.json,,,,cached_observer_hash_flags_and_curve_recalculation_not_new_remote_hash
core-final-made-e6ec0e8c12056042d3e30a1a,made,qwen35_4b,baseline,Al-V-Zn,1,10,6,0.68,0.6,10,True,,,,d9e2464ee43fce63fc9519dbbc1c6d77ec0fe14593ec693e80ec19ab8030675b,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-e6ec0e8c12056042d3e30a1a/6ec1fa3fe2584ccc8371bbb10bf11c3a/result.json,,,,cached_observer_hash_flags_and_curve_recalculation_not_new_remote_hash
core-final-made-d063abf251631ee8047431e9,made,qwen35_4b,esopt_graph_risk,Al-V-Zn,1,10,4,0.32,0.4,10,True,,,,8f68cef15d506e2a1d969bb879891276c6e6c480232a595dcc2cda61879394cc,core_workspaces/made_fast_subset_causal_v5/experiments/core_final/jobs/core-final-made-d063abf251631ee8047431e9/ace8a45b0fcf4a0cacf0f4be86e09bbb/result.json,,,,cached_observer_hash_flags_and_curve_recalculation_not_new_remote_hash
