family,weight_decay,steps,held_source,MSE,MAE,validation_rows
NoGraph,0.01,50,101,0.0008901383042649999,0.01788226328790188,12
NoGraph,0.01,50,102,0.004049639682290507,0.05457935596091879,12
NoGraph,0.01,50,103,0.00011911697366524316,0.007624070315311352,12
NoGraph,0.01,50,104,0.0007958800291024876,0.02260369931658109,6
NoGraph,0.01,50,105,0.00048366195543942997,0.016233996177713074,6
NoGraph,0.01,50,106,0.007143447593270671,0.07218872352192798,6
NoGraph,0.01,50,107,0.003798473248863495,0.050766567389170326,6
NoGraph,0.01,50,108,0.003212811750599088,0.04803558811545372,6
NoGraph,0.01,50,109,0.006092893492185359,0.061263048555701964,6
NoGraph,0.01,50,110,0.00011898375091984786,0.008361754318078358,6
NoGraph,0.01,100,101,0.00039007971121083175,0.016091745579615235,12
NoGraph,0.01,100,102,0.004579268969101735,0.05517787983020146,12
NoGraph,0.01,100,103,0.0001410228102408668,0.009939148090779781,12
NoGraph,0.01,100,104,0.0005114031134415149,0.016536233946681023,6
NoGraph,0.01,100,105,0.0007861187702472225,0.02033469515542189,6
NoGraph,0.01,100,106,0.006101911173695232,0.06462465443958838,6
NoGraph,0.01,100,107,0.004898156195036835,0.0518767995138963,6
NoGraph,0.01,100,108,0.0017292972653249483,0.03340008606513341,6
NoGraph,0.01,100,109,0.005626222367372976,0.05838115233927965,6
NoGraph,0.01,100,110,0.0001909402846649634,0.009755261242389679,6
NoGraph,0.01,200,101,0.00033983262985599547,0.014974185731261969,12
NoGraph,0.01,200,102,0.004306780758762923,0.05247445839146773,12
NoGraph,0.01,200,103,0.00014647603185039717,0.009813198043654362,12
NoGraph,0.01,200,104,0.0009034909495813328,0.01960795900473992,6
NoGraph,0.01,200,105,0.0013130687017367962,0.02688813923547665,6
NoGraph,0.01,200,106,0.0056570989091615145,0.062338818795979016,6
NoGraph,0.01,200,107,0.0051504365206080085,0.04626011072347561,6
NoGraph,0.01,200,108,0.0006035442138067292,0.021447335680325825,6
NoGraph,0.01,200,109,0.004674753520368738,0.047797831939533346,6
NoGraph,0.01,200,110,0.000542848859351808,0.011891394232710201,6
NoGraph,0.1,50,101,0.0008844703408842553,0.01783555350266397,12
NoGraph,0.1,50,102,0.004048901251538972,0.054593941403759845,12
NoGraph,0.1,50,103,0.00011935215921567704,0.007635281266023715,12
NoGraph,0.1,50,104,0.0007939526638928063,0.022603833116590977,6
NoGraph,0.1,50,105,0.0004835180338187013,0.01623814987639586,6
NoGraph,0.1,50,106,0.0071346627315309295,0.07214316477378209,6
NoGraph,0.1,50,107,0.0038032551220747984,0.05081037059426308,6
NoGraph,0.1,50,108,0.0032112164329974996,0.048011306052406624,6
NoGraph,0.1,50,109,0.006096717356150831,0.061288016227384404,6
NoGraph,0.1,50,110,0.00011930226790738026,0.008368791701893011,6
NoGraph,0.1,100,101,0.000390619242532021,0.016129648545756936,12
NoGraph,0.1,100,102,0.004580527256434718,0.05519588778002395,12
NoGraph,0.1,100,103,0.0001421966877890021,0.009972862433642149,12
NoGraph,0.1,100,104,0.0005107467107149007,0.016560920824607212,6
NoGraph,0.1,100,105,0.0007867372470784876,0.020323182145754494,6
NoGraph,0.1,100,106,0.006091767911499152,0.06462251022458076,6
NoGraph,0.1,100,107,0.004915134064404894,0.0519949970766902,6
NoGraph,0.1,100,108,0.0017259383228850657,0.03329575310150782,6
NoGraph,0.1,100,109,0.0056340714056228635,0.058390357221166284,6
NoGraph,0.1,100,110,0.00018879198005594615,0.009688734076917171,6
NoGraph,0.1,200,101,0.000345702396929153,0.015097726369276643,12
NoGraph,0.1,200,102,0.004316456482599337,0.05259490551220046,12
NoGraph,0.1,200,103,0.00014616742341184608,0.009819183653841415,12
NoGraph,0.1,200,104,0.0008925819682830236,0.019670970427493252,6
NoGraph,0.1,200,105,0.001311633567693887,0.02688727465768655,6
NoGraph,0.1,200,106,0.005638002910899418,0.062395890864233174,6
NoGraph,0.1,200,107,0.0051453536586092054,0.045923699314395584,6
NoGraph,0.1,200,108,0.000618034215397182,0.02172110074510177,6
NoGraph,0.1,200,109,0.004680042802350603,0.04777963855303824,6
NoGraph,0.1,200,110,0.0005325880625825425,0.011720515166719755,6
OutputAction,0.01,50,101,0.0025927460918903408,0.04057840281166136,12
OutputAction,0.01,50,102,0.004351746720286492,0.05962639571064048,12
OutputAction,0.01,50,103,0.0004888680165242092,0.01121218060143292,12
OutputAction,0.01,50,104,0.0005465574920968914,0.018011669007440407,6
OutputAction,0.01,50,105,0.0007952686586522959,0.018231004010885954,6
OutputAction,0.01,50,106,0.003656814806230432,0.05072747372711698,6
OutputAction,0.01,50,107,0.0029131754148266123,0.040547815927614764,6
OutputAction,0.01,50,108,0.005296748665840512,0.0648949770256877,6
OutputAction,0.01,50,109,0.003941394721502303,0.05339422573645909,6
OutputAction,0.01,50,110,0.000277171967786965,0.011962801062812407,6
OutputAction,0.01,100,101,0.0034376171343515963,0.04734755423851311,12
OutputAction,0.01,100,102,0.004460822225706427,0.06107362028625276,12
OutputAction,0.01,100,103,0.0005574877143449112,0.01170282174522678,12
OutputAction,0.01,100,104,0.0006040798597638915,0.018250639239947,6
OutputAction,0.01,100,105,0.0008359741741014799,0.01759691381206115,6
OutputAction,0.01,100,106,0.0036715785265850455,0.0500246441612641,6
OutputAction,0.01,100,107,0.003985950442656594,0.04410198742213348,6
OutputAction,0.01,100,108,0.005750370893492721,0.06774942421664794,6
OutputAction,0.01,100,109,0.003907066136134767,0.05181247632329662,6
OutputAction,0.01,100,110,0.00035888446500558445,0.01311966055072844,6
OutputAction,0.01,200,101,0.005695802020519482,0.05366266635246575,12
OutputAction,0.01,200,102,0.004841748621000581,0.05939358346060746,12
OutputAction,0.01,200,103,0.00032545871978218463,0.008387950249016285,12
OutputAction,0.01,200,104,0.00018203327369642992,0.009488679779072603,6
OutputAction,0.01,200,105,0.000542948101012116,0.014425065057973065,6
OutputAction,0.01,200,106,0.002338485068574333,0.041941286375125245,6
OutputAction,0.01,200,107,0.0037601343093966624,0.04548469465225935,6
OutputAction,0.01,200,108,0.0052147979596772085,0.06150671009284754,6
OutputAction,0.01,200,109,0.0033092233502434003,0.048785230765740074,6
OutputAction,0.01,200,110,0.00022043339854237984,0.013866017883022625,6
OutputAction,0.1,50,101,0.002588736344650174,0.04053498897701502,12
