source_policy_seed,attempts,task_score,task_success,action_failures,official_summary_sha256
104,100,0.0,False,95,7d67c6592a58a7250ac66affe1bbca1af6953436fb0845aeaae554de689f42dc
105,100,0.0,False,95,30bae6102f1e4bc153eb415e9feee2cff597375fde4bc7b1d742ad33f48dcf86
106,100,0.375,False,25,968df0c4276e02cc3af5e3bafa245485f4085d83350b48e24e46d6827ddeba59
107,100,0.25,False,32,7999c22512d9a9df343395c63ab42a712aa1798bdc44434b94c1b762a066fc30
108,100,0.375,False,30,6a3a6111e7392d4a0fca53cad770afb0c24ca61cf5902407ee151c4e296f55b6
109,100,0.375,False,43,4ccf859f35f0a13e48117ceba805de86d8aa6f7d1b7e1b019beb78ec6991683b
110,100,0.125,False,97,4931c6d58d69d9851d5ac8428b671066f91e2090dcf3394a71bc74002386ee90
