family,weight_decay,steps,macro_source_MSE,constant_macro_source_MSE,MSE_minus_constant,selected_by_frozen_TRAIN_rule,beats_constant
NoGraph,0.01,50,0.002670504678060113,0.0022798152970679012,0.0003906893809922118,False,False
NoGraph,0.01,100,0.002495442066033713,0.0022798152970679012,0.0002156267689658116,False,False
NoGraph,0.01,200,0.002363833109508424,0.0022798152970679012,8.401781244052288e-05,False,False
NoGraph,0.1,50,0.0026695348360011853,0.0022798152970679012,0.00038971953893328403,False,False
NoGraph,0.1,100,0.002496653082901705,0.0022798152970679012,0.00021683778583380395,False,False
NoGraph,0.1,200,0.0023626563488756197,0.0022798152970679012,8.284105180771844e-05,True,False
OutputAction,0.01,50,0.0024860492555637053,0.0022798152970679012,0.0002062339584958041,False,False
OutputAction,0.01,100,0.0027569831572143016,0.0022798152970679012,0.0004771678601464004,False,False
OutputAction,0.01,200,0.002643106482244478,0.0022798152970679012,0.0003632911851765767,False,False
OutputAction,0.1,50,0.002484578561947558,0.0022798152970679012,0.00020476326487965657,True,False
OutputAction,0.1,100,0.002754055317766676,0.0022798152970679012,0.00047424002069877463,False,False
OutputAction,0.1,200,0.0026344133098707197,0.0022798152970679012,0.0003545980128028185,False,False
