condition,status,attempts,task_score,task_success,official_action_failures,adapter_rejections,failure_fraction,F,proposals,NoGraph_captures,supported_NoGraph_candidates,NoGraph_forward_returns,executed_changes_from_first,generated_different_revisions,supported_neural_revisions,supported_rank_changes,episode_wall_seconds,row_sha256,official_summary_sha256
Native1,closed,30,0.0,False,4,0,0.13333333333333333,-0.013333333333333334,30,0,0,0,0,0,0,0,117.43290305137634,85d01757b45a00e573dcf6786554ca8b1f99cc89c7dc2b17fdde8fed915066d9,e59ec1613f6d0cc09221a03c58e9d0a1961cd3abc9e85526cae47b321bebc99f
NoGraphRisk,closed,30,0.0,False,3,0,0.1,-0.010000000000000002,34,34,30,98,0,3,4,0,1126.6956741809845,747bb695efd33e5e042512300e9130aa3b3d63f738c0b191a1ac6ddaefa8dfce,33d1e4bc2a4efbc8cbec2b1d7f7cb2d28eae5b38867a7030ded64d94262cad52
ExplicitRepeatRisk,closed,30,0.125,False,4,0,0.13333333333333333,0.11166666666666666,33,33,30,96,0,2,3,0,1176.2275562286377,7bacbce6831812742459bd70c14c9af0e0a8252506af97d23bef7d8443264e34,35d93f77178b78f973190efae6e5f379cc8c083dfd2cf4f12cc2d8edc351757d
ExplicitRepeatCommon2,closed,30,0.0,False,3,0,0.1,-0.010000000000000002,60,60,53,173,4,14,0,0,2091.391265630722,d0678cbaea1684cb305537b06494bb1e6042a9d0e29da8664b3cdc0e43e44416,59d1a801cac98b754750f1e11b59b57a32685a4df5cbb129a7bfffb4c0a9a4b7
ExplicitRepeatInternal2,closed,30,0.25,False,4,0,0.13333333333333333,0.23666666666666666,60,60,49,169,4,17,0,4,2062.2369515895844,95f7c04f21d1ddec395a0480ef7f6ac1e90e4a248398814b0c517f47e2309564,8f1ccff8047cc35f77b236aac08e32790450760e355444a4cc75b2b8dc2aee4d
