name,arm,seed,budget,queries,prior_rows,prior_hv,final_hv,final_hv_gain,mean_querywise_hv,mean_querywise_hv_gain,brier,invalid_proposal_rate,invalid_proposals,proposal_count,risk_observations,weight_hash,prior_fingerprint,protocol_fingerprint,original_summary_sha256,acceptance
test_qwen_base_5103,qwen_base,5103,50,50,550,0.8810117795428745,0.8810858705704109,7.409102753641594e-05,0.8810354886716861,2.3709128811653102e-05,,0.0,0,45,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,22572d5940acf078caf2bd735996196193a1ad545e6492dce9124fa13ad247b8,separate_derived_acceptance_passed
test_qwen_base_5104,qwen_base,5104,50,50,550,0.8810117795428745,0.8811525198364422,0.00014074029356769824,0.8810511868250734,3.9407282198955505e-05,,0.021739130434782608,1,46,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,53f64872d16ada9a9795db1b93b47163eedbf43f68c0cbc2eb17cd1a17e4d171,separate_derived_acceptance_passed
test_qwen_base_5105,qwen_base,5105,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,,0.0,0,45,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,cf6174a7c776de4c1d839bb9251efd38cca3b90f06f22ec8c58796968ddae908,separate_derived_acceptance_passed
test_random_5101,random,5101,50,50,550,0.8810117795428745,0.8811260529752764,0.00011427343240189014,0.8810963418828515,8.45623399773987e-05,,0.0,0,0,0,,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,ba5f95e10afe1be97282c716228fd1ae94214e002085d69b7e1364a0d3a49593,separate_derived_acceptance_passed
test_random_5102,random,5102,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428739,0.0,,0.0,0,0,0,,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,e3741467214b785c880fc47d71e209890195f60a431f9066374a1cc9eb45bec6,separate_derived_acceptance_passed
test_random_5103,random,5103,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428739,0.0,,0.0,0,0,0,,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,d4dc14c912ce2f73081c73476a18135dba61ee69618b3cbf5610ad3ad05bfed0,separate_derived_acceptance_passed
test_random_5104,random,5104,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428739,0.0,,0.0,0,0,0,,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,ad3a08691e24bef8c03d9c28cd6ea9f25200df0e11b1b81a0857bfb0a26fa9de,separate_derived_acceptance_passed
test_random_5105,random,5105,50,50,550,0.8810117795428745,0.8810295146123769,1.773506950242254e-05,0.8810174547651155,5.675222240775213e-06,,0.0,0,0,0,,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,fe64f877bca5457631b715b4a7349f1d9393a67e100a38b2aa7354dfbe6bf905,separate_derived_acceptance_passed
test_random_controller_5101,random_controller,5101,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,,0.05555555555555555,5,90,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,c0085072aeef3c6382c932d10bea2f1b325c3256e13af4865e2c19d458a8324d,separate_derived_acceptance_passed
test_random_controller_5102,random_controller,5102,50,50,550,0.8810117795428745,0.8810117795428745,0.0,0.8810117795428745,0.0,,0.03333333333333333,3,90,0,6a308686126804830c81a7d2a3495feda3b3a13b074b9958e0e6026759826516,bb2410333984e03b068170ceb8bb60d0ea73961f882869b3effd9c12afb90c7b,eedd128dfb8380a5548cf31bb415cd88f4bb032eda77fe722619e5f4bf085eb2,af96a4c562fc41320b824ace5cd602956eea227a1e4c66acd3fc0de0fbc4375e,separate_derived_acceptance_passed
