arm,metric,n,mean,sample_variance_ddof1,SD,variance_axis,raw_values_seed_order
random_controller,invalid_proposal_rate,5,0.024444444444444442,0.0004567901234567901,0.021372648957412605,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.05555555555555555, 0.03333333333333333, 0.011111111111111112, 0.0, 0.022222222222222223]"
random_controller,brier,0,,,,evaluation_seeds_5101_to_5105_fixed_adaptation,[]
uq_esopt,final_hv,5,0.88103447184858,1.7058234001081388e-09,4.130161498183986e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810187438992677, 0.881108209959488, 0.8810168129206348, 0.8810168129206348, 0.8810117795428745]"
uq_esopt,final_hv_gain,5,2.2692305705507287e-05,1.7058234001081388e-09,4.130161498183986e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[6.96435639324644e-06, 9.643041661355767e-05, 5.0333777603661645e-06, 5.0333777603661645e-06, 0.0]"
uq_esopt,mean_querywise_hv,5,0.8810267030065013,8.365499565918464e-10,2.8923173349268687e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810124759785138, 0.8810783516938393, 0.8810150009046411, 0.881015906912638, 0.8810117795428745]"
uq_esopt,mean_querywise_hv_gain,5,1.4923463626872468e-05,8.365499565942078e-10,2.8923173349309507e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[6.96435639324644e-07, 6.65721509649031e-05, 3.2213617666343453e-06, 4.1273697635002545e-06, 0.0]"
uq_esopt,invalid_proposal_rate,5,0.03184313725490196,0.0003169857747020377,0.01780409432411651,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.04, 0.0392156862745098, 0.04, 0.0, 0.04]"
uq_esopt,brier,5,0.6777941819641884,0.0017292932771752225,0.04158477217895058,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.7266795908695955, 0.6155525389568062, 0.6784697839626646, 0.7010536015273702, 0.6672153945045053]"
uq_only,final_hv,5,0.88103447184858,1.7058234001081388e-09,4.130161498183986e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810187438992677, 0.881108209959488, 0.8810168129206348, 0.8810168129206348, 0.8810117795428745]"
uq_only,final_hv_gain,5,2.2692305705507287e-05,1.7058234001081388e-09,4.130161498183986e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[6.96435639324644e-06, 9.643041661355767e-05, 5.0333777603661645e-06, 5.0333777603661645e-06, 0.0]"
uq_only,mean_querywise_hv,5,0.8810267030065013,8.365499565918464e-10,2.8923173349268687e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.8810124759785138, 0.8810783516938393, 0.8810150009046411, 0.881015906912638, 0.8810117795428745]"
uq_only,mean_querywise_hv_gain,5,1.4923463626872468e-05,8.365499565942078e-10,2.8923173349309507e-05,evaluation_seeds_5101_to_5105_fixed_adaptation,"[6.96435639324644e-07, 6.65721509649031e-05, 3.2213617666343453e-06, 4.1273697635002545e-06, 0.0]"
uq_only,invalid_proposal_rate,5,0.03184313725490196,0.0003169857747020377,0.01780409432411651,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.04, 0.0392156862745098, 0.04, 0.0, 0.04]"
uq_only,brier,5,0.6777941819641884,0.0017292932771752225,0.04158477217895058,evaluation_seeds_5101_to_5105_fixed_adaptation,"[0.7266795908695955, 0.6155525389568062, 0.6784697839626646, 0.7010536015273702, 0.6672153945045053]"
