method,candidate_composition_arity,attempts,stable,novel,stable_new,non_novel,stable_non_novel,unstable_novel,unstable_non_novel,net_SUN_gain,reclassified_loss,SUN_negative_steps,SUN_downward_magnitude,stable_new_zero_delta,exact_hash_repeated_in_episode,non_novel_with_previous_exact_hash,stable_rate,novel_rate,stable_new_rate,stable_given_novel,unique_formulas,formula_top1_fraction,formula_hhi
baseline,2,157,129,119,95,38,34,24,4,95,0,0,0,0,0,0,0.821656050955414,0.7579617834394905,0.6050955414012739,0.7983193277310925,42,0.12101910828025478,0.04766927664408293
baseline,3,506,148,407,102,99,46,305,53,98,4,1,2,1,0,0,0.2924901185770751,0.8043478260869565,0.2015810276679842,0.25061425061425063,215,0.02766798418972332,0.00831133121904732
baseline,4,575,38,544,35,31,3,509,28,35,0,0,0,0,0,0,0.06608695652173913,0.9460869565217391,0.06086956521739131,0.06433823529411764,273,0.02434782608695652,0.006917202268431002
baseline,5,262,5,247,5,15,0,242,15,5,0,0,0,0,0,0,0.019083969465648856,0.9427480916030534,0.019083969465648856,0.020242914979757085,119,0.05343511450381679,0.014655323116368508
esopt_graph_risk,1,16,14,12,10,4,4,2,0,10,0,0,0,0,0,0,0.875,0.75,0.625,0.8333333333333334,8,0.25,0.1640625
esopt_graph_risk,2,32,20,19,11,13,9,8,4,11,0,0,0,0,0,0,0.625,0.59375,0.34375,0.5789473684210527,10,0.53125,0.3203125
esopt_graph_risk,3,518,145,348,76,170,69,272,101,75,1,0,0,1,0,0,0.2799227799227799,0.6718146718146718,0.14671814671814673,0.21839080459770116,150,0.0694980694980695,0.015704894083272462
esopt_graph_risk,4,537,53,398,32,139,21,366,118,32,0,0,0,0,0,0,0.09869646182495345,0.7411545623836127,0.0595903165735568,0.08040201005025126,139,0.0931098696461825,0.02063675360388946
esopt_graph_risk,5,397,30,306,19,91,11,287,80,19,0,0,0,0,0,0,0.07556675062972293,0.7707808564231738,0.04785894206549118,0.06209150326797386,73,0.12594458438287154,0.044749982551757835
