cohort,budget,method,reference,metric,n_pairs,mean_method,mean_reference,difference,interval95,macro_stratum_difference,stratum_sizes,wins,ties,losses,mean_ratio
DW_Easy,100,ActionPool2,Public2,action_success_rate,4,0.6125,0.42999999999999994,0.18250000000000002,,0.18250000000000002,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",4,0,0,1.424418604651163
DW_Easy,100,ActionPool2,Public2,environment_calls,4,100.0,100.0,0.0,,0.0,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",0,4,0,1.0
DW_Easy,100,ActionPool2,Public2,generation_calls,4,200.0,200.0,0.0,,0.0,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",0,4,0,1.0
DW_Easy,100,ActionPool2,Public2,pooling_forwards,4,400.0,0.0,400.0,,400.0,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",4,0,0,
DW_Easy,100,ActionPool2,Public2,total_tokens,4,800261.25,783784.0,16477.25,,16477.25,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",2,0,2,1.0210226924764987
DW_Easy,100,ActionPool2,Public2,episode_wall_seconds,4,1716.000998698175,522.0689504574984,1193.9320482406765,,1193.9320482406765,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",4,0,0,3.2869240685438434
DW_Easy,100,ActionPool2,Public2,whole_job_wall_seconds,4,1748.2212721593678,555.9909062515944,1192.2303659077734,,1192.2303659077734,"{""It's (not) Rocket Science!/world0"":1,""Lost in Translation/world0"":1,""Plant Nutrients/world0"":1,""Space Sick/world0"":1}",4,0,0,3.144334291266755
DW_Proteomics,10,ActionPool2,Native,task_progress,20,0.06875,0.03125,0.0375,"[0.0,0.075]",0.0375,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",5,14,1,2.2
DW_Proteomics,10,ActionPool2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,ActionPool2,Native,action_success_rate,20,0.5350000000000001,0.36,0.175,"[0.07,0.3]",0.17500000000000004,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",11,7,2,1.4861111111111116
DW_Proteomics,10,ActionPool2,Native,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,ActionPool2,Native,generation_calls,20,20.0,10.0,10.0,"[10.0,10.0]",10.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
DW_Proteomics,10,ActionPool2,Native,pooling_forwards,20,40.0,0.0,40.0,"[40.0,40.0]",40.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,10,ActionPool2,Native,total_tokens,20,77822.55,38934.15,38888.4,"[38146.835,39546.63875]",38888.4,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.9988249390316728
DW_Proteomics,10,ActionPool2,Native,episode_wall_seconds,20,169.36079531392315,30.539262351184153,138.821532962739,"[136.05097999579158,141.52271229191652]",138.821532962739,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,5.545674069215238
DW_Proteomics,10,ActionPool2,Native,whole_job_wall_seconds,20,195.9770223996311,56.91258604882169,139.06443635080942,"[136.137613781128,141.95199865571968]",139.0644363508094,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,3.443474212040108
DW_Proteomics,10,Common2,Native,task_progress,20,0.05,0.03125,0.01875,"[-0.00625,0.05]",0.018750000000000003,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",3,16,1,1.6
DW_Proteomics,10,Common2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Common2,Native,action_success_rate,20,0.4700000000000001,0.36,0.11000000000000001,"[2.706168622523823e-18,0.22999999999999998]",0.11,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",8,9,3,1.3055555555555558
DW_Proteomics,10,Common2,Native,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,Common2,Native,generation_calls,20,20.0,10.0,10.0,"[10.0,10.0]",10.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
DW_Proteomics,10,Common2,Native,pooling_forwards,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Common2,Native,total_tokens,20,77786.6,38934.15,38852.45,"[38043.42875,39641.44125]",38852.45,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.9979015851122988
DW_Proteomics,10,Common2,Native,episode_wall_seconds,20,54.94258999144658,30.539262351184153,24.403327640262432,"[23.846829031519885,24.91363911054985]",24.403327640262432,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.7990804545191053
DW_Proteomics,10,Common2,Native,whole_job_wall_seconds,20,83.85998583198526,56.91258604882169,26.947399783163565,"[26.13454361326818,27.789493761774064]",26.947399783163565,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.473487529806625
DW_Proteomics,10,Public2,Native,task_progress,20,0.0625,0.03125,0.03125,"[0.0,0.075]",0.03125,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",4,15,1,2.0
DW_Proteomics,10,Public2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Public2,Native,action_success_rate,20,0.58,0.36,0.21999999999999997,"[0.09999999999999999,0.35]",0.22,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",12,6,2,1.6111111111111112
DW_Proteomics,10,Public2,Native,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,Public2,Native,generation_calls,20,20.0,10.0,10.0,"[10.0,10.0]",10.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
DW_Proteomics,10,Public2,Native,pooling_forwards,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Public2,Native,total_tokens,20,77183.6,38934.15,38249.45,"[37389.575,39008.665]",38249.45,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.9824138962838538
DW_Proteomics,10,Public2,Native,episode_wall_seconds,20,54.31348167038523,30.539262351184153,23.774219319201073,"[23.094939647972787,24.449477251534844]",23.774219319201073,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.7784804703470265
DW_Proteomics,10,Public2,Native,whole_job_wall_seconds,20,83.79069073796272,56.91258604882169,26.878104689141036,"[26.024387666187103,27.771725337753015]",26.878104689141036,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,1.472269959163058
DW_Proteomics,10,ActionPool2,Public2,task_progress,20,0.06875,0.0625,0.00625,"[0.0,0.01875]",0.00625,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",1,19,0,1.1
DW_Proteomics,10,ActionPool2,Public2,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,ActionPool2,Public2,action_success_rate,20,0.5350000000000001,0.58,-0.04499999999999999,"[-0.14500000000000002,0.020000000000000018]",-0.04499999999999999,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",2,15,3,0.9224137931034486
DW_Proteomics,10,ActionPool2,Public2,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,ActionPool2,Public2,generation_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,ActionPool2,Public2,pooling_forwards,20,40.0,0.0,40.0,"[40.0,40.0]",40.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,10,ActionPool2,Public2,total_tokens,20,77822.55,77183.6,638.95,"[35.99,1484.62]",638.95,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",6,10,4,1.0082783130094994
DW_Proteomics,10,ActionPool2,Public2,episode_wall_seconds,20,169.36079531392315,54.31348167038523,115.04731364353793,"[112.11473043107456,117.82789958381676]",115.04731364353793,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,3.118209146335544
DW_Proteomics,10,ActionPool2,Public2,whole_job_wall_seconds,20,195.9770223996311,83.79069073796272,112.18633166166838,"[108.93118836516224,115.21725086936087]",112.18633166166836,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.338887777074268
DW_Proteomics,10,ActionPool2,Common2,task_progress,20,0.06875,0.05,0.01875,"[-0.00625,0.05]",0.018750000000000003,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",3,16,1,1.375
DW_Proteomics,10,ActionPool2,Common2,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,ActionPool2,Common2,action_success_rate,20,0.5350000000000001,0.4700000000000001,0.065,"[-0.024999999999999998,0.165]",0.065,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,9,4,1.1382978723404256
DW_Proteomics,10,ActionPool2,Common2,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,ActionPool2,Common2,generation_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,ActionPool2,Common2,pooling_forwards,20,40.0,0.0,40.0,"[40.0,40.0]",40.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,
DW_Proteomics,10,ActionPool2,Common2,total_tokens,20,77822.55,77786.6,35.95,"[-808.36875,934.00125]",35.94999999999999,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,5,8,1.0004621618633542
DW_Proteomics,10,ActionPool2,Common2,episode_wall_seconds,20,169.36079531392315,54.94258999144658,114.41820532247657,"[111.58821629705942,117.08063781272605]",114.41820532247658,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,3.0825047625219177
DW_Proteomics,10,ActionPool2,Common2,whole_job_wall_seconds,20,195.9770223996311,83.85998583198526,112.11703656764584,"[108.80463296443689,115.26178363218874]",112.11703656764584,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.3369551098216736
DW_Proteomics,10,Public2,Common2,task_progress,20,0.0625,0.05,0.0125,"[-0.0125,0.04375]",0.012499999999999999,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",2,17,1,1.25
DW_Proteomics,10,Public2,Common2,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Public2,Common2,action_success_rate,20,0.58,0.4700000000000001,0.11000000000000001,"[-0.010000000000000004,0.23500000000000001]",0.10999999999999999,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",9,6,5,1.2340425531914891
DW_Proteomics,10,Public2,Common2,environment_calls,20,10.0,10.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,Public2,Common2,generation_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,10,Public2,Common2,pooling_forwards,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,10,Public2,Common2,total_tokens,20,77183.6,77786.6,-603.0,"[-1725.7725,499.79749999999893]",-603.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",7,3,10,0.9922480221529157
DW_Proteomics,10,Public2,Common2,episode_wall_seconds,20,54.31348167038523,54.94258999144658,-0.6291083210613578,"[-1.1353560748288873,-0.13714612870011525]",-0.6291083210613578,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",4,0,16,0.9885497148722096
DW_Proteomics,10,Public2,Common2,whole_job_wall_seconds,20,83.79069073796272,83.85998583198526,-0.06929509402252734,"[-0.5389011137629859,0.38596755071543143]",-0.06929509402252733,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",8,0,12,0.9991736810668992
DW_Proteomics,20,ActionPool2,Native,task_progress,20,0.06875,0.03125,0.0375,"[0.00625,0.075]",0.0375,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",6,13,1,2.2
DW_Proteomics,20,ActionPool2,Native,task_success,20,0.0,0.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,
DW_Proteomics,20,ActionPool2,Native,action_success_rate,20,0.595,0.3825,0.2125,"[0.09,0.34]",0.21250000000000002,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",14,3,3,1.5555555555555554
DW_Proteomics,20,ActionPool2,Native,environment_calls,20,20.0,20.0,0.0,"[0.0,0.0]",0.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",0,20,0,1.0
DW_Proteomics,20,ActionPool2,Native,generation_calls,20,40.0,20.0,20.0,"[20.0,20.0]",20.0,"{""Proteomics/world3"":10,""Proteomics/world4"":10}",20,0,0,2.0
