benchmark,permutation,scope,seed,n,failures,failure_rate,Brier,AUROC,NLL
DW,46,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07890254135846886,0.9633333333333334,0.3327362573456563
DW,47,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07842186600063783,0.95,0.33985973041059314
DW,48,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07475282115508748,0.9866666666666667,0.28145078819717
DW,49,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07989344086504586,0.97,0.31810632638310665
DW,50,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07750164665842019,0.9766666666666667,0.3146119118135442
DW,51,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07970229194668041,0.94,0.358154538098984
DW,52,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08056299744561755,0.98,0.3201509542822504
DW,53,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0807262719006396,0.9533333333333334,0.3368612778493106
DW,54,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07828939132213146,0.9566666666666667,0.3400491334800523
DW,55,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08053285164021934,0.9533333333333334,0.34460789677786635
DW,56,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07764739624384803,0.9733333333333334,0.30121489803962154
DW,57,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07522244493158252,0.9766666666666667,0.300212549781297
DW,58,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07497283101126787,0.9866666666666667,0.28913874860153016
DW,59,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07612718461548333,0.96,0.3165803879669877
DW,60,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07517782206415538,0.99,0.2812543863351951
DW,61,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08129347935889926,0.9466666666666667,0.35750497948228743
DW,62,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08075604240026689,0.9533333333333334,0.34475351199867665
DW,63,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07962470827387343,0.99,0.29685974714064706
DW,64,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08153871408896389,0.95,0.35868763535705817
DW,65,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07692564922180302,0.95,0.32994768401828417
DW,66,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07852678537037322,0.98,0.2964773902360681
DW,67,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07899541401233268,0.9533333333333334,0.34150732544130086
DW,68,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08445296173957653,0.9666666666666667,0.3435929187202196
DW,69,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08003376518645297,0.9766666666666667,0.308572041445683
DW,70,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07896228659847726,0.95,0.33248201657882326
DW,71,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08304262990928603,0.9466666666666667,0.3598152245976783
DW,72,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07644641944601087,0.9566666666666667,0.3209595478424029
DW,73,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07864863261383906,0.9533333333333334,0.34045881341964385
DW,74,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07860793146624134,0.9766666666666667,0.30337190509582673
DW,75,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08091373932299291,0.9533333333333334,0.3466397674063738
DW,76,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07830430664676416,0.9733333333333334,0.31705923825972654
DW,77,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0818999791463999,0.94,0.36574837340141214
DW,78,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08123422077495628,0.97,0.3411775861287044
DW,79,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08048455205314528,0.97,0.3352824795761659
DW,80,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07857292100886959,0.9633333333333334,0.3321513655616521
DW,81,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07581519833700334,0.9566666666666667,0.31913259368177077
DW,82,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07557672558719526,0.9666666666666667,0.3091660676618787
DW,83,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07717688655881243,0.9566666666666667,0.3282116186697671
DW,84,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07955185105368631,0.9466666666666667,0.3576390124105531
DW,85,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08180215673046556,0.9533333333333334,0.3548107612169161
DW,86,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07999250525753934,0.95,0.3396825484693209
DW,87,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07529785655531337,0.9833333333333333,0.29066722935609013
DW,88,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07581781520592439,0.96,0.31569593581056726
DW,89,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07878428636358845,0.9433333333333334,0.3561747003713391
DW,90,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07906935630145388,0.93,0.3599470034985693
DW,91,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07644068564132578,0.96,0.31567362329300197
DW,92,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08037352660747395,0.9566666666666667,0.32757438630481545
DW,93,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08195408781729815,0.9833333333333333,0.30974243410030516
DW,94,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07987228609352469,0.98,0.30403238367820296
DW,95,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07989163000980044,0.95,0.35520419290303923
DW,96,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07990542089563953,0.94,0.36138700479679375
DW,97,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.08154110759353558,0.96,0.3373897217014884
DW,98,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.0788330410675632,0.9833333333333333,0.30016188729694404
DW,99,development; within role/world-or-chemistry/action-type,20260924,40,10,0.25,0.07740055641895058,0.9533333333333334,0.33004029582293287
MADE,0,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2595419217158135,0.4288045695634435,0.7125936108375233
MADE,1,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2496377972702003,0.48714810281517745,0.692570192374829
MADE,2,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.23552579700465295,0.667890656874745,0.6634816552659689
MADE,3,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24878916499556555,0.4838841289269686,0.69095302319312
MADE,4,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24981330218860673,0.47980416156670747,0.6929517804001063
MADE,5,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24689410193460812,0.5495716034271726,0.686901002920503
MADE,6,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2444296612028206,0.5503875968992248,0.681867725767984
MADE,7,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24710383558981897,0.5279477764177887,0.6875689109802223
MADE,8,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25127657142205345,0.4883720930232558,0.6959522376303382
MADE,9,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24658057701474553,0.4439004487964096,0.6865019924018578
MADE,10,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25133007135336904,0.48266013871889024,0.6957761497270317
MADE,11,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2521674045805542,0.5067319461444308,0.697576501458671
MADE,12,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25590271263012954,0.42717258261933905,0.7052328215923745
MADE,13,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2456130195260373,0.5393716850265198,0.6842236683132618
MADE,14,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24783898569289317,0.5206038351693186,0.688656275236009
MADE,15,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2522828904559233,0.4606283149734802,0.6979558854124978
MADE,16,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24789800764959216,0.5042839657282742,0.6893044168255349
MADE,17,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24046976220235358,0.5422276621787026,0.6740136911591276
MADE,18,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24064420317853494,0.5752753977968176,0.6741533535125719
MADE,19,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24804084635005114,0.485516115871073,0.6894708284126188
MADE,20,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25231471256407223,0.4496124031007752,0.6980652345727971
MADE,21,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24959631871315557,0.510811913504692,0.692402458433893
MADE,22,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25620774672315993,0.41982864137086906,0.7060734739407253
MADE,23,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24525557598113878,0.5132598939208486,0.684000807061222
MADE,24,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24505935584712688,0.5442676458588331,0.6829099140347842
MADE,25,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2433597204424374,0.5679314565483476,0.6796330436514708
MADE,26,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2580609338104314,0.4010607915136679,0.7099866136109874
MADE,27,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24888958373717454,0.5059159526723787,0.6910373050431111
MADE,28,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2475765407511858,0.5128518971848225,0.6884413714325892
MADE,29,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24464464461947943,0.5675234598123216,0.6823214721849693
MADE,30,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24611661536844182,0.5279477764177887,0.6853988657307946
MADE,31,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24049298628448113,0.5756833945328438,0.6738381168860899
MADE,32,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2564875076106179,0.4422684618523052,0.7065755882228244
MADE,33,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.23820525681093088,0.5887392900856793,0.6691924258732515
MADE,34,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25442030316118125,0.41166870665034677,0.7022899214202138
MADE,35,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24628496386713666,0.5189718482252142,0.6856017079395892
MADE,36,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.25293743824889464,0.44267645858833127,0.6994513075859119
MADE,37,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2483799775749155,0.4789881680946552,0.6900882521192273
MADE,38,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24543050512342218,0.5303957568339454,0.6838368544445764
MADE,39,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24942472616380912,0.48021215830273356,0.6924774919558881
MADE,40,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2534116530860431,0.4361485108119135,0.7005597835509292
MADE,41,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24336743539216527,0.5389636882904937,0.6798121879617021
MADE,42,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.2506326106659919,0.46266829865361075,0.6950256861174294
MADE,43,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24647056765716027,0.5332517339861281,0.6861175420475262
MADE,44,development; within role/world-or-chemistry/action-type,20260924,100,57,0.57,0.24460719455174115,0.558547531619747,0.6822027326157327
