policy_seed,arm,world,planned_budget,actual_attempts,task_score,task_success,failure_count,failure_fraction,F_secondary,episode_wall_seconds,USE_successes,PICKUP_successes,rotate_or_move_fraction,unique_exact_packets,longest_identical_packet_run
309,Baseline,2,30,30,0.0,False,3,0.1,-0.010000000000000002,85.4733277540654,0,0,0.16666666666666666,9,4
309,SFT,2,30,30,0.0,False,0,0.0,0.0,79.96646318677813,0,0,1.0,6,2
309,CreditSFT,2,30,30,0.0,False,1,0.03333333333333333,-0.0033333333333333335,77.15689466241747,0,0,1.0,6,3
310,Baseline,2,30,30,0.0,False,29,0.9666666666666667,-0.09666666666666668,86.08425968047231,0,0,0.0,3,28
310,SFT,2,30,30,0.0,False,0,0.0,0.0,77.99270459264517,0,0,1.0,5,3
310,CreditSFT,2,30,30,0.0,False,0,0.0,0.0,79.4292311547324,0,0,0.9666666666666667,6,3
311,Baseline,2,30,30,0.0,False,7,0.23333333333333334,-0.023333333333333334,85.18114965315908,1,0,0.0,13,3
311,SFT,2,30,30,0.0,False,0,0.0,0.0,77.46873694472015,0,0,1.0,5,2
311,CreditSFT,2,30,30,0.0,False,0,0.0,0.0,78.10195356048644,0,0,1.0,5,2
