policy_seed,arm,F,failure_count,failure_fraction,scoreNormalized
309,CreditSFT,0.006666666666666668,-2,-0.06666666666666668,0.0
309,SFT,0.010000000000000002,-3,-0.1,0.0
310,CreditSFT,0.09666666666666668,-29,-0.9666666666666667,0.0
310,SFT,0.09666666666666668,-29,-0.9666666666666667,0.0
311,CreditSFT,0.023333333333333334,-7,-0.23333333333333334,0.0
311,SFT,0.023333333333333334,-7,-0.23333333333333334,0.0
