condition,actions,failures,score,fitness,graph_returns,actual_action_changes
GenericRisk,10,7,0.0,-0.07,17,0
GroundedRisk,10,7,0.0,-0.07,17,0
GroundedCommon2,10,0,0.0,0.0,20,3
GroundedInternal2,10,5,0.0,-0.05,20,3
