job_id,budget,task_id,method,seed,candidate_attempt,SUN
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,4,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,5,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,6,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,7,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,8,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,9,0
extension-final-made-f909f98ebec6c4dab4535b82,10,Co-Dy-W,baseline,1,10,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,0,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,1,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,2,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,3,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,4,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,5,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,6,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,7,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,8,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,9,0
extension-final-made-ee71cc7e8c4f6d365c622b99,10,Co-Dy-W,esopt_graph_risk,1,10,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,0,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,1,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,2,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,3,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,4,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,5,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,6,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,7,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,8,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,9,0
extension-final-made-6984f2ad558abdeabef13188,10,Co-Mg-Na,baseline,1,10,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,0,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,1,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,2,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,3,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,4,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,5,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,6,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,7,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,8,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,9,0
extension-final-made-1c68af5110c5af1dffea6c7d,10,Co-Mg-Na,esopt_graph_risk,1,10,0
