arm,metric,evaluation_seeds,complete_three_seeds,n,mean,sample_variance_ddof1,SD
uq_esopt,final_hv_gain,5201;5202;5203,True,3,2.0957466459026186e-05,1.3176462011436226e-09,3.629939670495396e-05
uq_esopt,mean_querywise_hv_gain,5201;5202;5203,True,3,1.8753977995764615e-05,1.0551350719968701e-09,3.2482842732693056e-05
uq_esopt,brier,5201;5202;5203,True,3,0.7223907121449038,0.0005432462400250025,0.023307643382053933
uq_only,final_hv_gain,5201;5202,False,2,0.0,0.0,0.0
uq_only,mean_querywise_hv_gain,5201;5202,False,2,0.0,0.0,0.0
uq_only,brier,5201;5202,False,2,0.7356460051636579,3.227572197181326e-05,0.005681172587750988
qwen_base,final_hv_gain,5201;5202,False,2,3.939957617715706e-06,3.104653205879204e-11,5.571941498148742e-06
qwen_base,mean_querywise_hv_gain,5201;5202,False,2,2.521572875338052e-06,1.2716659531281221e-11,3.5660425588151945e-06
qwen_base,brier,,False,0,,,
es_only,final_hv_gain,5201;5202,False,2,3.939957617715706e-06,3.104653205879204e-11,5.571941498148742e-06
es_only,mean_querywise_hv_gain,5201;5202,False,2,2.521572875338052e-06,1.2716659531281221e-11,3.5660425588151945e-06
es_only,brier,,False,0,,,
