contrast,kind,n_seed_aggregates,ddof,interpretation,SUN_total_delta_mean,SUN_total_delta_sample_variance,SUN_total_delta_sample_SD,SUN_macro_mean_delta_mean,SUN_macro_mean_delta_sample_variance,SUN_macro_mean_delta_sample_SD,AUDC_macro_mean_delta_mean,AUDC_macro_mean_delta_sample_variance,AUDC_macro_mean_delta_sample_SD,mSUN_macro_mean_delta_mean,mSUN_macro_mean_delta_sample_variance,mSUN_macro_mean_delta_sample_SD
UQ_minus_base,pairwise,3,1,Enable the entire UQ/support controller at theta0; does not isolate the NN,1,13,3.605551275463989,0.2000000000000001,0.52,0.7211102550927979,0.03666666666666666,0.005161333333333334,0.07184242015225638,0.020000000000000004,0.005199999999999998,0.07211102550927977
ES_minus_base,pairwise,3,1,Independent no-UQ ES policy versus theta0 without controller,-1.6666666666666667,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.013333333333333341,0.11547005383792519,-0.024666666666666667,0.0030093333333333343,0.05485739087245523,-0.03333333333333333,0.00013333333333333293,0.011547005383792499
full_minus_UQ,pairwise,3,1,UQ-guided ES policy versus theta0 with support controller,-1.6666666666666667,16.333333333333332,4.041451884327381,-0.3333333333333335,0.6533333333333333,0.8082903768654761,-0.04866666666666666,0.005345333333333337,0.07311178655547501,-0.03333333333333333,0.0065333333333333354,0.08082903768654762
full_minus_ES,pairwise,3,1,UQ-trained-and-controlled algorithm versus independently trained ES; weights differ,1,1,1.0,0.19999999999999996,0.03999999999999998,0.19999999999999996,0.012666666666666668,0.004185333333333335,0.06469415223444337,0.02,0.0004000000000000002,0.020000000000000004
full_minus_base,pairwise,3,1,Complete algorithm versus baseline,-0.6666666666666666,1.3333333333333335,1.1547005383792517,-0.1333333333333334,0.05333333333333336,0.23094010767585035,-0.011999999999999997,0.0022240000000000007,0.04715930449020639,-0.01333333333333333,0.0005333333333333333,0.02309401076758503
UQ_minus_ES,pairwise,3,1,Two different component algorithms; not an isolated factorial effect,2.6666666666666665,10.333333333333334,3.2145502536643185,0.5333333333333334,0.41333333333333344,0.6429100507328638,0.06133333333333333,0.00032933333333333317,0.018147543451754927,0.05333333333333334,0.0041333333333333335,0.06429100507328636
average_UQ_algorithm_contrast,algorithm_factorial,3,1,"Half of (UQ-base)+(full-ES); algorithm-level, not fixed-weight causal effect",1.0,2.25,1.5,0.20000000000000004,0.09000000000000002,0.30000000000000004,0.024666666666666667,0.0008863333333333338,0.029771350881902116,0.020000000000000004,0.0008999999999999993,0.02999999999999999
average_ES_algorithm_contrast,algorithm_factorial,3,1,Half of (ES-base)+(full-UQ); no independent training replication,-1.6666666666666667,3.583333333333334,1.8929694486000914,-0.3333333333333334,0.14333333333333337,0.3785938897200183,-0.03666666666666666,0.0003903333333333336,0.0197568553503166,-0.03333333333333333,0.0014333333333333342,0.037859388972001834
algorithm_interaction,algorithm_factorial,3,1,"(full-UQ)-(ES-base); different learned ES policies, not a pure neural interaction",0,19,4.358898943540674,-7.401486830834377e-17,0.7599999999999998,0.8717797887081346,-0.023999999999999997,0.01514800000000001,0.12307721153812354,-4.625929269271485e-18,0.007599999999999999,0.08717797887081347
