arm,n_seed_aggregates,n_systems_per_seed,complete_runs,ddof,variance_axis,SUN_total_mean,SUN_total_sample_variance,SUN_total_sample_SD,SUN_macro_mean_mean,SUN_macro_mean_sample_variance,SUN_macro_mean_sample_SD,AUDC_macro_mean_mean,AUDC_macro_mean_sample_variance,AUDC_macro_mean_sample_SD,mSUN_macro_mean_mean,mSUN_macro_mean_sample_variance,mSUN_macro_mean_sample_SD
baseline_reference,3,5,15,1,evaluation_seed_of_fixed_five_system_aggregate,7.333333333333333,0.3333333333333333,0.5773502691896257,1.4666666666666666,0.013333333333333357,0.11547005383792526,0.156,2.800000000000005e-05,0.005291502622129186,0.14666666666666667,0.0001333333333333334,0.011547005383792518
uq_only_support_aware,3,5,15,1,evaluation_seed_of_fixed_five_system_aggregate,8.333333333333334,14.333333333333332,3.7859388972001824,1.6666666666666667,0.5733333333333334,0.7571877794400365,0.19266666666666665,0.004457333333333333,0.06676326335143702,0.16666666666666669,0.005733333333333333,0.07571877794400365
es_only_independent,3,5,15,1,evaluation_seed_of_fixed_five_system_aggregate,5.666666666666667,0.3333333333333333,0.5773502691896257,1.1333333333333333,0.013333333333333329,0.11547005383792514,0.13133333333333333,0.0024653333333333337,0.04965212315030782,0.11333333333333334,0.00013333333333333329,0.011547005383792512
full_support_aware,3,5,15,1,evaluation_seed_of_fixed_five_system_aggregate,6.666666666666667,0.3333333333333333,0.5773502691896257,1.3333333333333333,0.013333333333333329,0.11547005383792514,0.14400000000000002,0.0022360000000000006,0.04728636167014756,0.13333333333333333,0.0001333333333333332,0.011547005383792509
