job_id,arm,task_id,seed,candidate_attempt,official_SUN
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,9,3
component-final-829f81d1c8b6dff9869aa711,baseline_reference,Au-K-Tb,2,10,4
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,0,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,1,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,2,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,3,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,4,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,5,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,6,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,7,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,8,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,9,0
component-final-57ec2ac8f1ba4127bcccc073,baseline_reference,Au-K-Tb,3,10,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,0,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,1,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,2,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,3,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,4,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,5,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,6,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,7,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,8,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,9,0
component-final-b1999f2e9c20505d5a373485,baseline_reference,Au-K-Tb,4,10,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,0,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,1,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,2,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,3,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,4,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,5,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,6,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,7,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,8,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,9,0
component-final-2dce2a3709aad3945727809d,baseline_reference,Co-Dy-W,2,10,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,0,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,1,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,2,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,3,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,4,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,5,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,6,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,7,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,8,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,9,0
component-final-3a4b0c1cd037fc1028c65eb5,baseline_reference,Co-Dy-W,3,10,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,0,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,1,0
component-final-a526e6a613189f807a458cb1,baseline_reference,Co-Dy-W,4,2,0
