condition,world_seed,policy_seed,B,status,attempts,failures,score,task_success,F,B10_score,positive_progress_attempts,NN_supported_pairs,NN_index_changes,NN_packet_changes,fallback_to_common,graphs_succeeded,graphs_unavailable,longest_identical_failed_action_run
Common2,2,307,30,closed_accepted_episode,30,7,0.0,False,-0.023333333333333334,0.0,,0,0,0,0,56,4,2
Internal_base84,2,307,30,closed_accepted_episode,30,5,0.125,False,0.10833333333333334,0.125,3,27,14,10,3,57,3,2
Internal_combined,2,307,30,closed_accepted_episode,30,21,0.125,False,0.05499999999999999,0.0,25,27,13,3,3,57,3,15
OutputAction_combined,2,307,30,closed_accepted_episode,30,26,0.0,False,-0.08666666666666667,0.0,,29,16,3,1,59,1,24
