group,arm,world_seed,policy_seed,task_score,task_completed_successfully,F,action_failures,environment_requests,failure_fraction,actual_action_returns,generated_candidates,full_graph_attempts,full_graph_returns,successful_full_graphs,unavailable_full_graphs,supported_risk_comparisons,risk_rank_changes_vs_common_hash,fresh_qualification_prefixes,G0_unchanged,graph_seconds_total,graph_seconds_mean,group_recorded_wall_seconds,environment_wall_seconds,serialization_repairs
p336-Internal,Internal,4,336,0.0,False,-0.02,2,10,0.2,10,20,20,20,13,7,3,1,8,True,2130.562888097018,106.5281444048509,2951.034985303879,2191.65320548974,0
p336-NoGraph,NoGraph,4,336,0.0,False,-0.05,5,10,0.5,10,20,20,20,12,8,2,0,8,True,2240.289124001749,112.01445620008744,3045.4254443645477,2305.4976148149,0
