arm,budget,seed,task_id,baseline_SUN,arm_SUN,delta_SUN,baseline_AUDC,arm_AUDC,delta_AUDC,baseline_result_sha256,arm_result_sha256
uq_only_support_aware,10,2,Dy-K-Pd-Sm,0,0,0,0.0,0.0,0.0,385d8883ea5237dcaebe6af384831ba9f284ef8f70c2a11f1e49f6baf9d4523a,4fc20b45f6b28c33c53780ce9356089466d2c4fd250e07ba00477156a7efb7a3
uq_only_support_aware,10,2,Eu-Nb-Sn-Tl,0,0,0,0.0,0.0,0.0,d2cb1a3ae0ba5dcae16ea9f958c4ec3c817e23560d0225a799d46b02b60905eb,517de94f9eaefb1dc6ab1614497bf3b0bb310f4dae90c0151ace2aee757d170f
uq_only_support_aware,10,2,Ga-Ho-Lu,4,6,2,0.32,0.72,0.39999999999999997,59b1268a6d1b3ae667a55693882956ad39b5a7c226029884bd3f40439ca32eab,1bd00f79a7f82cb20805c5095b621b81f947d1b81a33162b234bb76a0542e284
uq_only_support_aware,10,2,Ga-Pt-Tm,5,3,-2,0.57,0.43,-0.13999999999999996,8d6d5e9d43fface5b0feaad177bd05310c87ca2aab86dab6c4c256057051c8e6,b44453a7c76bf3fc136dde63a74018d804869c6b18960ade2368aca324e60caa
uq_only_support_aware,10,2,Hf-Ni-Zr,6,5,-1,0.78,0.57,-0.21000000000000008,fd47df7cd7d3ede2f7c3a8245e9308f09a5db76594dd1c1e0a6a8da6be4faf4e,21ae2e6c3a7e467c0a585d3e955f2e524ce414b1cd9dde90ecf9d0d1e28a9b0f
uq_only_support_aware,10,2,Ho-In-Mg-Pd-Zr,1,5,4,0.17,0.45,0.28,53f382fa3124ba2452a571f5d60a93a05b62d6be2488ef5d81892a4663769080,77711ea6525e07b068a5c1640c2e7745a4ca8c74fbfa193b195569a730358089
uq_only_support_aware,10,2,Mg-Sn-Sr,6,10,4,0.54,1.0,0.45999999999999996,ee075dee935d875c8c33e8adeb3d910cb1791b90615ae57951bc00402c23303e,679cd2c22a39be41144048cda2e83a33222aa13d493c09bd694aa7b751de8c22
uq_only_support_aware,10,3,Al-Li-V,2,1,-1,0.08,0.09,0.009999999999999995,1cec95d2d75db3d5a97682914ddb7bda69f833c414730a67a3ff7a319c226486,32e76c33be1e9056e959b6ac5d2c5f10f7fc136409e62d222c1d558d9de4f902
uq_only_support_aware,10,3,Al-V-Zn,5,7,2,0.69,0.73,0.040000000000000036,b2b55503dfd55b427a93f4bf41ffd256d8fbf3eab136003a3e6744e16ecedb00,7fc51e353debf3795cf25f89de6d483e1a7a747af3881efd84cd89144be634bf
uq_only_support_aware,10,3,Au-K-Tb,0,3,3,0.0,0.37,0.37,5141a04e7c4c4ed3274118fc1ca5c91b8a99123e2d762a5e92704d1f316d73ca,6dc41e33540ceb178a793d90ab13c6260a24533adb3af936b5f71ea17ef82c6e
uq_only_support_aware,10,3,Co-Dy-W,0,0,0,0.0,0.0,0.0,dd2b01c3976a4124606cc6bfb3d0b852efcdaeed7fe3bfed48244159d86c5b1b,3b8a43f53a448a0a8541894155b0d2ef8ba47d3e63ce6d6a0ac0a8667733eb34
uq_only_support_aware,10,3,Co-Mg-Na,0,0,0,0.0,0.0,0.0,32f94791f16f5860009a461f85834fb35101e2b0a2baad27766d4cced92827d5,7f4584f73adc3ebc9256ff3cc9f729058f23f25ff63edf56489f4bd76025dcbd
uq_only_support_aware,10,3,Co-Pd-Tl,0,0,0,0.0,0.0,0.0,ead8200ca8d8f68613df6d6eb51b406063550480a694faa8799cd33566db224d,0ef32eac29788d4061b82b80e6bf4b4ac2ad86ce32e2821719459da8fdaca4ec
uq_only_support_aware,10,3,Ga-Ho-Lu,5,3,-2,0.33,0.35,0.019999999999999962,b47ff8757bca7c11d7b86aca7fb0d6d29cdaf0f25ac2dff1c8212071e72dd26e,0a7c3b4b6ea3395ba8dd3b3971e3aa145972e162bec320422e3096b95ae834c1
uq_only_support_aware,10,3,Ga-Pt-Tm,2,3,1,0.36,0.35,-0.010000000000000009,162559bf45a68c7be9e8870205c1d4de7061a201c56cac1ded2cd83e3701806f,89bcb0104d1e470ff0bc0501bcac3f8deaa8e9479297889d76bcb1aa5b5a171f
es_only_independent,10,2,Ag-Nd-Pd-Pt-Tb,1,2,1,0.19,0.22,0.03,553119ab274676eab16cb9b1d6ff5aa11fbca9254d9b6ffa359ca393fc3848eb,b45a9370c4914fc533177754adbd20effdb84b62a56dfee9689ff74079e2443a
es_only_independent,10,2,Al-Hg-K-Mg-W,7,0,-7,0.77,0.0,-0.77,7316ea00c53e8ad8e2924fd0d0085b3a81072f6f429374f79efa51166a333a43,90612a5c62793c570afd903f7ea946d4f51105f7ff4c4ef93477b3634dcfa715
es_only_independent,10,2,Al-Li-V,0,1,1,0.0,0.15,0.15,ecd5adb1d0b577a0f9a373827a2d6ad371861e99c56a97d93ed3a585a76edf97,3def5a89eaf3f089ed59ffe1070e84d683f0ec252f3e5e0d5d9dff12099d4521
es_only_independent,10,2,Al-Lu-Pt-Rb-Sm,0,0,0,0.0,0.0,0.0,af1edaf4387aa36b3d47b7844c309285975ac9bc9085edfdd2cfc9755f47cedd,186cc902248727d9a42201e919259dde5db5c5d89635e678cb56bc413f7e768b
