episode_id,split,interpretation,head,view,predictor,n,episodes,positives,mean_probability,brier,logloss,auc,auprc,TP,FP,TN,FN,p_min,p_max
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,not_new,event_last_select,train_only_constant,50,1,20,0.25333333333333335,0.2615111111111111,0.7245015074286447,0.5,0.4,0,0,30,20,0.25333333333333335,0.25333333333333335
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,not_new,event_last_select,frozen_NN,50,1,7,0.2688407694826065,0.1341981035812718,0.4414691816756807,0.6943521594684385,0.2363079208576103,0,0,43,7,0.12496010289129615,0.403637554941246
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,not_new,event_last_select,train_only_constant,50,1,7,0.25333333333333335,0.13324444444444444,0.4434642024207805,0.5,0.14,0,0,43,7,0.25333333333333335,0.25333333333333335
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,not_new,event_last_select,frozen_NN,50,1,14,0.2622738590821806,0.19284201586506672,0.5656445606209846,0.5853174603174603,0.33150390167616295,0,0,36,14,0.1271865939982773,0.3430667520464472
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,not_new,event_last_select,train_only_constant,50,1,14,0.25333333333333335,0.20231111111111108,0.5947919820403997,0.5,0.28,0,0,36,14,0.25333333333333335,0.25333333333333335
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,train_only_constant,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-842d23cafa43e4f28a139ee9:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,train_only_constant,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-b5744f83a99f950e49cfafd4:episode:0,train,training_in_sample,scientific_evaluation_failure,event_last_select,train_only_constant,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,scientific_evaluation_failure,event_last_select,frozen_NN,0,0,0,,,,,,0,0,0,0,,
collection-made-697302908b2dbfc7e18e9ee0:episode:0,dev,development_used_for_selection_and_calibration,scientific_evaluation_failure,event_last_select,train_only_constant,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
collection-made-0e27e5c04511ea16fc8c64a3:episode:0,train,training_in_sample,screening_unavailable,proposal,frozen_NN,0,0,0,,,,,,0,0,0,0,,
