head,view,graph_stratum,predictor,train_constant_probability,n,episodes,positives,mean_probability,brier,logloss,auc,auprc,TP,FP,TN,FN,p_min,p_max
generation_invalid,proposal,available,frozen_NN,0.0032679738562091504,83,1,0,1.4544494255780531e-41,1.7557967007681143e-80,9.992007221626415e-16,,,0,0,83,0,0.0,1.207191476790376e-39
generation_invalid,proposal,available,train_only_constant,0.0032679738562091504,83,1,0,0.0032679738562091504,1.0679653124866506e-05,0.0032733253449691376,,,0,0,83,0,0.0032679738562091504,0.0032679738562091504
generation_invalid,proposal,available,fixed_half_reference,0.0032679738562091504,83,1,0,0.5,0.25,0.6931471805599453,,,0,0,83,0,0.5,0.5
generation_invalid,proposal,missing,frozen_NN,1,1,1,1,1.0,0.0,9.992007221626415e-16,,1.0,1,0,0,0,1.0,1.0
generation_invalid,proposal,missing,train_only_constant,1,1,1,1,1,0,9.992007221626415e-16,,1.0,1,0,0,0,1,1
generation_invalid,proposal,missing,fixed_half_reference,1,1,1,1,0.5,0.25,0.6931471805599453,,1.0,0,0,0,1,0.5,0.5
not_new,proposal,all,frozen_NN,0.21875509156193243,83,1,22,0.2590429505699401,0.19020187396610724,0.5616774346358482,0.5767511177347243,0.30722683884500734,0,0,61,22,0.08441333914214556,0.48838322008413837
not_new,proposal,all,train_only_constant,0.21875509156193243,83,1,22,0.21875509156193243,0.19694747648517272,0.5842712870717272,0.5,0.26506024096385544,0,0,61,22,0.21875509156193243,0.21875509156193243
not_new,proposal,all,fixed_half_reference,0.21875509156193243,83,1,22,0.5,0.25,0.6931471805599453,0.5,0.26506024096385544,0,0,61,22,0.5,0.5
not_new,proposal,available,frozen_NN,0.21875509156193243,83,1,22,0.2590429505699401,0.19020187396610724,0.5616774346358482,0.5767511177347243,0.30722683884500734,0,0,61,22,0.08441333914214556,0.48838322008413837
not_new,proposal,available,train_only_constant,0.21875509156193243,83,1,22,0.21875509156193243,0.19694747648517272,0.5842712870717272,0.5,0.26506024096385544,0,0,61,22,0.21875509156193243,0.21875509156193243
not_new,proposal,available,fixed_half_reference,0.21875509156193243,83,1,22,0.5,0.25,0.6931471805599453,0.5,0.26506024096385544,0,0,61,22,0.5,0.5
not_new,proposal,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
not_new,proposal,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
not_new,event_mean,all,frozen_NN,0.25333333333333335,50,1,14,0.2526762578754489,0.19290053209412597,0.5663107965111214,0.5555555555555556,0.3617333124499654,0,0,36,14,0.1359357713714106,0.31990107810248664
not_new,event_mean,all,train_only_constant,0.25333333333333335,50,1,14,0.25333333333333335,0.20231111111111108,0.5947919820403997,0.5,0.28,0,0,36,14,0.25333333333333335,0.25333333333333335
not_new,event_mean,all,fixed_half_reference,0.25333333333333335,50,1,14,0.5,0.25,0.6931471805599453,0.5,0.28,0,0,36,14,0.5,0.5
not_new,event_mean,available,frozen_NN,0.25333333333333335,50,1,14,0.2526762578754489,0.19290053209412597,0.5663107965111214,0.5555555555555556,0.3617333124499654,0,0,36,14,0.1359357713714106,0.31990107810248664
not_new,event_mean,available,train_only_constant,0.25333333333333335,50,1,14,0.25333333333333335,0.20231111111111108,0.5947919820403997,0.5,0.28,0,0,36,14,0.25333333333333335,0.25333333333333335
not_new,event_mean,available,fixed_half_reference,0.25333333333333335,50,1,14,0.5,0.25,0.6931471805599453,0.5,0.28,0,0,36,14,0.5,0.5
not_new,event_mean,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
not_new,event_mean,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
not_new,event_last_select,all,frozen_NN,0.25333333333333335,50,1,14,0.2622738590821806,0.19284201586506672,0.5656445606209846,0.5853174603174603,0.33150390167616295,0,0,36,14,0.1271865939982773,0.3430667520464472
not_new,event_last_select,all,train_only_constant,0.25333333333333335,50,1,14,0.25333333333333335,0.20231111111111108,0.5947919820403997,0.5,0.28,0,0,36,14,0.25333333333333335,0.25333333333333335
not_new,event_last_select,all,fixed_half_reference,0.25333333333333335,50,1,14,0.5,0.25,0.6931471805599453,0.5,0.28,0,0,36,14,0.5,0.5
not_new,event_last_select,available,frozen_NN,0.25333333333333335,50,1,14,0.2622738590821806,0.19284201586506672,0.5656445606209846,0.5853174603174603,0.33150390167616295,0,0,36,14,0.1271865939982773,0.3430667520464472
not_new,event_last_select,available,train_only_constant,0.25333333333333335,50,1,14,0.25333333333333335,0.20231111111111108,0.5947919820403997,0.5,0.28,0,0,36,14,0.25333333333333335,0.25333333333333335
not_new,event_last_select,available,fixed_half_reference,0.25333333333333335,50,1,14,0.5,0.25,0.6931471805599453,0.5,0.28,0,0,36,14,0.5,0.5
not_new,event_last_select,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
not_new,event_last_select,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,proposal,all,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,proposal,all,train_only_constant,0,83,1,0,0,0,9.992007221626415e-16,,,0,0,83,0,0,0
scientific_evaluation_failure,proposal,all,fixed_half_reference,0,83,1,0,0.5,0.25,0.6931471805599453,,,0,0,83,0,0.5,0.5
scientific_evaluation_failure,proposal,available,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,proposal,available,train_only_constant,0,83,1,0,0,0,9.992007221626415e-16,,,0,0,83,0,0,0
scientific_evaluation_failure,proposal,available,fixed_half_reference,0,83,1,0,0.5,0.25,0.6931471805599453,,,0,0,83,0,0.5,0.5
scientific_evaluation_failure,proposal,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,proposal,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_mean,all,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_mean,all,train_only_constant,0,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
scientific_evaluation_failure,event_mean,all,fixed_half_reference,0,50,1,0,0.5,0.25,0.6931471805599453,,,0,0,50,0,0.5,0.5
scientific_evaluation_failure,event_mean,available,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_mean,available,train_only_constant,0,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
scientific_evaluation_failure,event_mean,available,fixed_half_reference,0,50,1,0,0.5,0.25,0.6931471805599453,,,0,0,50,0,0.5,0.5
scientific_evaluation_failure,event_mean,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_mean,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_last_select,all,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_last_select,all,train_only_constant,0,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
scientific_evaluation_failure,event_last_select,all,fixed_half_reference,0,50,1,0,0.5,0.25,0.6931471805599453,,,0,0,50,0,0.5,0.5
scientific_evaluation_failure,event_last_select,available,frozen_NN,0,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_last_select,available,train_only_constant,0,50,1,0,0,0,9.992007221626415e-16,,,0,0,50,0,0,0
scientific_evaluation_failure,event_last_select,available,fixed_half_reference,0,50,1,0,0.5,0.25,0.6931471805599453,,,0,0,50,0,0.5,0.5
scientific_evaluation_failure,event_last_select,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
scientific_evaluation_failure,event_last_select,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
screening_unavailable,proposal,all,frozen_NN,0.07407407407407407,0,0,0,,,,,,0,0,0,0,,
screening_unavailable,proposal,all,train_only_constant,0.07407407407407407,6,1,0,0.07407407407407407,0.0054869684499314125,0.07696104113612832,,,0,0,6,0,0.07407407407407407,0.07407407407407407
screening_unavailable,proposal,all,fixed_half_reference,0.07407407407407407,6,1,0,0.5,0.25,0.6931471805599453,,,0,0,6,0,0.5,0.5
screening_unavailable,proposal,available,frozen_NN,0.07407407407407407,0,0,0,,,,,,0,0,0,0,,
screening_unavailable,proposal,available,train_only_constant,0.07407407407407407,6,1,0,0.07407407407407407,0.0054869684499314125,0.07696104113612832,,,0,0,6,0,0.07407407407407407,0.07407407407407407
screening_unavailable,proposal,available,fixed_half_reference,0.07407407407407407,6,1,0,0.5,0.25,0.6931471805599453,,,0,0,6,0,0.5,0.5
screening_unavailable,proposal,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
screening_unavailable,proposal,missing,fixed_half_reference,,0,0,0,,,,,,0,0,0,0,,
tool_execution_failure,proposal,all,frozen_NN,0.09959122355336138,83,1,4,0.0676709045198578,0.0516793501451041,0.19819639087355714,0.6962025316455697,0.09647147147147146,0,0,79,4,7.937085324256897e-08,0.38184159572499327
tool_execution_failure,proposal,all,train_only_constant,0.09959122355336138,83,1,4,0.09959122355336138,0.04851202881576053,0.21101605223922823,0.5,0.04819277108433735,0,0,79,4,0.09959122355336138,0.09959122355336138
tool_execution_failure,proposal,all,fixed_half_reference,0.09959122355336138,83,1,4,0.5,0.25,0.6931471805599453,0.5,0.04819277108433735,0,0,79,4,0.5,0.5
tool_execution_failure,proposal,available,frozen_NN,0.09959122355336138,83,1,4,0.0676709045198578,0.0516793501451041,0.19819639087355714,0.6962025316455697,0.09647147147147146,0,0,79,4,7.937085324256897e-08,0.38184159572499327
tool_execution_failure,proposal,available,train_only_constant,0.09959122355336138,83,1,4,0.09959122355336138,0.04851202881576053,0.21101605223922823,0.5,0.04819277108433735,0,0,79,4,0.09959122355336138,0.09959122355336138
tool_execution_failure,proposal,available,fixed_half_reference,0.09959122355336138,83,1,4,0.5,0.25,0.6931471805599453,0.5,0.04819277108433735,0,0,79,4,0.5,0.5
tool_execution_failure,proposal,missing,frozen_NN,,0,0,0,,,,,,0,0,0,0,,
