NN_seed,calibration,policy_seed,n,error_rate,auroc,error_auprc,brier,nll,ece,risk_coverage_auc,overconfident_error_rate_p_le_0_1,threshold,at_or_above_fixed_threshold
1729,raw,5101,45,0.9777777777777777,0.5,0.9849850771712618,0.4232115846040765,1.056257942773487,0.6205328126748403,0.9843525585481323,0.0,0.5,4
1729,raw,5102,45,0.9333333333333333,0.9047619047619048,0.9930343104258998,0.39408948353953294,0.9954764639616259,0.5666041943762038,0.8406101609032804,0.0,0.5,5
1729,raw,5103,45,0.9777777777777777,1.0,1.0,0.3953377380673438,0.996335878083863,0.595827665593889,0.9023344863210817,0.0,0.5,5
1729,raw,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.42818007045834694,1.0673227633168287,0.6410199575954013,0.9974132205196679,0.0,0.5,4
1729,raw,5105,44,1.0,,1.0,0.41390688563962924,1.0389667017592317,0.6242508359930732,1.0,0.0,0.5,6
1729,calibrated,5101,45,0.9777777777777777,0.5,0.9849850771712618,0.39918286644378415,1.0019423194912693,0.6035024523735046,0.9843525585481323,0.0,0.5,4
1729,calibrated,5102,45,0.9333333333333333,0.9047619047619048,0.9930343104258998,0.37338592091834766,0.9488252725070334,0.5509165631400215,0.8406101609032804,0.0,0.5,5
1729,calibrated,5103,45,0.9777777777777777,1.0,1.0,0.37454457128512614,0.9498760204233578,0.5815818674034542,0.9023344863210817,0.0,0.5,5
1729,calibrated,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.4037690452022159,1.012045493849182,0.6243690503968133,0.9974132205196679,0.0,0.5,4
1729,calibrated,5105,44,1.0,,1.0,0.39103766758948344,0.98660108740278,0.6095289594747804,1.0,0.0,0.5,6
1730,raw,5101,45,0.9777777777777777,0.75,0.9937104971566844,0.7028387230203487,1.9505130724168769,0.8128623238868183,0.9694428717628004,0.26666666666666666,0.5,3
1730,raw,5102,45,0.9333333333333333,0.8174603174603174,0.9855132109170749,0.6408126179929112,1.7700063306392897,0.7553844385676913,0.8472189533454062,0.2222222222222222,0.5,3
1730,raw,5103,45,0.9777777777777777,0.9772727272727273,0.9994949494949495,0.650216031014402,1.8049927845317153,0.77747263610363,0.924556708543304,0.2,0.5,5
1730,raw,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.7098304573838813,1.9721768291984212,0.8168132649527656,0.9974132205196679,0.2,0.5,2
1730,raw,5105,44,1.0,,1.0,0.6688042920120426,1.8543467227728803,0.8014366823163899,1.0,0.18181818181818182,0.5,4
1730,calibrated,5101,45,0.9777777777777777,0.75,0.9937104971566844,0.6817187172155061,1.8518959197116993,0.8008148950007227,0.9694428717628004,0.08888888888888889,0.5,3
1730,calibrated,5102,45,0.9333333333333333,0.8174603174603174,0.9855132109170749,0.622040145809636,1.6845911008169654,0.7436298824018902,0.8472189533454062,0.13333333333333333,0.5,3
1730,calibrated,5103,45,0.9777777777777777,0.9772727272727273,0.9994949494949495,0.6316417071767831,1.7178739237499532,0.7667775561412176,0.924556708543304,0.08888888888888889,0.5,5
1730,calibrated,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.6887494944941269,1.8726318536584545,0.8045473641819424,0.9974132205196679,0.1111111111111111,0.5,2
1730,calibrated,5105,44,1.0,,1.0,0.6494419521742621,1.7643572354673132,0.7904443107545377,1.0,0.11363636363636363,0.5,4
1731,raw,5101,45,0.9777777777777777,0.7954545454545454,0.9949911609373482,0.6552432928744073,1.7367920360284006,0.7843194915188683,0.9652004475203763,0.022222222222222223,0.5,3
1731,raw,5102,45,0.9333333333333333,0.7619047619047619,0.9775358493632027,0.5973474182276691,1.587501765980277,0.726310282283359,0.8502762780537383,0.022222222222222223,0.5,4
1731,raw,5103,45,0.9777777777777777,0.9318181818181818,0.998449879343114,0.5864897981706642,1.557175650511957,0.7381909045908186,0.9430752270618226,0.06666666666666667,0.5,5
1731,raw,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.6403473759814201,1.679764217339152,0.7741689890623092,0.9974132205196679,0.022222222222222223,0.5,2
1731,raw,5105,44,1.0,,1.0,0.6214218581457719,1.6479356018039233,0.7727801899679683,1.0,0.022727272727272728,0.5,4
1731,calibrated,5101,45,0.9777777777777777,0.7954545454545454,0.9949911609373482,0.6119806616728873,1.5768986236297728,0.7584313263495763,0.9652004475203763,0.0,0.5,3
1731,calibrated,5102,45,0.9333333333333333,0.7619047619047619,0.9775358493632027,0.5596652411086019,1.4488725331977286,0.701660152276357,0.8502762780537383,0.0,0.5,4
1731,calibrated,5103,45,0.9777777777777777,0.9318181818181818,0.998449879343114,0.5504689328275638,1.4252173771515462,0.7160804341236751,0.9430752270618226,0.0,0.5,5
1731,calibrated,5104,45,0.9777777777777777,0.09090909090909091,0.9520087549495911,0.5979546735979901,1.5299476435499255,0.7481712356209755,0.9974132205196679,0.0,0.5,2
1731,calibrated,5105,44,1.0,,1.0,0.5821308896042134,1.50337132011159,0.7495567107742482,1.0,0.022727272727272728,0.5,4
