metric,direction,n,ddof,mean,sample_variance,SD,values,positive,negative,lower_is_better
auroc,original_all_minus_sampling_hidden,3,1,0.04892966360856266,0.0031603914747168663,0.05621735919373007,"[0.0688073394495412, 0.09250764525993882, -0.014525993883792054]",2,1,False
brier,original_all_minus_sampling_hidden,3,1,0.05439009712620443,0.06050679432673147,0.2459812885703534,"[0.2894692410726529, 0.0749089960549324, -0.20120794574897205]",2,1,True
nll,original_all_minus_sampling_hidden,3,1,0.30778949151822105,0.5828286481798388,0.7634321503446385,"[0.95798713452364, 0.4982107151665096, -0.5328293751354864]",2,1,True
ece,original_all_minus_sampling_hidden,3,1,0.03124821231938857,0.03401683266567078,0.18443652747129777,"[0.20831043386299708, 0.04520397847435165, -0.15976977537918302]",2,1,True
