predictor,n,error_rate,auroc,error_auprc,brier,nll,ece,risk_coverage_auc,overconfident_error_rate_p_le_0_1,threshold,at_or_above_fixed_threshold
constant_0_5,224,0.9732142857142857,0.5,0.9732142857142857,0.25,0.6931471805599453,0.4732142857142857,0.967794170469988,0.0,0.5,224
constant_training_prior,224,0.9732142857142857,0.5,0.9732142857142857,0.02765873015873016,0.13968190710164588,0.03988095238095235,0.967794170469988,0.0,0.5,224
