NN_seed,calibration,population,policy_seed,bin,lower,upper,upper_inclusive,count,mean_predicted_no_HVI,observed_no_HVI_fraction
1729,calibrated,selected_test,all,5,0.5,0.6,False,2,0.5580441951751709,1.0
1729,calibrated,selected_test,all,6,0.6,0.7,False,6,0.6657940347989401,1.0
1729,calibrated,selected_test,all,7,0.7,0.8,False,8,0.7553683966398239,1.0
1729,calibrated,selected_test,all,8,0.8,0.9,False,8,0.8236063942313194,1.0
1729,calibrated,selected_test,all,9,0.9,1.0,True,0,,
1729,calibrated,development,all,0,0.0,0.1,False,0,,
1729,calibrated,development,all,1,0.1,0.2,False,0,,
1729,calibrated,development,all,2,0.2,0.3,False,0,,
1729,calibrated,development,all,3,0.3,0.4,False,0,,
1729,calibrated,development,all,4,0.4,0.5,False,0,,
1729,calibrated,development,all,5,0.5,0.6,False,0,,
1729,calibrated,development,all,6,0.6,0.7,False,2,0.6365068852901459,1.0
1729,calibrated,development,all,7,0.7,0.8,False,4,0.7645594030618668,0.75
1729,calibrated,development,all,8,0.8,0.9,False,19,0.8681952325921309,0.8947368421052632
1729,calibrated,development,all,9,0.9,1.0,True,25,0.934705069065094,0.92
1729,calibrated,selected_test,5101,0,0.0,0.1,False,0,,
1729,calibrated,selected_test,5101,1,0.1,0.2,False,0,,
1729,calibrated,selected_test,5101,2,0.2,0.3,False,1,0.2939585745334625,1.0
1729,calibrated,selected_test,5101,3,0.3,0.4,False,38,0.3357652841429961,0.9736842105263158
1729,calibrated,selected_test,5101,4,0.4,0.5,False,2,0.40766820311546326,1.0
1729,calibrated,selected_test,5101,5,0.5,0.6,False,1,0.5562715530395508,1.0
1729,calibrated,selected_test,5101,6,0.6,0.7,False,0,,
1729,calibrated,selected_test,5101,7,0.7,0.8,False,1,0.7436079382896423,1.0
1729,calibrated,selected_test,5101,8,0.8,0.9,False,2,0.837067186832428,1.0
1729,calibrated,selected_test,5101,9,0.9,1.0,True,0,,
1729,calibrated,selected_test,5102,0,0.0,0.1,False,0,,
1729,calibrated,selected_test,5102,1,0.1,0.2,False,0,,
1729,calibrated,selected_test,5102,2,0.2,0.3,False,1,0.2928621172904968,1.0
1729,calibrated,selected_test,5102,3,0.3,0.4,False,37,0.3348157043392594,0.918918918918919
1729,calibrated,selected_test,5102,4,0.4,0.5,False,2,0.41231946647167206,1.0
1729,calibrated,selected_test,5102,5,0.5,0.6,False,0,,
1729,calibrated,selected_test,5102,6,0.6,0.7,False,1,0.6618337631225586,1.0
1729,calibrated,selected_test,5102,7,0.7,0.8,False,4,0.7603096961975098,1.0
1729,calibrated,selected_test,5102,8,0.8,0.9,False,0,,
1729,calibrated,selected_test,5102,9,0.9,1.0,True,0,,
1729,calibrated,selected_test,5103,0,0.0,0.1,False,0,,
1729,calibrated,selected_test,5103,1,0.1,0.2,False,0,,
1729,calibrated,selected_test,5103,2,0.2,0.3,False,0,,
1729,calibrated,selected_test,5103,3,0.3,0.4,False,33,0.3327781142610492,0.9696969696969697
1729,calibrated,selected_test,5103,4,0.4,0.5,False,7,0.4338192897183554,1.0
1729,calibrated,selected_test,5103,5,0.5,0.6,False,0,,
1729,calibrated,selected_test,5103,6,0.6,0.7,False,1,0.6815745234489441,1.0
1729,calibrated,selected_test,5103,7,0.7,0.8,False,2,0.742903470993042,1.0
1729,calibrated,selected_test,5103,8,0.8,0.9,False,2,0.8215108513832092,1.0
1729,calibrated,selected_test,5103,9,0.9,1.0,True,0,,
1729,calibrated,selected_test,5104,0,0.0,0.1,False,0,,
1729,calibrated,selected_test,5104,1,0.1,0.2,False,0,,
1729,calibrated,selected_test,5104,2,0.2,0.3,False,1,0.2988770604133606,1.0
1729,calibrated,selected_test,5104,3,0.3,0.4,False,39,0.3376746231164688,1.0
1729,calibrated,selected_test,5104,4,0.4,0.5,False,1,0.4984342157840729,0.0
1729,calibrated,selected_test,5104,5,0.5,0.6,False,0,,
1729,calibrated,selected_test,5104,6,0.6,0.7,False,2,0.6487370133399963,1.0
1729,calibrated,selected_test,5104,7,0.7,0.8,False,0,,
1729,calibrated,selected_test,5104,8,0.8,0.9,False,2,0.8180827796459198,1.0
1729,calibrated,selected_test,5104,9,0.9,1.0,True,0,,
1729,calibrated,selected_test,5105,0,0.0,0.1,False,0,,
1729,calibrated,selected_test,5105,1,0.1,0.2,False,0,,
1729,calibrated,selected_test,5105,2,0.2,0.3,False,3,0.2704398234685262,1.0
1729,calibrated,selected_test,5105,3,0.3,0.4,False,33,0.3381547783360337,1.0
1729,calibrated,selected_test,5105,4,0.4,0.5,False,2,0.4443884342908859,1.0
1729,calibrated,selected_test,5105,5,0.5,0.6,False,1,0.559816837310791,1.0
1729,calibrated,selected_test,5105,6,0.6,0.7,False,2,0.6769409477710724,1.0
1729,calibrated,selected_test,5105,7,0.7,0.8,False,1,0.7722935080528259,1.0
1729,calibrated,selected_test,5105,8,0.8,0.9,False,2,0.8177647590637207,1.0
1729,calibrated,selected_test,5105,9,0.9,1.0,True,0,,
1730,raw,selected_test,all,0,0.0,0.1,False,52,0.08554857496458751,0.9230769230769231
1730,raw,selected_test,all,1,0.1,0.2,False,130,0.13037050652962465,0.9923076923076923
1730,raw,selected_test,all,2,0.2,0.3,False,11,0.24582017145373605,0.9090909090909091
1730,raw,selected_test,all,3,0.3,0.4,False,8,0.35339225083589554,1.0
1730,raw,selected_test,all,4,0.4,0.5,False,6,0.44939860701560974,1.0
1730,raw,selected_test,all,5,0.5,0.6,False,6,0.5383493999640147,1.0
1730,raw,selected_test,all,6,0.6,0.7,False,7,0.6564682807241168,1.0
1730,raw,selected_test,all,7,0.7,0.8,False,3,0.716726819674174,1.0
1730,raw,selected_test,all,8,0.8,0.9,False,1,0.8230180144309998,1.0
1730,raw,selected_test,all,9,0.9,1.0,True,0,,
1730,raw,development,all,0,0.0,0.1,False,0,,
1730,raw,development,all,1,0.1,0.2,False,0,,
1730,raw,development,all,2,0.2,0.3,False,0,,
1730,raw,development,all,3,0.3,0.4,False,0,,
1730,raw,development,all,4,0.4,0.5,False,0,,
1730,raw,development,all,5,0.5,0.6,False,0,,
1730,raw,development,all,6,0.6,0.7,False,2,0.6851764917373657,1.0
1730,raw,development,all,7,0.7,0.8,False,3,0.7509416739145914,0.6666666666666666
1730,raw,development,all,8,0.8,0.9,False,12,0.865199938416481,0.9166666666666666
1730,raw,development,all,9,0.9,1.0,True,33,0.9355498696818496,0.9090909090909091
1730,raw,selected_test,5101,0,0.0,0.1,False,13,0.0891685950068327,0.9230769230769231
1730,raw,selected_test,5101,1,0.1,0.2,False,27,0.13544540328008156,1.0
1730,raw,selected_test,5101,2,0.2,0.3,False,2,0.2423575595021248,1.0
1730,raw,selected_test,5101,3,0.3,0.4,False,0,,
1730,raw,selected_test,5101,4,0.4,0.5,False,0,,
1730,raw,selected_test,5101,5,0.5,0.6,False,1,0.5619658827781677,1.0
1730,raw,selected_test,5101,6,0.6,0.7,False,0,,
1730,raw,selected_test,5101,7,0.7,0.8,False,1,0.7352787852287292,1.0
1730,raw,selected_test,5101,8,0.8,0.9,False,1,0.8230180144309998,1.0
1730,raw,selected_test,5101,9,0.9,1.0,True,0,,
1730,raw,selected_test,5102,0,0.0,0.1,False,12,0.08588551419476669,0.8333333333333334
1730,raw,selected_test,5102,1,0.1,0.2,False,25,0.136011760532856,0.96
1730,raw,selected_test,5102,2,0.2,0.3,False,1,0.23586753010749817,1.0
1730,raw,selected_test,5102,3,0.3,0.4,False,2,0.3344908207654953,1.0
1730,raw,selected_test,5102,4,0.4,0.5,False,2,0.4696486294269562,1.0
1730,raw,selected_test,5102,5,0.5,0.6,False,2,0.5547987818717957,1.0
1730,raw,selected_test,5102,6,0.6,0.7,False,1,0.6230360865592957,1.0
1730,raw,selected_test,5102,7,0.7,0.8,False,0,,
1730,raw,selected_test,5102,8,0.8,0.9,False,0,,
1730,raw,selected_test,5102,9,0.9,1.0,True,0,,
1730,raw,selected_test,5103,0,0.0,0.1,False,10,0.08765165731310845,0.9
1730,raw,selected_test,5103,1,0.1,0.2,False,24,0.12459644147505362,1.0
1730,raw,selected_test,5103,2,0.2,0.3,False,1,0.20481517910957336,1.0
1730,raw,selected_test,5103,3,0.3,0.4,False,4,0.3563789054751396,1.0
1730,raw,selected_test,5103,4,0.4,0.5,False,1,0.44311782717704773,1.0
1730,raw,selected_test,5103,5,0.5,0.6,False,2,0.5277852118015289,1.0
1730,raw,selected_test,5103,6,0.6,0.7,False,2,0.6561972200870514,1.0
1730,raw,selected_test,5103,7,0.7,0.8,False,1,0.7054867148399353,1.0
1730,raw,selected_test,5103,8,0.8,0.9,False,0,,
1730,raw,selected_test,5103,9,0.9,1.0,True,0,,
1730,raw,selected_test,5104,0,0.0,0.1,False,9,0.08279593537251155,1.0
1730,raw,selected_test,5104,1,0.1,0.2,False,30,0.12838910991946856,1.0
1730,raw,selected_test,5104,2,0.2,0.3,False,2,0.22922071814537048,0.5
1730,raw,selected_test,5104,3,0.3,0.4,False,1,0.39140400290489197,1.0
1730,raw,selected_test,5104,4,0.4,0.5,False,1,0.42500150203704834,1.0
1730,raw,selected_test,5104,5,0.5,0.6,False,0,,
1730,raw,selected_test,5104,6,0.6,0.7,False,1,0.6623044610023499,1.0
1730,raw,selected_test,5104,7,0.7,0.8,False,1,0.7094149589538574,1.0
1730,raw,selected_test,5104,8,0.8,0.9,False,0,,
1730,raw,selected_test,5104,9,0.9,1.0,True,0,,
1730,raw,selected_test,5105,0,0.0,0.1,False,8,0.07962850015610456,1.0
1730,raw,selected_test,5105,1,0.1,0.2,False,24,0.12703575224926075,1.0
1730,raw,selected_test,5105,2,0.2,0.3,False,5,0.2640365242958069,1.0
1730,raw,selected_test,5105,3,0.3,0.4,False,1,0.34123674035072327,1.0
1730,raw,selected_test,5105,4,0.4,0.5,False,2,0.444487527012825,1.0
1730,raw,selected_test,5105,5,0.5,0.6,False,1,0.5029625296592712,1.0
1730,raw,selected_test,5105,6,0.6,0.7,False,3,0.665847659111023,1.0
1730,raw,selected_test,5105,7,0.7,0.8,False,0,,
1730,raw,selected_test,5105,8,0.8,0.9,False,0,,
1730,raw,selected_test,5105,9,0.9,1.0,True,0,,
1730,calibrated,selected_test,all,0,0.0,0.1,False,26,0.08943817105430824,0.9230769230769231
1730,calibrated,selected_test,all,1,0.1,0.2,False,151,0.13589413730513972,0.9801324503311258
1730,calibrated,selected_test,all,2,0.2,0.3,False,15,0.2384568025668462,0.9333333333333333
1730,calibrated,selected_test,all,3,0.3,0.4,False,8,0.3499995395541191,1.0
1730,calibrated,selected_test,all,4,0.4,0.5,False,7,0.44581099493162973,1.0
1730,calibrated,selected_test,all,5,0.5,0.6,False,6,0.5359324216842651,1.0
1730,calibrated,selected_test,all,6,0.6,0.7,False,9,0.6579431494077047,1.0
1730,calibrated,selected_test,all,7,0.7,0.8,False,1,0.7224545478820801,1.0
1730,calibrated,selected_test,all,8,0.8,0.9,False,1,0.8083440065383911,1.0
1730,calibrated,selected_test,all,9,0.9,1.0,True,0,,
1730,calibrated,development,all,0,0.0,0.1,False,0,,
1730,calibrated,development,all,1,0.1,0.2,False,0,,
1730,calibrated,development,all,2,0.2,0.3,False,0,,
1730,calibrated,development,all,3,0.3,0.4,False,0,,
1730,calibrated,development,all,4,0.4,0.5,False,0,,
1730,calibrated,development,all,5,0.5,0.6,False,0,,
1730,calibrated,development,all,6,0.6,0.7,False,3,0.6827181180318197,1.0
1730,calibrated,development,all,7,0.7,0.8,False,2,0.7569403052330017,0.5
1730,calibrated,development,all,8,0.8,0.9,False,19,0.8664486157266718,0.9473684210526315
1730,calibrated,development,all,9,0.9,1.0,True,26,0.9336287310490241,0.8846153846153846
1730,calibrated,selected_test,5101,0,0.0,0.1,False,4,0.08785860799252987,1.0
1730,calibrated,selected_test,5101,1,0.1,0.2,False,33,0.13321278537764694,0.9696969696969697
1730,calibrated,selected_test,5101,2,0.2,0.3,False,5,0.2254018098115921,1.0
1730,calibrated,selected_test,5101,3,0.3,0.4,False,0,,
1730,calibrated,selected_test,5101,4,0.4,0.5,False,0,,
1730,calibrated,selected_test,5101,5,0.5,0.6,False,1,0.5580657720565796,1.0
1730,calibrated,selected_test,5101,6,0.6,0.7,False,0,,
1730,calibrated,selected_test,5101,7,0.7,0.8,False,1,0.7224545478820801,1.0
1730,calibrated,selected_test,5101,8,0.8,0.9,False,1,0.8083440065383911,1.0
1730,calibrated,selected_test,5101,9,0.9,1.0,True,0,,
1730,calibrated,selected_test,5102,0,0.0,0.1,False,7,0.09218443823712212,0.8571428571428571
1730,calibrated,selected_test,5102,1,0.1,0.2,False,30,0.14306713715195657,0.9333333333333333
1730,calibrated,selected_test,5102,2,0.2,0.3,False,1,0.24959178268909454,1.0
1730,calibrated,selected_test,5102,3,0.3,0.4,False,2,0.3441978693008423,1.0
1730,calibrated,selected_test,5102,4,0.4,0.5,False,2,0.47157254815101624,1.0
1730,calibrated,selected_test,5102,5,0.5,0.6,False,2,0.5513538122177124,1.0
1730,calibrated,selected_test,5102,6,0.6,0.7,False,1,0.6155098676681519,1.0
1730,calibrated,selected_test,5102,7,0.7,0.8,False,0,,
1730,calibrated,selected_test,5102,8,0.8,0.9,False,0,,
1730,calibrated,selected_test,5102,9,0.9,1.0,True,0,,
1730,calibrated,selected_test,5103,0,0.0,0.1,False,5,0.09380574226379394,0.8
1730,calibrated,selected_test,5103,1,0.1,0.2,False,29,0.13312036826692777,1.0
1730,calibrated,selected_test,5103,2,0.2,0.3,False,1,0.21920804679393768,1.0
1730,calibrated,selected_test,5103,3,0.3,0.4,False,3,0.35159390171368915,1.0
1730,calibrated,selected_test,5103,4,0.4,0.5,False,2,0.4259382486343384,1.0
1730,calibrated,selected_test,5103,5,0.5,0.6,False,2,0.5260234177112579,1.0
1730,calibrated,selected_test,5103,6,0.6,0.7,False,3,0.6625258326530457,1.0
1730,calibrated,selected_test,5103,7,0.7,0.8,False,0,,
1730,calibrated,selected_test,5103,8,0.8,0.9,False,0,,
1730,calibrated,selected_test,5103,9,0.9,1.0,True,0,,
1730,calibrated,selected_test,5104,0,0.0,0.1,False,5,0.0872610330581665,1.0
1730,calibrated,selected_test,5104,1,0.1,0.2,False,33,0.13587727826653104,1.0
1730,calibrated,selected_test,5104,2,0.2,0.3,False,3,0.23235065241654715,0.6666666666666666
1730,calibrated,selected_test,5104,3,0.3,0.4,False,1,0.3981042206287384,1.0
1730,calibrated,selected_test,5104,4,0.4,0.5,False,1,0.4297011196613312,1.0
1730,calibrated,selected_test,5104,5,0.5,0.6,False,0,,
1730,calibrated,selected_test,5104,6,0.6,0.7,False,2,0.6751279830932617,1.0
1730,calibrated,selected_test,5104,7,0.7,0.8,False,0,,
1730,calibrated,selected_test,5104,8,0.8,0.9,False,0,,
1730,calibrated,selected_test,5104,9,0.9,1.0,True,0,,
1730,calibrated,selected_test,5105,0,0.0,0.1,False,5,0.08466661423444748,1.0
1730,calibrated,selected_test,5105,1,0.1,0.2,False,26,0.13413607071225458,1.0
1730,calibrated,selected_test,5105,2,0.2,0.3,False,5,0.2567982405424118,1.0
1730,calibrated,selected_test,5105,3,0.3,0.4,False,2,0.3293573260307312,1.0
1730,calibrated,selected_test,5105,4,0.4,0.5,False,2,0.44797712564468384,1.0
1730,calibrated,selected_test,5105,5,0.5,0.6,False,1,0.5027742981910706,1.0
1730,calibrated,selected_test,5105,6,0.6,0.7,False,3,0.6560483376185099,1.0
1730,calibrated,selected_test,5105,7,0.7,0.8,False,0,,
1730,calibrated,selected_test,5105,8,0.8,0.9,False,0,,
1730,calibrated,selected_test,5105,9,0.9,1.0,True,0,,
1731,raw,selected_test,all,0,0.0,0.1,False,8,0.0905052637681365,0.875
1731,raw,selected_test,all,1,0.1,0.2,False,157,0.1498523164706625,0.9745222929936306
1731,raw,selected_test,all,2,0.2,0.3,False,25,0.23514116406440735,0.96
1731,raw,selected_test,all,3,0.3,0.4,False,9,0.3568450344933404,1.0
1731,raw,selected_test,all,4,0.4,0.5,False,7,0.45032136355127605,1.0
1731,raw,selected_test,all,5,0.5,0.6,False,7,0.5376186541148594,1.0
