NN_seed,selected_epoch,optimizer_steps,temperature,raw_features,transformed_features,parameters,checkpoint_sha256
1729,46,61,1.1427702958311818,132,267,21377,981b1846c1214b02e4b1dd0f31b6b8e1360bead11ed22312f8b233fc4936c03a
1730,45,60,1.0678422106735839,132,267,21377,7442030f73d890a539478dd570702fe089a59050a416aba4bead985aaacb09eb
1731,44,59,1.143410076726333,132,267,21377,b96f7859e1083c341c82da985cb6b644a7d2b88306695f35bece6ed56697c69d
