condition,world_seed,policy_seed,budget,action_returns,failed_action_returns,successful_action_returns,scoreNormalized,completedSuccessfully,F,supported_activity_gate_passed
Q75,2,304,10,10,10,0,0.0,False,-0.1,True
Common2,2,305,10,10,1,9,0.0,False,-0.01,
