arm,trajectories,SUN_sum,SUN_mean,AUDC_mean,SUN_sample_variance,AUDC_sample_variance,proposals,executed_tools,physical_steps,initialization_ORB,MACE_events,MACE_count_field_missing,failed_selects,tool_failures,graph_succeeded,graph_unavailable,invalid_generation,controller_schema_retry_requests,controller_neural_retry_requests,actual_second_proposals,actual_second_schema,actual_second_neural,selected_second,selected_second_after_schema,multiple_valid_risk_selection_changed,supported_scalar_ge_threshold,unexecuted_neural_second,neural_second_generation_seconds,neural_second_graph_seconds,neural_second_prompt_tokens,neural_second_completion_tokens,generate_structures_executed,score_buffer_executed,query_structures_executed,select_for_evaluation_executed,get_buffer_stats_executed,list_compositions_executed,create_structure_executed,scalar_NN_n,scalar_NN_min,scalar_NN_max
baseline_reference,15,22,1.4666666666666666,0.156,4.695238095238095,0.06379714285714286,330,319,150,189,1787,3,26,28,0,0,11,0,0,10,0,0,9,0,0,0,0,0.0,0.0,0,0,108,31,3,176,0,1,0,319,0.4998474717140198,0.5006795525550842
es_only_independent,15,17,1.1333333333333333,0.13133333333333333,2.552380952380952,0.039998095238095235,303,292,150,189,1003,2,33,34,0,0,11,0,0,11,0,0,11,0,0,0,0,0.0,0.0,0,0,91,18,0,183,0,0,0,0,,
uq_only_support_aware,15,25,1.6666666666666667,0.19266666666666668,4.666666666666667,0.06502095238095237,339,314,150,189,1560,4,13,14,309,30,14,25,3,24,24,0,23,23,0,0,0,0.0,0.0,0,0,106,25,12,163,8,0,0,325,0.4989052712917328,0.5012179017066956
full_support_aware,15,20,1.3333333333333333,0.14400000000000002,2.380952380952381,0.031811428571428574,265,249,150,189,190,11,24,25,220,45,7,8,9,16,8,8,8,8,0,0,8,90.68763850582764,139.20943605108187,17972,917,63,5,5,174,2,0,0,258,0.49868762493133545,0.5012679100036621
