task_id,arm,metric,n,mean,sample_variance,SD
Al-Hg-K-Mg-W,baseline_reference,SUN,3,2.3333333333333335,16.333333333333332,4.041451884327381
Al-Hg-K-Mg-W,baseline_reference,AUDC,3,0.25666666666666665,0.19763333333333336,0.44455970727601185
Al-Hg-K-Mg-W,full_support_aware,SUN,3,0,0,0.0
Al-Hg-K-Mg-W,full_support_aware,AUDC,3,0.0,0.0,0.0
Al-Lu-Pt-Rb-Sm,baseline_reference,SUN,3,1.3333333333333333,2.3333333333333335,1.5275252316519468
Al-Lu-Pt-Rb-Sm,baseline_reference,AUDC,3,0.1,0.013900000000000003,0.11789826122551597
Al-Lu-Pt-Rb-Sm,full_support_aware,SUN,3,1.3333333333333333,2.3333333333333335,1.5275252316519468
Al-Lu-Pt-Rb-Sm,full_support_aware,AUDC,3,0.20666666666666667,0.04643333333333333,0.21548395145191981
Ca-Fe-Gd-Pb-Tb,baseline_reference,SUN,3,0,0,0.0
Ca-Fe-Gd-Pb-Tb,baseline_reference,AUDC,3,0.0,0.0,0.0
Ca-Fe-Gd-Pb-Tb,full_support_aware,SUN,3,0,0,0.0
Ca-Fe-Gd-Pb-Tb,full_support_aware,AUDC,3,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,baseline_reference,SUN,3,0,0,0.0
Co-Hg-Mg-Sr-W,baseline_reference,AUDC,3,0.0,0.0,0.0
Co-Hg-Mg-Sr-W,full_support_aware,SUN,3,0,0,0.0
Co-Hg-Mg-Sr-W,full_support_aware,AUDC,3,0.0,0.0,0.0
Cr-Fe-Lu-Pt-Sc,baseline_reference,SUN,3,1.3333333333333333,5.333333333333334,2.3094010767585034
Cr-Fe-Lu-Pt-Sc,baseline_reference,AUDC,3,0.11333333333333334,0.038533333333333336,0.19629909152447278
Cr-Fe-Lu-Pt-Sc,full_support_aware,SUN,3,0,0,0.0
Cr-Fe-Lu-Pt-Sc,full_support_aware,AUDC,3,0.0,0.0,0.0
Ho-In-Mg-Pd-Zr,baseline_reference,SUN,3,0.6666666666666666,0.3333333333333333,0.5773502691896257
Ho-In-Mg-Pd-Zr,baseline_reference,AUDC,3,0.08,0.007300000000000001,0.08544003745317531
Ho-In-Mg-Pd-Zr,full_support_aware,SUN,3,1.3333333333333333,5.333333333333334,2.3094010767585034
Ho-In-Mg-Pd-Zr,full_support_aware,AUDC,3,0.13999999999999999,0.0588,0.24248711305964282
