arm,tool,calls
baseline_reference,generate_structures,524
baseline_reference,list_compositions,2
baseline_reference,query_structures,7
baseline_reference,score_buffer,157
baseline_reference,select_for_evaluation,848
full_support_aware,generate_structures,318
full_support_aware,get_buffer_stats,9
full_support_aware,query_structures,31
full_support_aware,score_buffer,45
full_support_aware,select_for_evaluation,873
