arm,seed,systems,SUN_total,SUN_macro,AUDC_macro
baseline_reference,2,24,44,1.8333333333333333,0.1925
full_support_aware,2,24,33,1.375,0.15958333333333333
baseline_reference,3,24,40,1.6666666666666667,0.16333333333333333
full_support_aware,3,24,32,1.3333333333333333,0.16583333333333333
baseline_reference,4,24,34,1.4166666666666667,0.17
full_support_aware,4,24,27,1.125,0.12791666666666668
