arm,signal,origin_or_head,support,horizon,weighting,bin,n,weight,prediction,observed_failure
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,generation_invalid,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,0,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,1,43,43.0,0.1855294330148318,0.13953488372093023
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,2,1056,1056.0,0.2620639625211283,0.1581439393939394
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,3,438,438.0,0.31644025463179437,0.24429223744292236
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,4,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,5,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,6,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,7,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,8,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,per_decision,9,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,0,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,1,43,16.251190476190477,0.18593584057992948,0.16614167460259321
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,2,1056,462.1607142857143,0.26314754101767285,0.19362981852839278
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,3,438,241.58809523809524,0.3175632890663316,0.2765529679600264
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,not_new,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,0,1537,1537.0,0.03745330482218744,0.09629147690305791
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,1,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,2,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,3,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,4,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,5,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,6,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,7,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,8,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,per_decision,9,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,0,1537,1537.0,0.03745330482218744,0.09629147690305791
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,1,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,2,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,3,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,4,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,5,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,6,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,tool_execution_failure,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,0,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,1,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,2,1,1.0,0.28935368096076497,1.0
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,3,63,63.0,0.3768020378581091,0.8095238095238095
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,4,790,790.0,0.46050657832427316,0.7911392405063291
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,5,671,671.0,0.5378154313221721,0.7570789865871833
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,6,12,12.0,0.6084744616582723,0.75
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,7,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,8,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,per_decision,9,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,0,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,1,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,2,1,0.3333333333333333,0.28935368096076497,1.0
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,3,63,26.045238095238094,0.3796839175080163,0.8124142974677758
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,4,790,385.6166666666667,0.4613736284567756,0.7775671620595336
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,5,671,303.8047619047619,0.5381715226580747,0.7489929309236821
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,6,12,4.2,0.6074694630862046,0.7420634920634921
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,7,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,8,0,0.0,,
baseline_reference,type,unstable,support_missing,original_type_label_horizon,equal_observed_outcomes,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,4,366,366.0,0.4997023233299047,0.8852459016393442
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,5,535,535.0,0.5005905204844252,0.8
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,per_decision,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,4,366,197.33333333333334,0.4997099943375131,0.8707770270270271
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,5,535,365.6666666666667,0.5005841269233385,0.8345487693710119
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,all_executed_next_outcome_associations,equal_observed_outcomes,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,4,183,183.0,0.4997357760296493,0.8688524590163934
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,5,344,344.0,0.5006117787818576,0.8284883720930233
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,per_decision,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,4,183,183.0,0.4997357760296493,0.8688524590163934
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,5,344,344.0,0.5006117787818576,0.8284883720930233
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,supported,direct_selected_material,equal_observed_outcomes,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,4,70,70.0,0.4993755544934954,0.8285714285714286
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,5,304,304.0,0.5005756081327012,0.9342105263157895
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,per_decision,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,4,70,49.90238095238095,0.49937540563191785,0.8096283219619257
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,5,304,219.09761904761905,0.5005886511527466,0.9292552786863868
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,all_executed_next_outcome_associations,equal_observed_outcomes,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,4,4,4.0,0.4998119920492172,1.0
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,5,188,188.0,0.500600240649061,0.9468085106382979
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,6,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,7,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,8,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,per_decision,9,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,0,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,1,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,2,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,3,0,0.0,,
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,4,4,4.0,0.4998119920492172,1.0
full_support_aware,scalar,recorded_diagnostic_scalar_NN,unsupported,direct_selected_material,equal_observed_outcomes,5,188,188.0,0.500600240649061,0.9468085106382979
