task_id,budget,seed,arm,job_id,query,SUN
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,4,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,5,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,6,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,7,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,8,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,9,0
Al-Li-V,10,3,es_only_independent,component-final-8e1fbdae4c717bead751ef3f,10,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,0,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,1,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,2,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,3,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,4,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,5,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,6,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,7,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,8,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,9,0
Al-Li-V,10,4,es_only_independent,component-final-d183e09d99cadf104f59d07e,10,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,0,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,1,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,2,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,3,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,4,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,5,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,6,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,7,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,8,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,9,0
Al-Li-V,10,2,full_support_aware,support-final-bceab85ac67db411774a2563,10,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,0,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,1,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,2,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,3,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,4,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,5,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,6,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,7,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,8,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,9,0
Al-Li-V,10,3,full_support_aware,support-final-2b96c9fd2ded8ff4d3c9fa7b,10,0
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,0,0
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,1,0
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,2,0
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,3,1
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,4,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,5,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,6,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,7,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,8,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,9,2
Al-Li-V,10,4,full_support_aware,support-final-cda0e2a385af0e786df7d24a,10,2
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,0,0
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,1,1
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,2,2
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,3,2
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,4,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,5,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,6,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,7,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,8,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,9,3
Al-V-Zn,10,2,baseline_reference,component-final-50555fb4776e15c94b4beec9,10,4
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,0,0
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,1,1
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,2,2
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,3,3
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,4,3
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,5,4
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,6,4
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,7,5
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,8,5
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,9,5
Al-V-Zn,10,3,baseline_reference,component-final-52aa59f42080e58cda2f64b0,10,5
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,0,0
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,1,1
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,2,2
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,3,3
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,4,3
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,5,3
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,6,3
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,7,4
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,8,5
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,9,6
Al-V-Zn,10,4,baseline_reference,component-final-70adf56898316f73ea4720ab,10,6
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,0,0
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,1,1
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,2,2
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,3,3
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,4,3
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,5,4
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,6,5
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,7,5
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,8,5
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,9,5
Al-V-Zn,10,2,uq_only_support_aware,support-final-50481d7de104501120b84fb5,10,5
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,0,0
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,1,1
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,2,2
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,3,2
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,4,3
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,5,3
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,6,4
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,7,5
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,8,6
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,9,7
Al-V-Zn,10,3,uq_only_support_aware,support-final-5d1cc6924d5efee9cbf9f4a0,10,7
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,0,0
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,1,1
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,2,1
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,3,2
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,4,2
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,5,2
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,6,2
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,7,3
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,8,4
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,9,4
Al-V-Zn,10,2,es_only_independent,component-final-b20a8fccedb10da7d5ed97a6,10,4
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,0,0
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,1,1
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,2,1
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,3,2
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,4,3
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,5,3
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,6,4
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,7,5
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,8,5
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,9,5
Al-V-Zn,10,3,es_only_independent,component-final-02fb34c6b01aed253ffa4730,10,5
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,0,0
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,1,1
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,2,1
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,3,1
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,4,1
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,5,1
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,6,2
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,7,3
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,8,3
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,9,3
Al-V-Zn,10,4,es_only_independent,component-final-2ba86fe5167c7c377083c728,10,3
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,0,0
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,1,1
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,2,1
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,3,1
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,4,1
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,5,2
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,6,2
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,7,3
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,8,4
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,9,4
Al-V-Zn,10,2,full_support_aware,support-final-ca740c106b65301c3c20f121,10,4
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,0,0
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,1,0
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,2,0
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,3,0
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,4,1
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,5,1
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,6,1
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,7,2
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,8,3
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,9,3
Au-K-Tb,10,2,baseline_reference,component-final-829f81d1c8b6dff9869aa711,10,4
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,0,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,1,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,2,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,3,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,4,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,5,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,6,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,7,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,8,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,9,0
Au-K-Tb,10,3,baseline_reference,component-final-57ec2ac8f1ba4127bcccc073,10,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,0,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,1,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,2,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,3,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,4,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,5,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,6,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,7,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,8,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,9,0
Au-K-Tb,10,4,baseline_reference,component-final-b1999f2e9c20505d5a373485,10,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,0,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,1,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,2,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,3,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,4,0
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,5,1
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,6,2
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,7,2
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,8,3
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,9,3
Au-K-Tb,10,2,uq_only_support_aware,support-final-38ae55456a55c01858bdaca6,10,3
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,0,0
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,1,1
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,2,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,3,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,4,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,5,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,6,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,7,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,8,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,9,2
Au-K-Tb,10,3,uq_only_support_aware,support-final-2b6cfd7c97c158c305971c45,10,3
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,0,0
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,1,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,2,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,3,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,4,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,5,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,6,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,7,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,8,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,9,1
Au-K-Tb,10,2,es_only_independent,component-final-637e688029854bff551ffb68,10,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,0,0
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,1,0
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,2,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,3,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,4,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,5,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,6,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,7,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,8,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,9,1
Au-K-Tb,10,3,es_only_independent,component-final-f01350a0031f3cb06d45632e,10,1
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,0,0
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,1,0
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,2,0
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,3,0
Au-K-Tb,10,4,es_only_independent,component-final-fd363bc50f56142b92b62728,4,0
